Temperature_C,pO2_atm,delta,beta_11,beta_33,epsilon_ch_11,epsilon_ch_33,epsilon_ch_volumetric
600,2.10e-01,0.009000,0.0320,0.0544,0.00028800,0.00048960,0.00106560
600,1.00e-01,0.009000,0.0320,0.0544,0.00028800,0.00048960,0.00106560
600,1.00e-02,0.009000,0.0320,0.0544,0.00028800,0.00048960,0.00106560
600,1.00e-03,0.009000,0.0320,0.0544,0.00028800,0.00048960,0.00106560
600,1.00e-04,0.009000,0.0320,0.0544,0.00028800,0.00048960,0.00106560
600,1.00e-05,0.009000,0.0320,0.0544,0.00028800,0.00048960,0.00106560
650,2.10e-01,0.015333,0.0320,0.0544,0.00049067,0.00083413,0.00181547
650,1.00e-01,0.015639,0.0320,0.0544,0.00050046,0.00085079,0.00185171
650,1.00e-02,0.016589,0.0320,0.0544,0.00053086,0.00090247,0.00196419
650,1.00e-03,0.017539,0.0320,0.0544,0.00056126,0.00095415,0.00207667
650,1.00e-04,0.018489,0.0320,0.0544,0.00059166,0.00100583,0.00218915
650,1.00e-05,0.019439,0.0320,0.0544,0.00062206,0.00105751,0.00230163
700,2.10e-01,0.021667,0.0320,0.0544,0.00069333,0.00117867,0.00256533
700,1.00e-01,0.022279,0.0320,0.0544,0.00071292,0.00121197,0.00263782
700,1.00e-02,0.024179,0.0320,0.0544,0.00077372,0.00131533,0.00286278
700,1.00e-03,0.026079,0.0320,0.0544,0.00083452,0.00141869,0.00308774
700,1.00e-04,0.027979,0.0320,0.0544,0.00089532,0.00152205,0.00331270
700,1.00e-05,0.029879,0.0320,0.0544,0.00095612,0.00162541,0.00353766
750,2.10e-01,0.028000,0.0320,0.0544,0.00089600,0.00152320,0.00331520
750,1.00e-01,0.028918,0.0320,0.0544,0.00092539,0.00157316,0.00342393
750,1.00e-02,0.031768,0.0320,0.0544,0.00101659,0.00172820,0.00376137
750,1.00e-03,0.034618,0.0320,0.0544,0.00110779,0.00188324,0.00409881
750,1.00e-04,0.037468,0.0320,0.0544,0.00119899,0.00203828,0.00443625
750,1.00e-05,0.040318,0.0320,0.0544,0.00129019,0.00219332,0.00477369
800,2.10e-01,0.034333,0.0320,0.0544,0.00109867,0.00186773,0.00406507
800,1.00e-01,0.035558,0.0320,0.0544,0.00113785,0.00193434,0.00421004
800,1.00e-02,0.039358,0.0320,0.0544,0.00125945,0.00214106,0.00465996
800,1.00e-03,0.043158,0.0320,0.0544,0.00138105,0.00234778,0.00510988
800,1.00e-04,0.046958,0.0320,0.0544,0.00150265,0.00255450,0.00555980
800,1.00e-05,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
850,2.10e-01,0.040667,0.0320,0.0544,0.00130133,0.00221227,0.00481493
850,1.00e-01,0.042197,0.0320,0.0544,0.00135031,0.00229553,0.00499615
850,1.00e-02,0.046947,0.0320,0.0544,0.00150231,0.00255393,0.00555855
850,1.00e-03,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
850,1.00e-04,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
850,1.00e-05,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
900,2.10e-01,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
900,1.00e-01,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
900,1.00e-02,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
900,1.00e-03,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
900,1.00e-04,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
900,1.00e-05,0.047000,0.0320,0.0544,0.00150400,0.00255680,0.00556480
