beta_pen_GPa_per_m,penetration_nm,interface_energy_error_pct
10.00,0.050000,98.0199
12.07,0.041432,97.6153
14.56,0.034332,97.1293
17.58,0.028449,96.5460
21.21,0.023574,95.8468
25.60,0.019535,95.0097
30.89,0.016187,94.0093
37.28,0.013413,92.8159
44.98,0.011115,91.3960
54.29,0.009210,89.7113
65.51,0.007632,87.7195
79.06,0.006324,85.3747
95.41,0.005241,82.6282
115.14,0.004343,79.4312
138.95,0.003598,75.7373
167.68,0.002982,71.5076
202.36,0.002471,66.7165
244.21,0.002047,61.3601
294.71,0.001697,55.4654
355.65,0.001406,49.1007
429.19,0.001165,42.3845
517.95,0.000965,35.4909
625.06,0.000800,28.6473
754.31,0.000663,22.1214
910.30,0.000549,16.1929
1098.54,0.000455,11.1127
1325.71,0.000377,7.0551
1599.86,0.000313,4.0774
1930.70,0.000259,2.1039
2329.95,0.000215,0.9467
2811.77,0.000178,0.3612
3393.22,0.000147,0.1129
4094.92,0.000122,0.0277
4941.71,0.000101,0.0051
5963.62,0.000084,0.0007
7196.86,0.000069,0.0001
8685.11,0.000058,0.0000
10481.13,0.000048,0.0000
12648.55,0.000040,0.0000
15264.18,0.000033,0.0000
18420.70,0.000027,0.0000
22229.96,0.000022,0.0000
26826.96,0.000019,0.0000
32374.58,0.000015,0.0000
39069.40,0.000013,0.0000
47148.66,0.000011,0.0000
56898.66,0.000009,0.0000
68664.88,0.000007,0.0000
82864.28,0.000006,0.0000
100000.00,0.000005,0.0000
