Interlayer_Thickness_nm,sigma_max_clean_MPa,sigma_max_interdiff_MPa,Gc_clean_Jm2,Gc_interdiff_Jm2
100.0,260.00,300.00,1.8000,2.5000
150.0,255.83,295.56,1.8389,2.5389
200.0,251.67,291.11,1.8778,2.5778
250.0,247.50,286.67,1.9167,2.6167
300.0,243.33,282.22,1.9556,2.6556
350.0,239.17,277.78,1.9944,2.6944
400.0,235.00,273.33,2.0333,2.7333
450.0,230.83,268.89,2.0722,2.7722
500.0,226.67,264.44,2.1111,2.8111
550.0,222.50,260.00,2.1500,2.8500
600.0,218.33,255.56,2.1889,2.8889
650.0,214.17,251.11,2.2278,2.9278
700.0,210.00,246.67,2.2667,2.9667
750.0,205.83,242.22,2.3056,3.0056
800.0,201.67,237.78,2.3444,3.0444
850.0,197.50,233.33,2.3833,3.0833
900.0,193.33,228.89,2.4222,3.1222
950.0,189.17,224.44,2.4611,3.1611
1000.0,185.00,220.00,2.5000,3.2000
