pO2_atm,delta_600C,delta_700C,delta_800C,delta_900C
1.0000e-20,0.000100,0.006000,0.011900,0.017800
8.0309e-20,0.000100,0.005719,0.011338,0.016957
6.4495e-19,0.000100,0.005438,0.010776,0.016114
5.1795e-18,0.000100,0.005157,0.010214,0.015271
4.1596e-17,0.000100,0.004876,0.009652,0.014429
3.3405e-16,0.000100,0.004595,0.009090,0.013586
2.6827e-15,0.000100,0.004314,0.008529,0.012743
2.1544e-14,0.000100,0.004033,0.007967,0.011900
1.7302e-13,0.000100,0.003752,0.007405,0.011057
1.3895e-12,0.000100,0.003471,0.006843,0.010214
1.1159e-11,0.000100,0.003190,0.006281,0.009371
8.9615e-11,0.000100,0.002910,0.005719,0.008529
7.1969e-10,0.000100,0.002629,0.005157,0.007686
5.7797e-09,0.000100,0.002348,0.004595,0.006843
4.6416e-08,0.000100,0.002067,0.004033,0.006000
3.7276e-07,0.000100,0.001786,0.003471,0.005157
2.9936e-06,0.000100,0.001505,0.002910,0.004314
2.4041e-05,0.000100,0.001224,0.002348,0.003471
1.9307e-04,0.000100,0.000943,0.001786,0.002629
1.5505e-03,0.000100,0.000662,0.001224,0.001786
1.2452e-02,0.000100,0.000381,0.000662,0.000943
1.0000e-01,0.000100,0.000100,0.000100,0.000100
