Mix_ID,Data_Type,T_C,rho_mean_kgm3,rho_std_kgm3,k_mean_WmK,k_std_WmK,cp_mean_JkgK,cp_std_JkgK,E_mean_Pa,E_std_Pa,nu_mean,nu_std,alpha_th_mean_1K,alpha_th_std_1K,k_perm_mean_m2,k_perm_std_m2,phi_mean,phi_std,alpha_biot_mean,alpha_biot_std,fc_mean_Pa,fc_std_Pa
R5S,Calibration,20.0,2289.5652224861515,34.11831790182827,1.7404666112396896,0.1071786907698476,871.433304172048,29.214936106116397,34413789946.3871,3443828461.5015907,0.20130575519195215,0.0056797380863509465,8.475616986661436e-06,0.0,4.160975185424575e-18,1.7333668277141722e-18,0.10198687514545707,0.006699002695108196,0.6593144267146727,0.011535959341273248,72816815.91718635,7243848.370461189
R5S,Calibration,40.0,2286.374640742895,34.07077294388642,1.724360547771951,0.10618929149054857,891.1240693764315,29.329804793296404,34233445139.029133,3425781144.3815956,0.2015171423063903,0.0056797380863509465,8.48734994873785e-06,0.0,4.572215775143538e-18,1.9011793377512744e-18,0.10248398753186574,0.006699002695108196,0.6598477431726915,0.011535959341273248,72279776.98886299,7190423.505382855
R5S,Calibration,60.0,2277.5561696389314,33.93936310345986,1.7005254830652679,0.10472622132579376,1042.855758465187,29.444673480476432,33811911138.488743,3383597740.844432,0.2019566691459131,0.0056797380863509465,8.50114569252106e-06,0.0,5.11803166722488e-18,2.1205452938450615e-18,0.1034663813141222,0.006699002695108196,0.6604748224355647,0.011535959341273248,71052387.85998099,7068322.303494473
R5S,Calibration,80.0,2256.7104849445172,33.628727839480355,1.661005009071553,0.10230112035096219,1583.1985058290502,29.55954216765643,32908833884.573,3293225737.2140603,0.20280403598079905,0.0056797380863509465,8.517353263292018e-06,0.0,5.915902692932426e-18,2.4352907235397756e-18,0.10530803393866545,0.006699002695108196,0.661211530197881,0.011535959341273248,68473304.0539447,6811753.929962648
R5S,Calibration,100.0,2221.629837139638,33.105968023662854,1.6031312626860788,0.09875086577925193,2000.0,0.0,31427727158.13168,3145009643.9855494,0.20422351394430852,0.0056797380863509465,8.53637553450514e-06,0.0,7.138871337321801e-18,2.909124056730259e-18,0.10835199304655042,0.006699002695108196,0.6620761788893865,0.011535959341273248,64287230.06986941,6395321.477839774
R5S,Calibration,120.0,2186.5349730971484,32.58299636233456,1.5436884084664384,0.0951078987423001,1948.896322277021,28.804166767809452,29801550611.091873,2982276243.0771737,0.20612198012581504,0.0056797380863509465,8.558675495281675e-06,0.0,8.903189296622374e-18,3.583188515327557e-18,0.11241196772012872,0.006699002695108196,0.6630898134701381,0.011535959341273248,59642919.74705915,5933303.47636513
R5S,Calibration,140.0,2165.6451600078976,32.27170351210736,1.500371637566872,0.0924578772183803,1269.0462585653468,29.904148229196466,28463581036.00259,2848384053.0424814,0.20802002395603414,0.0056797380863509465,8.584782470275766e-06,0.0,1.1060470559316211e-17,4.400677316691692e-18,0.1165069436129825,0.006699002695108195,0.6642764941516877,0.011535959341273248,55655800.85479831,5536663.162905315
R5S,Calibration,160.0,2156.7479769396296,32.139120732908644,1.4727549197544834,0.09077054831717465,953.4771862389761,30.01901691637648,27414811376.379772,2743432438.9077063,0.20943820037748634,0.005679738086350946,8.615297880392712e-06,0.0,1.3254013876692175e-17,5.230680339925182e-18,0.11965733750469262,0.006699002695108198,0.6656635582479125,0.011535959341273248,52367953.673582606,5209586.701980944
R5S,Calibration,180.0,2153.4355001826925,32.089759337161695,1.454198942020183,0.08963624209397329,902.0627340691503,30.13388560355649,26597482577.473465,2661641384.087428,0.21028328025543247,0.0056797380863509465,8.650899987440535e-06,0.0,1.5270285059934152e-17,5.9966873873804805e-18,0.12168116869565879,0.006699002695108189,0.6672818358409953,0.011535959341273246,49739112.88320672,4948068.482106792
R5S,Calibration,200.0,2152.164537317144,32.070819883215435,1.4399264039681448,0.08876226168575392,901.5947702721592,30.2487542907365,25998083377.79694,2601658800.7432775,0.21071934828263816,0.0056797380863509465,8.69234686213424e-06,0.0,1.71402102289651e-17,6.711245367856161e-18,0.1229287175284334,0.006699002695108195,0.6691657846907092,0.011535959341273248,47815114.36867499,4756668.2769658435
R5S,Calibration,220.0,2151.53735529314,32.061473831193354,1.4274117973122242,0.0879947675950219,904.9000280258078,30.363622977916513,25576557036.073833,2559476163.6329737,0.21092582325702042,0.0056797380863509465,8.74047657595704e-06,0.0,1.8991233308612492e-17,7.421365269526566e-18,0.12378416432813502,0.006699002695108196,0.671353498955382,0.011535959341273248,46499780.20709654,4625818.265152659
R5S,Calibration,240.0,2151.0424908036102,32.05409952981674,1.4154400776097242,0.0872600501915602,908.3217989475253,30.47849166509653,25267896903.016052,2528588180.8559747,0.2110169888377993,0.0056797380863509465,8.79620335506804e-06,0.0,2.0944737777428503e-17,8.171483377501943e-18,0.1244999886356032,0.0066990026951081975,0.6738865343695183,0.011535959341273248,45590686.430676475,4535381.222719957
R5S,Calibration,260.0,2150.4724978320887,32.04560568949577,1.4034214572074768,0.08652241325840487,911.7451133817046,30.593360352276534,25011081465.776505,2502888357.805495,0.21105237846587638,0.0056797380863509465,8.860508174354288e-06,0.0,2.3098153243804546e-17,8.997184713928476e-18,0.12521847935994226,0.006699002695108198,0.6768094807007113,0.011535959341273248,44892233.799129486,4465898.852567574
R5S,Calibration,280.0,2149.7092790557886,32.034232464316304,1.3910331063835903,0.08576231983324265,915.168436688701,30.708229039456548,24760682176.539173,2477830606.236757,0.21106015997557614,0.0056797380863509465,8.9344220569451e-06,0.0,2.5536366642315207e-17,9.929421126988904e-18,0.1260198518113783,0.006699002695108196,0.6801692026366575,0.011535959341273248,44260673.40247983,4403070.950900992
