material,x_position_um,y_position_um,youngs_modulus_GPa,hardness_GPa,reduced_modulus_GPa,max_load_mN,max_depth_nm,contact_area_nm2,creep_compliance_1_GPa,creep_depth_nm,plastic_work_pJ,elastic_work_pJ,oliver_pharr_beta,measurement_temp_C,drift_rate_nm_s
YSZ,0,0,167.79147361226555,13.247769469664659,184.38623473875333,10,15500.78464479646,754844.0530232997,0.00863080097067411,459.41318686480236,108505.49251357521,46502.35393438938,1.034,25,0.01043240096761092
YSZ,0,50,192.6053428830753,12.796053073573484,211.6542229484344,10,15772.010128373759,781490.9755768428,0.008236067559320694,446.07267473997496,110404.0708986163,47316.030385121274,1.034,25,0.022256846682143228
YSZ,0,100,197.99974536569687,12.678413766552257,217.58213776450205,10,15845.013119129157,788742.2026233003,0.008134515789891517,442.6117940758899,110915.09183390408,47535.03935738747,1.034,25,0.0421461092031971
YSZ,0,150,175.57056338462687,13.039794966251408,192.9346850380515,10,15623.90833465238,766883.2236918777,0.00844443489552023,453.06336536697734,109367.35834256666,46871.725003957145,1.034,25,0.012434577605310833
YSZ,0,200,170.4077105000091,14.020777988340738,187.26122032968033,10,15067.423924289264,713227.183849263,0.008363755499932062,432.75192503276634,105471.96747002483,45202.27177286779,1.034,25,0.015663494112523674
YSZ,0,250,182.506878649779,14.191752067726103,200.55700950525164,10,14976.38706798236,704634.6323045838,0.008328971231611524,428.3483423590309,104834.70947587652,44929.16120394708,1.034,25,0.011546725015778967
YSZ,0,300,161.15976913862272,10.35488297232967,177.0986474050799,10,17532.84793632548,965727.9591398581,0.008690335550964214,523.2240335575591,122729.93555427835,52598.543808976436,1.034,25,0.033763237484954155
YSZ,0,350,167.21475511451962,12.673321726464543,183.75247814782375,10,15848.195999705786,789059.1129804518,0.008666647580069279,471.66064766168387,110937.3719979405,47544.58799911736,1.034,25,0.03990067168908923
YSZ,0,400,178.61999169181271,12.594585218687978,196.28570515583814,10,15897.657233139096,793992.0073875791,0.008204066590866166,447.8792872211545,111283.60063197366,47692.971699417285,1.034,25,0.04601591577753773
YSZ,0,450,166.44537348060277,14.083865834408991,182.9070038248382,10,15033.639229436967,710032.3247590519,0.008424208876807315,434.9025190331809,105235.47460605876,45100.917688310896,1.034,25,0.034279452126234185
YSZ,50,0,183.10612767890686,13.937066653726562,201.21552492187567,10,15112.606525496141,717511.09817116,0.008506304852848243,441.4474279769328,105788.24567847297,45337.81957648842,1.034,25,0.039442332908868526
YSZ,50,50,191.65820918872058,14.076708213130598,210.61341669090172,10,15037.460840971617,710393.3567843732,0.008297023768714511,428.44543139668025,105262.22588680132,45112.38252291485,1.034,25,0.021465300936802843
YSZ,50,100,183.40677690702012,14.51555968613507,201.5459086890331,10,14808.401151903952,688915.9092881393,0.008442884044830809,429.3363580731445,103658.80806332765,44425.20345571185,1.034,25,0.026181209152970647
YSZ,50,150,167.58130962758204,13.007187714322567,184.15528530503522,10,15643.479584170538,768805.6957145878,0.008692686253107302,466.96683502327676,109504.35708919376,46930.43875251161,1.034,25,0.01477905555564964
YSZ,50,200,177.03382853747837,11.439877929879088,194.5426687225037,10,16680.703717656284,874135.2015550478,0.008629795414053768,494.3260996430132,116764.92602359399,50042.11115296886,1.034,25,0.047989464846964855
YSZ,50,250,181.34845186195056,14.37033863716097,199.2840130351105,10,14883.037034717478,695877.8253242067,0.008086580330357208,413.2902311965399,104181.25924302234,44649.111104152435,1.034,25,0.018076077157521166
YSZ,50,300,162.98173989782072,12.523983149376004,179.10081307452825,10,15942.404582155807,798468.0177806085,0.00842874002742796,461.4399140134003,111596.83207509064,47827.21374646742,1.034,25,0.015273664048501723
YSZ,50,350,156.52561603374468,13.703968126330999,172.0061714656535,10,15240.593994056007,729715.6493516545,0.008795311789875545,460.3114797387955,106684.15795839205,45721.781982168024,1.034,25,0.03449055205486626
YSZ,50,400,189.43309278809423,12.844720270792642,208.1682338330706,10,15742.102588154932,778529.9943618706,0.008152894608251545,440.7306349548348,110194.71811708451,47226.30776446479,1.034,25,0.013203524049124917
YSZ,50,450,177.6047813725817,12.341393716518306,195.17008942041943,10,16059.904555688598,810281.2558856725,0.008205425007610227,452.5251418396125,112419.33188982018,48179.71366706579,1.034,25,0.02659231568025952
YSZ,100,0,181.51609050871198,13.62277355821549,199.46823132825492,10,15285.945076431153,734064.9066261031,0.008206419087637801,430.76921544564664,107001.61553501806,45857.83522929346,1.034,25,0.02958056357955951
YSZ,100,50,159.51738007764945,11.983063466346037,175.29382426115325,10,16298.25595622457,834511.1438393536,0.008764205163083108,490.5150556812733,114087.79169357198,48894.76786867371,1.034,25,0.03195477273974631
YSZ,100,100,171.3641657651391,11.000889261351881,188.31227007158142,10,17010.26843556153,909017.42235801,0.0085474829414479,499.2844984521852,119071.87904893071,51030.8053066846,1.034,25,0.031840469269377294
YSZ,100,150,167.88570297036773,13.934989141364046,184.48978348392058,10,15113.733022849518,717618.0690601626,0.008479836413791884,440.10661190570124,105796.13115994661,45341.19906854855,1.034,25,0.046659383609611096
YSZ,100,200,164.14766748860555,12.639230602053638,180.38205218528083,10,15869.554854923603,791187.4001551318,0.008271244563732492,450.7484891022679,111086.88398446521,47608.66456477081,1.034,25,0.010652041907179638
YSZ,100,250,180.06936338452738,13.122734067968082,197.87842130167843,10,15574.4564859597,762036.3217151131,0.008112435360876689,433.87319673845303,109021.19540171788,46723.3694578791,1.034,25,0.013479788655931779
