date,country,google_trend_mobile_money_fraud,social_sentiment_avg,social_mention_volume,cyber_incidents_finsec
2018-01-01,CM,36,0.2258654867174932,1652,57
2018-02-01,CM,26,0.11789191632607836,1820,0
2018-03-01,CM,50,-0.007421546517839185,1784,2
2018-04-01,CM,46,0.08159047987378902,1674,4
2018-05-01,CM,49,0.21554638119556843,1757,1
2018-06-01,CM,42,0.11196588057894556,1765,12
2018-07-01,CM,33,0.3277096670383237,1816,6
2018-08-01,CM,24,0.2865991142435737,1645,5
2018-09-01,CM,11,0.5922892887835614,1627,0
2018-10-01,CM,9,0.4574565669288451,1774,20
2018-11-01,CM,26,0.21557602574973234,1880,19
2018-12-01,CM,26,0.3665943750095695,1625,9
2019-01-01,CM,37,0.04723981957608812,1808,19
2019-02-01,CM,52,-0.0271561707396592,1599,6
2019-03-01,CM,47,-0.039860042253075705,1876,48
2019-04-01,CM,43,0.03476566619135122,1741,24
2019-05-01,CM,39,0.09215600238616277,1655,32
2019-06-01,CM,43,0.2579761733080624,1970,2
2019-07-01,CM,40,0.3045760788842591,1803,4
2019-08-01,CM,17,0.28914427620463296,1587,0
2019-09-01,CM,8,0.4750297616088062,1600,22
2019-10-01,CM,13,0.4841829494155318,1990,9
2019-11-01,CM,20,0.12167013358316518,1877,36
2019-12-01,CM,22,0.3285440866920289,1785,10
2020-01-01,CM,35,0.05973251037045215,1884,7
2020-02-01,CM,46,0.0911000004615325,1727,0
2020-03-01,CM,50,-0.051556047966464284,1621,2
2020-04-01,CM,57,0.08151805819667526,1827,12
2020-05-01,CM,40,0.01814619873055266,1899,19
2020-06-01,CM,48,0.16998596739500038,1574,40
2020-07-01,CM,38,0.18422124491763392,1822,31
2020-08-01,CM,25,0.30073921775389006,1560,7
2020-09-01,CM,20,0.37515287393439384,1473,3
2020-10-01,CM,13,0.3668086474288634,1830,3
2020-11-01,CM,24,0.37125161504914117,1796,2
2020-12-01,CM,32,0.3594077401544887,1815,11
2021-01-01,CM,33,0.1451799495605047,1817,7
2021-02-01,CM,45,0.18913779821526966,1648,8
2021-03-01,CM,39,0.1604451528508144,1922,18
2021-04-01,CM,51,0.09731776547674977,2046,7
2021-05-01,CM,47,-0.20150183076252723,1987,6
2021-06-01,CM,45,0.09241789765513354,1662,34
2021-07-01,CM,38,0.007738576858080067,1875,15
2021-08-01,CM,21,0.29545993457626224,1784,2
2021-09-01,CM,18,0.2804691459076711,1749,14
2021-10-01,CM,21,0.4587039390725325,1717,8
2021-11-01,CM,15,0.24934535766720053,1794,20
2021-12-01,CM,32,0.20658025727621318,2031,17
2022-01-01,CM,36,0.4163814565432416,1860,8
2022-02-01,CM,53,0.2454865335145683,1697,11
2022-03-01,CM,44,0.10757781404137574,1952,11
2022-04-01,CM,48,0.092492783198868,1687,5
2022-05-01,CM,56,0.08316530498086368,1792,49
2022-06-01,CM,42,0.1276040131959035,1658,35
2022-07-01,CM,37,0.026377011765371782,1778,27
2022-08-01,CM,32,0.3476832708796287,1693,0
2022-09-01,CM,24,0.3295398256055994,1737,2
2022-10-01,CM,17,0.3693600215113719,1816,8
2022-11-01,CM,14,0.24192164514455758,1774,5
2022-12-01,CM,53,0.20965181946752875,1706,4
2023-01-01,CM,35,0.0631740748621652,1806,33
2023-02-01,CM,51,0.06966389191853209,1749,8
2023-03-01,CM,61,0.003803074130232014,1649,9
2023-04-01,CM,76,-0.02394155101643855,1719,22
2023-05-01,CM,43,0.05280119902021563,1634,15
2023-06-01,CM,47,0.06208111963534147,1920,22
2023-07-01,CM,44,0.1329964588404545,1872,3
2023-08-01,CM,37,0.19308556280078973,1778,3
2023-09-01,CM,25,0.39518934159058833,1770,5
2023-10-01,CM,29,0.27630227812908176,1723,8
2023-11-01,CM,30,0.20312814075495442,1955,11
2023-12-01,CM,35,0.06828801199492068,1934,3
2024-01-01,CM,29,0.1387630261064678,1845,15
2024-02-01,CM,53,0.044134472155962855,1854,3
2024-03-01,CM,70,0.01945542188199634,1848,5
2024-04-01,CM,59,0.22811195158973388,1899,17
2024-05-01,CM,56,-0.010201438838065777,1725,3
2024-06-01,CM,38,0.2115200354551409,1955,40
2024-07-01,CM,44,0.18863977490088943,1905,17
2024-08-01,CM,39,0.2303803231102044,1762,10
2024-09-01,CM,29,0.4543769702538181,1834,2
2024-10-01,CM,14,0.2877468822873028,1648,8
2024-11-01,CM,31,0.11791212975219538,1728,2
2024-12-01,CM,28,0.32153212765925293,1772,17
2025-01-01,CM,54,0.07488261065914005,1775,7
2025-02-01,CM,55,-0.03658885560907661,1819,2
2025-03-01,CM,56,0.15099095069698912,1701,13
2025-04-01,CM,53,-0.0956257071987815,1819,16
2025-05-01,CM,49,-0.04645064872680383,1927,3
2025-06-01,CM,56,0.10575255217811037,1755,5
2025-07-01,CM,38,0.14796333438556775,1697,20
2025-08-01,CM,34,0.2804569586497167,1610,3
2025-09-01,CM,28,0.44272240762441867,1533,1
2025-10-01,CM,25,0.48696499966461865,1874,2
2025-11-01,CM,25,0.1932276843303432,1875,7
2025-12-01,CM,43,0.010038745199346338,1875,6
2018-01-01,ET,34,0.2329780590721373,1112,2
2018-02-01,ET,42,0.2740718804446934,1192,8
2018-03-01,ET,41,0.16069831198214404,1178,3
2018-04-01,ET,44,0.04364198821148568,1239,3
2018-05-01,ET,46,-0.05012296339176844,1031,1
2018-06-01,ET,27,0.2872857190094795,1186,23
2018-07-01,ET,31,0.22515688714846702,1306,2
2018-08-01,ET,35,0.26767446167932046,1305,51
2018-09-01,ET,12,0.2380400187659901,1212,24
2018-10-01,ET,21,0.43316962065842723,1178,12
2018-11-01,ET,26,0.24438360020767955,1227,6
2018-12-01,ET,26,0.37587345433014835,1196,93
2019-01-01,ET,18,0.36086658610678607,1219,12
2019-02-01,ET,40,0.30232193423787046,1376,1
2019-03-01,ET,44,0.27076882264424157,1314,4
2019-04-01,ET,75,-0.027735866747551966,1115,11
2019-05-01,ET,53,0.062218115753739034,1237,0
2019-06-01,ET,41,0.23149412654150403,1193,29
2019-07-01,ET,31,0.07509775696874778,1087,14
2019-08-01,ET,23,0.0950631387303927,1216,34
2019-09-01,ET,17,0.2513560475743568,1259,0
2019-10-01,ET,26,0.3220672381455561,1187,6
2019-11-01,ET,23,0.25040094908727917,1165,12
2019-12-01,ET,31,0.26855320563816415,1265,68
2020-01-01,ET,39,0.14348077986368343,1176,16
2020-02-01,ET,43,0.15684693692259588,1183,3
2020-03-01,ET,50,0.15830194270464448,1017,3
2020-04-01,ET,52,0.17082770050662346,1124,13
2020-05-01,ET,48,0.14467770697014234,1028,24
2020-06-01,ET,35,-0.008743137684027472,1125,8
2020-07-01,ET,31,0.18883197961084627,1100,12
2020-08-01,ET,29,0.15758972853793898,1240,52
2020-09-01,ET,32,0.2676182919093393,1387,9
2020-10-01,ET,16,0.4221675187189759,1233,40
2020-11-01,ET,15,0.3476307053935983,1360,13
2020-12-01,ET,19,0.4013243546325813,1211,30
2021-01-01,ET,38,0.3605039749954586,1267,0
2021-02-01,ET,36,0.15572630235662246,1137,27
2021-03-01,ET,41,0.17927141449319126,1077,31
2021-04-01,ET,56,0.05032313994698911,1284,69
2021-05-01,ET,53,0.15899500576312664,1368,3
2021-06-01,ET,43,0.06260779640289249,1318,30
2021-07-01,ET,36,0.08533819761578054,1165,11
2021-08-01,ET,26,0.17586826639974876,1095,2
2021-09-01,ET,38,0.3123364236819339,1191,11
2021-10-01,ET,19,0.29248562550778034,935,10
2021-11-01,ET,32,0.2013138643184493,1185,6
2021-12-01,ET,25,0.22135379873581554,1137,43
2022-01-01,ET,32,0.3012955087217502,1329,49
2022-02-01,ET,42,0.16347972895939208,1211,7
2022-03-01,ET,49,0.1937646652927404,1071,22
2022-04-01,ET,52,-0.09355903599504571,1256,110
2022-05-01,ET,42,0.09328946391215125,1370,16
2022-06-01,ET,50,0.20469083173796435,1339,17
