country,year,hhi,licenses_new
CM,2018,2938.0014897772517,12
CM,2019,2883.701885027226,8
CM,2020,2873.4163042337887,9
CM,2021,3127.6160460171122,11
CM,2022,2965.282677148369,11
CM,2023,3182.9314472753726,8
CM,2024,3056.2293607716215,8
CM,2025,2728.5044117560715,11
ET,2018,3279.422203359853,17
ET,2019,3029.14024968922,16
ET,2020,3022.0460087227566,21
ET,2021,2841.707198384158,16
ET,2022,3031.403899344857,16
ET,2023,3248.6556067228926,24
ET,2024,3410.8607992590764,18
ET,2025,3239.3264824102985,18
GH,2018,2583.815872822396,12
GH,2019,2542.06802320618,17
GH,2020,2810.6850167866423,15
GH,2021,2663.9070442517927,16
GH,2022,3125.827926824975,15
GH,2023,2969.224997700247,19
GH,2024,3154.4209229691164,14
GH,2025,3062.807914463919,13
KE,2018,3752.065868332028,13
KE,2019,3467.5549650527632,18
KE,2020,3865.371184316448,17
KE,2021,3280.5065286618824,25
KE,2022,3113.5488326593804,19
KE,2023,3630.908970162103,14
KE,2024,3168.073963458414,20
KE,2025,2888.160059134831,21
NG,2018,3345.8674591718504,4
NG,2019,3294.250982807412,4
NG,2020,3329.6273611296733,7
NG,2021,3424.8372637918087,3
NG,2022,3025.370748875622,6
NG,2023,3144.9074692315917,7
NG,2024,3080.0516981924106,8
NG,2025,3159.8716022776584,5
RW,2018,3766.902370935456,18
RW,2019,3319.024894303287,16
RW,2020,3284.8146622684226,14
RW,2021,3197.2802966382355,19
RW,2022,2821.764600760796,27
RW,2023,3013.394330705135,22
RW,2024,2994.604518614513,22
RW,2025,2755.374270974562,16
TZ,2018,3515.3500562289973,7
TZ,2019,3418.76638918506,9
TZ,2020,3305.565803100169,6
TZ,2021,3630.5181046261855,16
TZ,2022,3731.958420350421,11
TZ,2023,3587.866365706751,13
TZ,2024,3612.057321770874,14
TZ,2025,3332.1672938895745,12
UG,2018,2988.4297069132135,7
UG,2019,2938.8931827670035,6
UG,2020,2722.907107604637,9
UG,2021,2737.561157520975,9
UG,2022,2569.527182176929,14
UG,2023,2660.926798095449,8
UG,2024,2654.6953365213462,11
UG,2025,2566.869888917371,10
ZA,2018,3234.047557341588,11
ZA,2019,2869.002050845521,12
ZA,2020,3208.888003549359,7
ZA,2021,2803.8611033308175,9
ZA,2022,2708.338114293732,9
ZA,2023,3144.862094059911,11
ZA,2024,2796.4319059569216,11
ZA,2025,2972.3524320689594,11
ZM,2018,3301.9292676086275,17
ZM,2019,3419.798180280138,15
ZM,2020,3396.109268000155,18
ZM,2021,2973.338132612996,18
ZM,2022,2622.493174240057,18
ZM,2023,2445.336991167198,19
ZM,2024,2565.003544005053,22
ZM,2025,2702.3617757589477,23
