frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-63.617783,-48.834225,-37.472927
9.765625,-62.398914,-45.4015,-44.199158
19.53125,-64.27639,-51.350574,-45.35425
29.296875,-64.058044,-51.322304,-40.85413
39.0625,-59.855797,-45.981163,-39.165474
48.828125,-59.017483,-45.529076,-37.761894
58.59375,-57.175194,-47.08938,-40.78868
68.359375,-58.56358,-47.21038,-40.714535
78.125,-57.677765,-41.146713,-38.35259
87.890625,-55.291862,-43.364048,-35.092644
97.65625,-53.29428,-37.789024,-24.749107
107.421875,-52.10727,-37.968758,-31.0635
117.1875,-50.100903,-36.695206,-29.900396
126.953125,-47.57112,-35.89176,-24.89931
136.71875,-43.01184,-28.753826,-20.380016
146.48438,-38.433105,-20.330326,-11.308216
156.25,-36.439205,-18.21038,-12.329641
166.01562,-30.446983,-18.490345,-8.875433
175.78125,-26.968882,-12.551808,-9.618872
185.54688,-25.680696,-6.6055274,0.1453963
195.3125,-19.889853,-0.8833345,-1.644109
205.07812,-19.05607,-2.9591486,-0.92991585
214.84375,-13.374782,-3.797079,1.1930318
224.60938,-6.1298666,-0.27106756,0.50079083
234.375,-1.7730309,1.1385229,-0.029736608
244.14062,-0.6689687,-0.85417604,0.2630745
253.90625,-0.4109889,-0.07492867,0.32480356
263.67188,0.71695215,0.2728191,0.49117523
273.4375,1.4962683,0.45601487,0.3095492
283.20312,-0.18516397,-0.065062135,0.27908212
292.96875,-0.7833055,-0.051430184,0.23978649
302.73438,-1.3947809,0.1314939,0.18720594
312.5,-0.7562299,-0.15808165,0.30351534
322.26562,1.6605891,-0.17670968,0.24373633
332.03125,1.8857143,0.10866822,0.26485714
341.79688,0.29615018,0.34357828,0.2508463
351.5625,-0.07629944,0.28256953,0.2581057
361.32812,-0.1708701,0.34338456,0.30311945
371.09375,-0.20446146,0.34449804,0.3759348
380.85938,-1.0819998,0.29217613,0.44671243
390.625,-1.5308477,0.5028128,0.37215
400.39062,-1.357016,0.5628973,0.25005704
410.15625,-1.1070305,0.31465214,0.24522059
419.92188,-0.64054966,0.1459355,0.34710318
