sample_id,xrd_crack_depth_mm,pso_predicted_depth_mm,true_crack_depth_mm,xrd_measurement_error_mm,pso_prediction_error_mm,xrd_pso_difference_mm,pso_iterations,pso_convergence_rate,fitness_value,crack_type,crack_orientation_deg,crack_width_mm,x_position_mm,y_position_mm,stress_intensity_factor_MPa_sqrtm,detection_confidence,material,sintering_temperature_C
1,3.926887080545002,3.8746540689529914,3.941234303691068,0.014347223146065957,0.06658023473807662,0.05223301159201066,128,0.9076078826591158,0.037549220773776724,surface,69.3479292334331,0.3508183163636094,36.072898449608616,16.055806714959147,0.06348149349358696,0.718430117713187,Al2O3,1554.361069607602
2,5.0710603824004625,4.8400948307302105,4.960774599988279,0.11028578241218323,0.12067976925806878,0.230965551670252,102,0.9038291013970248,0.019011635676492278,through-thickness,51.8623425109069,0.055305383302151075,64.88983979970759,21.2535372744205,0.5847663545309597,0.9664852331288389,Al2O3,1455.856465693443
3,1.876884658121164,1.9760248738402222,1.9811813464559254,0.10429668833476136,0.005156472615703178,0.09914021571905818,115,0.8637545110572676,0.06973144137638436,through-thickness,76.54411697243071,0.32440580357469795,83.32134181708034,35.03321028616451,0.07951314644435292,0.9209926172866465,SiC,1407.869179330638
4,2.0934055105516034,1.992434211287301,1.992056607706756,0.10134890284484732,0.0003776035805449496,0.10097129926430237,199,0.8736963333885663,0.03010459697662654,surface,42.56198520194934,0.38660956979720534,86.22473692248397,41.02142794797192,0.21192025885494115,0.9118236795375183,Al2O3,1583.366201942181
5,4.122175690149069,4.222545686542601,4.266081321330819,0.1439056311817497,0.04353563478821787,0.10036999639353184,118,0.9362548689384032,0.01725201377933919,through-thickness,56.45275092168307,0.40572875252715196,77.41071203760409,14.89322436125442,0.10914025853728243,0.7511862786359795,Si3N4,1558.4902895467262
6,2.905578846968859,3.0651822615157753,3.0436761085071273,0.1380972615382685,0.021506153008648,0.1596034145469165,143,0.9232716213418225,0.01267444277214453,through-thickness,45.641455066297944,0.1962422109583992,15.754003759155921,20.826694873759315,0.20533189393034762,0.7254988796485901,Al2O3,1607.2449347339082
7,0.2750497630939916,0.11941774900511237,0.2051315202065121,0.0699182428874795,0.08571377120139972,0.15563201408887922,95,0.9419620800527256,0.08511632437352058,subsurface,6.381671257193007,0.2204953875797548,26.20300933311447,24.335851034059193,0.0664406215491124,0.9396946040166658,SiC,1449.667052629518
8,4.189089137704002,4.204674699486404,4.119369847287407,0.06971929041659486,0.08530485219899653,0.015585561782401669,151,0.8658401544824598,0.09565508650953874,surface,14.003489342624052,0.10476480806818309,65.3418835393093,5.359952661366124,0.5137495830394962,0.7168929628278357,Si3N4,1531.6357562716762
9,4.807541436541561,5.002345813598068,4.998508485838326,0.19096704929676545,0.003837327759741882,0.19480437705650733,137,0.9390837976106753,0.09416654389668018,subsurface,24.58473213771497,0.1554607262333435,6.928820309031202,14.293391782313869,0.1296373997523263,0.8448401286044364,SiC,1593.7074581187542
10,3.9212966345179163,3.961734182223189,4.0828088141358885,0.16151217961797215,0.12107463191269963,0.040437547705272525,88,0.8646020452182268,0.04135045638863189,surface,57.1049306405349,0.4428183052295193,45.48417208732158,37.33325863834093,0.1478632976157487,0.9595402498067207,Al2O3,1420.3953389646883
11,0.36020846473345236,0.1867714132101455,0.1302217820411367,0.22998668269231565,0.056549631169008796,0.17343705152330685,67,0.953103249958772,0.060603498323854636,subsurface,67.13258498666097,0.07524058897536812,20.045546130537993,34.42921444537584,0.09875297308188259,0.8186860619829326,Si3N4,1631.3817848624403
12,0.07243997423124965,0.34402413691768347,0.317773033990163,0.24533305975891334,0.026251102927520475,0.2715841626864338,84,0.8762127375461461,0.053986306275042736,through-thickness,27.363551570150776,0.4072881153597858,91.1311582175626,3.647894485728181,0.13918369405804207,0.7740495964836422,Si3N4,1556.3651247347648
13,3.5757794763549517,3.5533821063531037,3.5668757748414044,0.008903701513547357,0.013493668488300692,0.02239737000184805,152,0.977218633387551,0.0743336236442243,surface,44.71774701702659,0.02361846708386823,33.928278180594184,26.126761779255915,0.33773616225883457,0.7603736146224769,SiC,1615.7557561223107
14,4.331768682913819,4.561309473129445,4.522847380071946,0.19107869715812686,0.03846209305749859,0.22954079021562546,145,0.8790520475350322,0.06611656721135571,surface,1.4505574038987845,0.023800847068215385,47.113431847142216,9.161293345267719,0.4213599699247497,0.8183756167138861,SiC,1545.2825731465114
15,2.0218666206075713,2.210626699992897,2.163037782093935,0.14117116148636377,0.04758891789896191,0.18876007938532569,151,0.9498144248870202,0.09356749152901478,surface,77.45391931644579,0.4731926739496733,64.86793827417188,38.57165039615065,0.2163277597433992,0.9761192717375609,Al2O3,1491.3421704847146
16,1.3033119920071168,1.1813263780724768,0.9643971717423242,0.3389148202647926,0.21692920633015256,0.12198561393464002,58,0.9555480166076409,0.028286862394080552,subsurface,62.730586169534455,0.43127646887415394,73.39004157889332,39.94125457761425,0.28621252141485065,0.873353752754401,SiC,1484.861497354222
17,0.3145311734797627,0.2178793198599358,0.26899962642932307,0.04553154705043966,0.051120306569387264,0.09665185361982692,99,0.9478878463860126,0.03696446189436425,surface,36.339038141022954,0.47420100821372163,31.994886235158738,9.166152111248039,0.07036668666996954,0.8941595552045836,ZrO2,1667.6850116045564
18,1.9268084828088496,2.1473103355522367,2.1060582125231395,0.17924972971428987,0.0412521230290972,0.22050185274338707,109,0.9618375124656797,0.04533666607195303,through-thickness,47.18681500072064,0.42436992627126796,97.99636787214352,14.05750807542508,0.376677011177805,0.7063817873641473,Al2O3,1497.43851962358
19,1.8162286976729076,1.9705216791422593,1.8294977645507617,0.013269066877854119,0.14102391459149755,0.15429298146935166,114,0.9544543346587444,0.030930434225979003,through-thickness,79.99407600315254,0.1899486808151581,18.298173654368068,43.73297170666841,0.38349407801582236,0.7292627645198521,Si3N4,1614.1371351474834
20,3.3416979031192233,3.3536433898126745,3.4085762729441966,0.0668783698249733,0.054932883131522114,0.01194548669345119,77,0.8835371888730374,0.050635748653175564,surface,52.221044109179694,0.3630811463493843,33.10747386981765,30.151042414356098,0.49180058091972484,0.7273250426977025,SiC,1447.9155190061292
