design_id,design_type,length_mm,width_mm,height_mm,wall_thickness_mm,channel_count,design_specific_parameter,volume_mm3,surface_area_mm2,hydraulic_diameter_mm,flow_rate_L_per_min,pressure_drop_kPa,stress_concentration_factor,max_von_mises_stress_MPa,max_displacement_mm,max_strain_microstrain,thermal_performance_score,max_temperature_C,thermal_gradient_C_per_mm,heat_transfer_coefficient_W_m2K,manufacturing_difficulty_score,manufacturing_cost_relative,warpage_risk_mm,crack_risk_score,weight_kg,efficiency_score,material,sintering_temperature_C
1,trapezoidal,134.3870137851489,49.85271699612214,7.609871003440572,4.22243991398328,12,19.449083303909692,35687.939266536385,16203.196702278168,8.810098382998378,8.258139447723183,0.8925187956894727,1.937788770928595,139.3855217460156,0.42879227691906413,1199.733106588693,77.17435264614414,229.47804624696928,17.12444562182429,804.620291798892,6.165500804577311,2200.340182615363,0.9429079852055473,1.7327707887582307,0.1391829631394919,6.45948957296223,Si3N4,1404.6590414140637
2,bow_shaped,184.75876253413244,21.167555462594812,5.575487904443811,4.439067788664433,1,219.69132702128718,15263.589204524544,10118.062096678072,6.034194713841827,6.282897359992522,2.857041795950431,1.4683795599878984,377.268684843547,0.274976044735767,537.1960407150732,88.50703649811001,168.41560408203907,19.724737782375513,27.298482871781815,8.800320089969414,1343.244707216176,0.8704190739362774,4.859577492798687,0.05952799789764572,6.849218170050343,Si3N4,1557.393827147413
3,bow_shaped,98.04778603546393,45.4368945756039,24.16846046765048,4.318349250443468,5,73.5134845286536,75369.1226390527,15845.581497053581,19.025902622271644,4.888528339367183,2.942763958807794,1.5741511094526133,419.05100096759656,0.4801583370461243,1177.2993383251414,86.54538003692953,441.13542339879905,17.336836136078574,381.0625251023355,8.978495384647195,6767.0131975964305,0.7330853490925022,4.413793152752696,0.29393957829230555,6.123417990286601,SiC,1400.0496489503435
4,rectangular,169.3768336810833,16.196477614698633,18.458928920019392,4.066497088851651,8,0.8774332294618109,35446.970394044816,12337.585315651339,11.492352672634293,0.9495930281062516,0.7944590256553488,3.0125756847708267,500.65537941715456,0.32118768277732435,404.01336870665386,75.10559907212271,546.5433698455039,11.630121228278561,31.87234277597274,3.389536795322154,1201.4881043330993,1.3731951321262126,7.003245382721545,0.13824318453677478,7.355191682925863,Al2O3,1440.1777287457326
5,bow_shaped,53.36678764634094,44.60681893945322,5.717949838563026,3.530659228004168,8,94.3596404349035,9528.196307225264,5881.4616037625165,6.480155409757222,3.5961512673425045,2.0317329695514705,1.6582996944504722,99.75066106279189,0.017257017949935755,479.1793853075323,91.58838215766161,259.0859704363557,10.20595284764538,839.461018185767,6.9444532681042785,661.681139848496,0.9750906778942015,1.2754983789008665,0.03715996559817853,7.953152447155184,Si3N4,1503.1788009315057
6,circular,123.5814734235084,47.28664459769996,7.517517940637157,2.7635876943539843,29,10.894993830863138,30751.36373166113,14256.514710689771,8.628017255466583,7.957529311240753,0.69817620909604,1.2782229270167715,91.01511049627432,0.27538070709930124,1499.5999829549305,91.68970637963015,458.025444748106,11.14706530867053,497.81009967550557,3.585634390678926,1102.631473565208,0.793352223618357,2.409712591994801,0.11993031855347841,20.00543385418398,SiC,1501.3171198956559
7,rectangular,157.2943093922057,49.16332772134102,16.56482568111175,3.9336417737040503,13,2.9679351094771933,89668.352881904,22306.09290134229,16.079616144073015,5.786400362257002,3.130880884814378,3.0671351739739263,399.0549561690555,0.3571465504706879,1983.05094073914,81.97092047957335,294.97942889059016,16.029917976541068,253.64814476480933,4.804591622550629,4308.198170643095,1.1616009010981794,4.794244805098928,0.3497065762394256,5.5625050175553685,ZrO2,1655.8209602372096
8,rectangular,60.5820506552797,24.773335912190284,18.108881053604524,3.2480073483396454,6,1.3680213503450682,19024.713153495704,6093.020067534638,12.489512880395615,5.159509281314495,1.0568463656775184,3.0047593048794585,190.41134890938187,0.25681741630335003,445.47739652990947,74.40861119311532,180.57751628457655,8.302952055876277,368.16928627482974,3.6939110686811265,702.755984961812,1.0800829264916596,3.014772724300918,0.07419638129863325,6.703893006887229,Al2O3,1570.7688364268624
9,trapezoidal,149.21023973179655,36.15335883212807,10.85396660214847,1.90849422175563,12,9.67951357674381,40985.83626512733,14812.763293036774,11.067708422612563,8.705836399220015,0.6886738439490077,2.3048526044746795,507.68549883819617,0.31781297146190846,410.45343942775946,79.99825671465412,357.3068822237759,6.267378990696274,564.8324744195323,5.547287270593076,2273.6020778815287,0.8391395081410107,6.982861953973976,0.15984476143399656,6.256863910192582,SiC,1433.4521312620873
10,bow_shaped,66.16823926989261,31.666381966614622,14.380959528173225,1.7701883910735385,7,63.81431905359856,21092.785119983608,7004.528934470272,12.045226919505204,7.703952583699269,4.779827452067408,1.6456605872212826,117.33433839171013,0.15147738676867262,930.7511418893849,87.54755183892664,279.96915860636227,15.703513335093888,265.21000901934076,8.575911347210676,1808.8985525474393,0.6393072474419537,2.706087857943568,0.08226186196793607,6.203309574610391,Si3N4,1467.5351483084837
