sensor_id,x_mm,y_mm,time_s,temperature_C
TC_CENTER,50.0,50.0,0.0,25.05279294230652
TC_NW,0.0,100.0,0.0,24.960151565959286
TC_NE,100.0,100.0,0.0,24.417419976595713
TC_SW,0.0,0.0,0.0,25.185734843725804
TC_SE,100.0,0.0,0.0,25.34388705518053
TC_MID_W,0.0,50.0,0.0,24.42578308865799
TC_MID_E,100.0,50.0,0.0,24.576777524557823
TC_MID_N,50.0,100.0,0.0,25.085077230928373
TC_MID_S,50.0,0.0,0.0,24.600669645923347
TC_10,60.597757125632356,52.993901624450075,0.0,24.350144398636488
TC_CENTER,50.0,50.0,120.5020920502092,50.89324518963975
TC_NW,0.0,100.0,120.5020920502092,50.44078960774989
TC_NE,100.0,100.0,120.5020920502092,51.59353435851016
TC_SW,0.0,0.0,120.5020920502092,51.14007111624589
TC_SE,100.0,0.0,120.5020920502092,50.53125582917569
TC_MID_W,0.0,50.0,120.5020920502092,51.42378157542274
TC_MID_E,100.0,50.0,120.5020920502092,51.20425740656461
TC_MID_N,50.0,100.0,120.5020920502092,51.032745207744824
TC_MID_S,50.0,0.0,120.5020920502092,51.06252745175429
TC_10,60.597757125632356,52.993901624450075,120.5020920502092,51.36741774892966
TC_CENTER,50.0,50.0,241.0041841004184,76.80337842367477
TC_NW,0.0,100.0,241.0041841004184,76.57833682198353
TC_NE,100.0,100.0,241.0041841004184,77.73615994227553
TC_SW,0.0,0.0,241.0041841004184,77.03552558405889
TC_SE,100.0,0.0,241.0041841004184,77.07264708671413
TC_MID_W,0.0,50.0,241.0041841004184,76.4876378477385
TC_MID_E,100.0,50.0,241.0041841004184,76.97348749858322
TC_MID_N,50.0,100.0,241.0041841004184,76.49626988854759
TC_MID_S,50.0,0.0,241.0041841004184,76.51677316961502
TC_10,60.597757125632356,52.993901624450075,241.0041841004184,76.36595523693698
TC_CENTER,50.0,50.0,361.5062761506276,102.7841277427476
TC_NW,0.0,100.0,361.5062761506276,102.67120508990975
TC_NE,100.0,100.0,361.5062761506276,102.7455017703567
TC_SW,0.0,0.0,361.5062761506276,101.2907197070575
TC_SE,100.0,0.0,361.5062761506276,103.10970011946242
TC_MID_W,0.0,50.0,361.5062761506276,102.80003296550558
TC_MID_E,100.0,50.0,361.5062761506276,104.24669956818315
TC_MID_N,50.0,100.0,361.5062761506276,102.28189477719715
TC_MID_S,50.0,0.0,361.5062761506276,103.11119953576365
TC_10,60.597757125632356,52.993901624450075,361.5062761506276,102.25065321805953
TC_CENTER,50.0,50.0,482.0083682008368,128.95876500371878
TC_NW,0.0,100.0,482.0083682008368,123.65599697290517
TC_NE,100.0,100.0,482.0083682008368,130.54976849233188
TC_SW,0.0,0.0,482.0083682008368,125.27613591838404
TC_SE,100.0,0.0,482.0083682008368,130.87818368253562
TC_MID_W,0.0,50.0,482.0083682008368,123.90241371440075
TC_MID_E,100.0,50.0,482.0083682008368,130.51646711682244
