material,temperature_C,stress_MPa,time_h,creep_strain_percent
Material_X,500,100,0,0.000
Material_X,500,100,10,0.040
Material_X,500,100,50,0.105
Material_X,500,100,100,0.180
Material_X,500,100,200,0.310
Material_X,500,100,500,0.700
Material_X,500,150,0,0.000
Material_X,500,150,10,0.080
Material_X,500,150,50,0.210
Material_X,500,150,100,0.360
Material_X,500,150,200,0.620
Material_X,500,150,500,1.400
Material_X,600,75,0,0.000
Material_X,600,75,10,0.050
Material_X,600,75,50,0.140
Material_X,600,75,100,0.240
Material_X,600,75,200,0.420
Material_X,600,75,500,1.000
Material_X,600,125,0,0.000
Material_X,600,125,10,0.120
Material_X,600,125,50,0.320
Material_X,600,125,100,0.560
Material_X,600,125,200,1.000
Material_X,600,125,500,2.400
Material_X,700,50,0,0.000
Material_X,700,50,10,0.060
Material_X,700,50,50,0.170
Material_X,700,50,100,0.300
Material_X,700,50,200,0.560
Material_X,700,50,500,1.400
Material_X,700,100,0,0.000
Material_X,700,100,10,0.150
Material_X,700,100,50,0.420
Material_X,700,100,100,0.750
Material_X,700,100,200,1.400
Material_X,700,100,500,3.400
