material,category,temperature_C,youngs_modulus_GPa,tensile_strength_MPa,poisson_ratio
SS304,metal,-100.0,171.091,854.58,0.2198
SS304,metal,-50.0,165.987,794.31,0.2571
SS304,metal,0.0,160.882,734.04,0.2944
SS304,metal,50.0,155.778,673.77,0.3316
SS304,metal,100.0,150.673,613.49,0.3689
SS304,metal,150.0,145.569,553.22,0.4061
SS304,metal,200.0,140.464,492.95,0.4434
SS304,metal,250.0,135.36,432.67,0.4807
SS304,metal,300.0,130.255,372.4,0.49
SS304,metal,350.0,125.151,312.13,0.49
SS304,metal,400.0,120.047,251.85,0.49
SS304,metal,450.0,114.942,191.58,0.49
SS304,metal,500.0,109.838,131.31,0.49
SS304,metal,550.0,104.733,71.04,0.49
SS304,metal,600.0,99.629,10.76,0.49
SS304,metal,650.0,94.524,5.0,0.49
SS304,metal,700.0,89.42,5.0,0.49
SS304,metal,750.0,84.315,5.0,0.49
SS304,metal,800.0,79.211,5.0,0.49
SS304,metal,850.0,74.106,5.0,0.49
SS304,metal,900.0,69.002,5.0,0.49
Inconel718,superalloy,20.0,204.912,910.58,0.2933
Inconel718,superalloy,70.0,202.18,904.15,0.3319
Inconel718,superalloy,120.0,199.447,897.72,0.3705
Inconel718,superalloy,170.0,196.714,891.3,0.4091
Inconel718,superalloy,220.0,193.982,884.87,0.4477
Inconel718,superalloy,270.0,191.249,878.45,0.4863
Inconel718,superalloy,320.0,188.516,872.02,0.49
Inconel718,superalloy,370.0,185.784,865.59,0.49
Inconel718,superalloy,420.0,183.051,859.17,0.49
Inconel718,superalloy,470.0,180.319,852.74,0.49
Inconel718,superalloy,520.0,177.586,846.32,0.49
Inconel718,superalloy,570.0,174.853,839.89,0.49
Inconel718,superalloy,620.0,172.121,833.46,0.49
Inconel718,superalloy,670.0,169.388,827.04,0.49
Inconel718,superalloy,720.0,166.656,820.61,0.49
Inconel718,superalloy,770.0,163.923,814.19,0.49
Inconel718,superalloy,820.0,161.19,807.76,0.49
Inconel718,superalloy,870.0,158.458,801.33,0.49
Inconel718,superalloy,920.0,155.725,794.91,0.49
Inconel718,superalloy,970.0,152.993,788.48,0.49
Al6061T6,metal,-100.0,216.492,426.37,0.2768
Al6061T6,metal,-50.0,207.707,358.27,0.2885
Al6061T6,metal,0.0,198.922,290.16,0.3002
Al6061T6,metal,50.0,190.137,222.05,0.312
Al6061T6,metal,100.0,181.352,153.95,0.3237
Al6061T6,metal,150.0,172.566,85.84,0.3354
Al6061T6,metal,200.0,163.781,17.74,0.3472
Al6061T6,metal,250.0,154.996,5.0,0.3589
Al6061T6,metal,300.0,146.211,5.0,0.3707
Al6061T6,metal,350.0,137.426,5.0,0.3824
Al6061T6,metal,400.0,128.641,5.0,0.3941
Al6061T6,metal,450.0,119.856,5.0,0.4059
Al6061T6,metal,500.0,111.071,5.0,0.4176
Al6061T6,metal,550.0,102.286,5.0,0.4293
