material,category,temperature_C,ionic_conductivity_S_m,electronic_conductivity_S_m
LCO,battery_active,-20.0,6.7364e-07,231.78
LCO,battery_active,0.0,2.28762e-06,419.791
LCO,battery_active,20.0,6.57492e-06,701.12
LCO,battery_active,40.0,1.65132e-05,1096.72
LCO,battery_active,60.0,3.71322e-05,1625.82
LCO,battery_active,80.0,7.61747e-05,2305.06
LCO,battery_active,100.0,0.000144684,3148.04
LCO,battery_active,120.0,0.000257443,4165.12
LCO,battery_active,140.0,0.000433226,5363.42
LCO,battery_active,160.0,0.000694822,6747.08
LCO,battery_active,180.0,0.00106887,8317.47
LCO,battery_active,200.0,0.00158548,10073.6
NMC811,battery_active,-20.0,2.1402e-07,341.91
NMC811,battery_active,0.0,1.19579e-06,492.725
NMC811,battery_active,20.0,5.28325e-06,675.528
NMC811,battery_active,40.0,1.93075e-05,889.565
NMC811,battery_active,60.0,6.03916e-05,1133.34
NMC811,battery_active,80.0,0.000166009,1404.85
NMC811,battery_active,100.0,0.000409458,1701.76
NMC811,battery_active,120.0,0.000921292,2021.61
NMC811,battery_active,140.0,0.00191641,2361.86
NMC811,battery_active,160.0,0.00372566,2720.02
NMC811,battery_active,180.0,0.0068302,3093.7
NMC811,battery_active,200.0,0.0118963,3480.63
LLZO,solid_electrolyte,-20.0,6.9719e-05,1.20217e-06
LLZO,solid_electrolyte,0.0,0.00040916,3.45738e-05
LLZO,solid_electrolyte,20.0,0.00188612,0.000628754
LLZO,solid_electrolyte,40.0,0.00715271,0.00789411
LLZO,solid_electrolyte,60.0,0.0231135,0.0731466
LLZO,solid_electrolyte,80.0,0.0653978,0.526707
LLZO,solid_electrolyte,100.0,0.165516,3.06929
LLZO,solid_electrolyte,120.0,0.381143,14.9494
LLZO,solid_electrolyte,140.0,0.809588,62.4658
LLZO,solid_electrolyte,160.0,1.60408,228.724
LLZO,solid_electrolyte,180.0,2.99209,746.834
LLZO,solid_electrolyte,200.0,5.29462,2206.43
LiPF6_EC_DMC_1M,liquid_electrolyte,-20.0,0.434852,4.66688e-08
LiPF6_EC_DMC_1M,liquid_electrolyte,-10.0,0.624205,1.04899e-07
LiPF6_EC_DMC_1M,liquid_electrolyte,0.0,0.872607,2.22209e-07
LiPF6_EC_DMC_1M,liquid_electrolyte,10.0,1.19133,4.464e-07
LiPF6_EC_DMC_1M,liquid_electrolyte,20.0,1.59229,8.55103e-07
LiPF6_EC_DMC_1M,liquid_electrolyte,30.0,2.08786,1.56924e-06
LiPF6_EC_DMC_1M,liquid_electrolyte,40.0,2.69068,2.77025e-06
LiPF6_EC_DMC_1M,liquid_electrolyte,50.0,3.41355,4.72142e-06
LiPF6_EC_DMC_1M,liquid_electrolyte,60.0,4.2692,7.79337e-06
LiPF6_EC_DMC_1M,liquid_electrolyte,70.0,5.27017,1.24937e-05
LiPF6_EC_DMC_1M,liquid_electrolyte,80.0,6.42869,1.95008e-05
LiPF6_EC_DMC_1M,liquid_electrolyte,90.0,7.75652,2.97004e-05
LiPF6_EC_DMC_1M,liquid_electrolyte,100.0,9.26491,4.42262e-05
