material,category,temperature_C,cte_1_per_K,thermal_conductivity_W_mK,specific_heat_J_kgK
SS304,metal,-100.0,1.56595719e-05,130.5983,753.0
SS304,metal,-50.0,1.5813687e-05,110.7495,793.37
SS304,metal,0.0,1.59678022e-05,90.9007,833.74
SS304,metal,50.0,1.61219173e-05,71.0519,874.12
SS304,metal,100.0,1.62760325e-05,51.2031,914.49
SS304,metal,150.0,1.64301476e-05,31.3542,954.86
SS304,metal,200.0,1.65842628e-05,11.5054,995.23
SS304,metal,250.0,1.67383779e-05,0.05,1035.6
SS304,metal,300.0,1.6892493e-05,0.05,1075.97
SS304,metal,350.0,1.70466082e-05,0.05,1116.34
SS304,metal,400.0,1.72007233e-05,0.05,1156.71
SS304,metal,450.0,1.73548385e-05,0.05,1197.08
SS304,metal,500.0,1.75089536e-05,0.05,1237.45
SS304,metal,550.0,1.76630688e-05,0.05,1277.83
SS304,metal,600.0,1.78171839e-05,0.05,1318.2
SS304,metal,650.0,1.79712991e-05,0.05,1358.57
SS304,metal,700.0,1.81254142e-05,0.05,1398.94
SS304,metal,750.0,1.82795293e-05,0.05,1439.31
SS304,metal,800.0,1.84336445e-05,0.05,1479.68
SS304,metal,850.0,1.85877596e-05,0.05,1520.05
SS304,metal,900.0,1.87418748e-05,0.05,1560.42
Inconel718,superalloy,20.0,1.40148216e-05,11.6086,462.7
Inconel718,superalloy,70.0,1.41948278e-05,0.05,495.52
Inconel718,superalloy,120.0,1.43748341e-05,0.05,528.34
Inconel718,superalloy,170.0,1.45548404e-05,0.05,561.16
Inconel718,superalloy,220.0,1.47348466e-05,0.05,593.99
Inconel718,superalloy,270.0,1.49148529e-05,0.05,626.81
Inconel718,superalloy,320.0,1.50948592e-05,0.05,659.63
Inconel718,superalloy,370.0,1.52748654e-05,0.05,692.45
Inconel718,superalloy,420.0,1.54548717e-05,0.05,725.27
Inconel718,superalloy,470.0,1.5634878e-05,0.05,758.1
Inconel718,superalloy,520.0,1.58148843e-05,0.05,790.92
Inconel718,superalloy,570.0,1.59948905e-05,0.05,823.74
Inconel718,superalloy,620.0,1.61748968e-05,0.05,856.56
Inconel718,superalloy,670.0,1.63549031e-05,0.05,889.38
Inconel718,superalloy,720.0,1.65349093e-05,0.05,922.21
Inconel718,superalloy,770.0,1.67149156e-05,0.05,955.03
Inconel718,superalloy,820.0,1.68949219e-05,0.05,987.85
Inconel718,superalloy,870.0,1.70749281e-05,0.05,1020.67
Inconel718,superalloy,920.0,1.72549344e-05,0.05,1053.49
Inconel718,superalloy,970.0,1.74349407e-05,0.05,1086.32
Al6061T6,metal,-100.0,1.58848063e-05,261.2034,309.4
Al6061T6,metal,-50.0,1.61630119e-05,249.3195,365.27
Al6061T6,metal,0.0,1.64412175e-05,237.4357,421.14
Al6061T6,metal,50.0,1.6719423e-05,225.5518,477.01
Al6061T6,metal,100.0,1.69976286e-05,213.668,532.88
Al6061T6,metal,150.0,1.72758342e-05,201.7841,588.75
Al6061T6,metal,200.0,1.75540398e-05,189.9002,644.62
Al6061T6,metal,250.0,1.78322453e-05,178.0164,700.49
Al6061T6,metal,300.0,1.81104509e-05,166.1325,756.36
Al6061T6,metal,350.0,1.83886565e-05,154.2487,812.23
Al6061T6,metal,400.0,1.86668621e-05,142.3648,868.1
Al6061T6,metal,450.0,1.89450677e-05,130.481,923.97
Al6061T6,metal,500.0,1.92232732e-05,118.5971,979.84
Al6061T6,metal,550.0,1.95014788e-05,106.7133,1035.71
Al6061T6,metal,600.0,1.97796844e-05,94.8294,1091.58
Al6061T6,metal,650.0,2.005789e-05,82.9455,1147.45
Al6061T6,metal,700.0,2.03360955e-05,71.0617,1203.32
Al6061T6,metal,750.0,2.06143011e-05,59.1778,1259.19
