material,category,temperature_C,stress_MPa,time_h,creep_strain
SS304,metal,-100.0,50.0,0.01,1e-08
SS304,metal,-100.0,50.0,0.03,1e-08
SS304,metal,-100.0,50.0,0.1,1e-08
SS304,metal,-100.0,50.0,0.3,1e-08
SS304,metal,-100.0,50.0,1.0,1e-08
SS304,metal,-100.0,50.0,3.0,1e-08
SS304,metal,-100.0,50.0,10.0,1e-08
SS304,metal,-100.0,50.0,30.0,1e-08
SS304,metal,-100.0,50.0,100.0,1e-08
SS304,metal,-100.0,50.0,300.0,1e-08
SS304,metal,-100.0,50.0,1000.0,1e-08
SS304,metal,-100.0,150.0,0.01,1e-08
SS304,metal,-100.0,150.0,0.03,1e-08
SS304,metal,-100.0,150.0,0.1,1e-08
SS304,metal,-100.0,150.0,0.3,1e-08
SS304,metal,-100.0,150.0,1.0,1e-08
SS304,metal,-100.0,150.0,3.0,1e-08
SS304,metal,-100.0,150.0,10.0,1e-08
SS304,metal,-100.0,150.0,30.0,1e-08
SS304,metal,-100.0,150.0,100.0,1e-08
SS304,metal,-100.0,150.0,300.0,1e-08
SS304,metal,-100.0,150.0,1000.0,1e-08
SS304,metal,-100.0,300.0,0.01,1e-08
SS304,metal,-100.0,300.0,0.03,1e-08
SS304,metal,-100.0,300.0,0.1,1e-08
SS304,metal,-100.0,300.0,0.3,1e-08
SS304,metal,-100.0,300.0,1.0,1e-08
SS304,metal,-100.0,300.0,3.0,1e-08
SS304,metal,-100.0,300.0,10.0,1e-08
SS304,metal,-100.0,300.0,30.0,1e-08
SS304,metal,-100.0,300.0,100.0,1e-08
SS304,metal,-100.0,300.0,300.0,1e-08
SS304,metal,-100.0,300.0,1000.0,1e-08
SS304,metal,50.0,50.0,0.01,1e-08
SS304,metal,50.0,50.0,0.03,1e-08
SS304,metal,50.0,50.0,0.1,1e-08
SS304,metal,50.0,50.0,0.3,1e-08
SS304,metal,50.0,50.0,1.0,1e-08
SS304,metal,50.0,50.0,3.0,1e-08
SS304,metal,50.0,50.0,10.0,1e-08
SS304,metal,50.0,50.0,30.0,1e-08
SS304,metal,50.0,50.0,100.0,1e-08
SS304,metal,50.0,50.0,300.0,1e-08
SS304,metal,50.0,50.0,1000.0,1e-08
SS304,metal,50.0,150.0,0.01,1e-08
SS304,metal,50.0,150.0,0.03,1e-08
SS304,metal,50.0,150.0,0.1,1e-08
SS304,metal,50.0,150.0,0.3,1e-08
SS304,metal,50.0,150.0,1.0,1e-08
SS304,metal,50.0,150.0,3.0,1e-08
SS304,metal,50.0,150.0,10.0,1e-08
SS304,metal,50.0,150.0,30.0,1e-08
SS304,metal,50.0,150.0,100.0,1e-08
SS304,metal,50.0,150.0,300.0,1e-08
SS304,metal,50.0,150.0,1000.0,1e-08
SS304,metal,50.0,300.0,0.01,1e-08
SS304,metal,50.0,300.0,0.03,1e-08
SS304,metal,50.0,300.0,0.1,1e-08
SS304,metal,50.0,300.0,0.3,1e-08
SS304,metal,50.0,300.0,1.0,1e-08
SS304,metal,50.0,300.0,3.0,1e-08
SS304,metal,50.0,300.0,10.0,1e-08
SS304,metal,50.0,300.0,30.0,1e-08
SS304,metal,50.0,300.0,100.0,1e-08
SS304,metal,50.0,300.0,300.0,1e-08
SS304,metal,50.0,300.0,1000.0,1e-08
SS304,metal,200.0,50.0,0.01,1e-08
SS304,metal,200.0,50.0,0.03,1e-08
SS304,metal,200.0,50.0,0.1,1e-08
SS304,metal,200.0,50.0,0.3,1e-08
SS304,metal,200.0,50.0,1.0,1e-08
SS304,metal,200.0,50.0,3.0,1e-08
SS304,metal,200.0,50.0,10.0,1e-08
SS304,metal,200.0,50.0,30.0,1e-08
SS304,metal,200.0,50.0,100.0,1e-08
SS304,metal,200.0,50.0,300.0,1e-08
SS304,metal,200.0,50.0,1000.0,1e-08
SS304,metal,200.0,150.0,0.01,1e-08
SS304,metal,200.0,150.0,0.03,1e-08
SS304,metal,200.0,150.0,0.1,1e-08
SS304,metal,200.0,150.0,0.3,1e-08
SS304,metal,200.0,150.0,1.0,1e-08
SS304,metal,200.0,150.0,3.0,1e-08
SS304,metal,200.0,150.0,10.0,1e-08
SS304,metal,200.0,150.0,30.0,1e-08
SS304,metal,200.0,150.0,100.0,1e-08
SS304,metal,200.0,150.0,300.0,1e-08
SS304,metal,200.0,150.0,1000.0,1e-08
SS304,metal,200.0,300.0,0.01,1e-08
SS304,metal,200.0,300.0,0.03,1e-08
SS304,metal,200.0,300.0,0.1,1e-08
SS304,metal,200.0,300.0,0.3,1e-08
SS304,metal,200.0,300.0,1.0,1e-08
SS304,metal,200.0,300.0,3.0,1e-08
SS304,metal,200.0,300.0,10.0,1e-08
SS304,metal,200.0,300.0,30.0,1e-08
SS304,metal,200.0,300.0,100.0,1e-08
SS304,metal,200.0,300.0,300.0,1e-08
SS304,metal,200.0,300.0,1000.0,1e-08
SS304,metal,350.0,50.0,0.01,1e-08
SS304,metal,350.0,50.0,0.03,1e-08
SS304,metal,350.0,50.0,0.1,1e-08
SS304,metal,350.0,50.0,0.3,1e-08
SS304,metal,350.0,50.0,1.0,1e-08
SS304,metal,350.0,50.0,3.0,1e-08
SS304,metal,350.0,50.0,10.0,1e-08
SS304,metal,350.0,50.0,30.0,1e-08
SS304,metal,350.0,50.0,100.0,1e-08
SS304,metal,350.0,50.0,300.0,1e-08
SS304,metal,350.0,50.0,1000.0,1e-08
SS304,metal,350.0,150.0,0.01,1e-08
SS304,metal,350.0,150.0,0.03,1e-08
SS304,metal,350.0,150.0,0.1,1e-08
SS304,metal,350.0,150.0,0.3,1e-08
SS304,metal,350.0,150.0,1.0,1e-08
SS304,metal,350.0,150.0,3.0,1e-08
SS304,metal,350.0,150.0,10.0,1e-08
SS304,metal,350.0,150.0,30.0,1e-08
SS304,metal,350.0,150.0,100.0,1e-08
SS304,metal,350.0,150.0,300.0,1e-08
SS304,metal,350.0,150.0,1000.0,1e-08
SS304,metal,350.0,300.0,0.01,1e-08
SS304,metal,350.0,300.0,0.03,1e-08
SS304,metal,350.0,300.0,0.1,1e-08
SS304,metal,350.0,300.0,0.3,1e-08
SS304,metal,350.0,300.0,1.0,1e-08
SS304,metal,350.0,300.0,3.0,1e-08
SS304,metal,350.0,300.0,10.0,1e-08
SS304,metal,350.0,300.0,30.0,1e-08
SS304,metal,350.0,300.0,100.0,1e-08
SS304,metal,350.0,300.0,300.0,1e-08
SS304,metal,350.0,300.0,1000.0,1e-08
SS304,metal,500.0,50.0,0.01,1e-08
