Temperature_C,Rubber_Content_%,Texture_Coefficient_Portlandite,Texture_Coefficient_CSH,Texture_Coefficient_Quartz,March_Dollase_Parameter,Pole_Figure_Max_Intensity,Pole_Figure_Min_Intensity,Anisotropy_Degree,Timestamp
20,0,1.0171088835145394,1.0303066893827577,0.9602624285794189,0.9606311518268663,1.2,0.8,0.33333333333333326,2025-10-18T18:00:15.366228
20,5,0.9823616644426841,0.9545600982177757,0.9857761418660853,0.9831886169061641,1.25,0.75,0.4,2025-10-18T18:00:15.366236
20,10,0.9922505431293005,0.8964361753233061,0.9945730106923193,0.927921701077635,1.3,0.7000000000000001,0.4615384615384615,2025-10-18T18:00:15.366242
20,15,0.987826622413182,0.8384058330682908,0.993384509341486,0.9130717628037273,1.3499999999999999,0.65,0.5185185185185185,2025-10-18T18:00:15.366245
20,20,1.0014213191316719,0.8217615542292263,0.9923095976464122,0.9206479429591964,1.4,0.6000000000000001,0.5714285714285713,2025-10-18T18:00:15.366250
200,0,1.0353379042031878,0.9455541177798665,0.9849923005730584,1.0,1.218,0.782,0.35796387520525447,2025-10-18T18:00:15.366254
200,5,1.0429306021269378,0.9378314260362275,0.9799870229711324,0.9826335567725873,1.268,0.732,0.42271293375394325,2025-10-18T18:00:15.366257
200,10,1.005241456624211,0.9153063696509836,0.9912767949284734,0.9200159585145641,1.318,0.682,0.4825493171471927,2025-10-18T18:00:15.366260
200,15,0.9860781086882148,0.874061607239444,1.017573701442394,0.9133386986323939,1.3679999999999999,0.632,0.5380116959064327,2025-10-18T18:00:15.366264
200,20,0.9868717023685174,0.8208299929628322,0.9981850668076699,0.892696271434419,1.418,0.5820000000000001,0.5895627644569816,2025-10-18T18:00:15.366267
400,0,1.0086643495722183,1.0088714665865512,1.0336352148348842,0.9787913971637677,1.238,0.762,0.38449111470113084,2025-10-18T18:00:15.366272
400,5,1.0282747713398064,0.9422593474700438,1.007712033122816,0.9621504105263504,1.288,0.712,0.44720496894409945,2025-10-18T18:00:15.366276
400,10,0.9481011183646222,0.8942521088929885,1.0031973414445103,0.9233103370277735,1.338,0.662,0.5052316890881914,2025-10-18T18:00:15.366279
400,15,1.016204311222647,0.8281174793674174,1.011857523741451,0.9281350597340453,1.388,0.612,0.5590778097982708,2025-10-18T18:00:15.366282
400,20,1.0416379947903547,0.7915088966536169,0.978602156199579,0.8880433587284787,1.438,0.562,0.6091794158553546,2025-10-18T18:00:15.366286
600,0,,0.9890134768727651,0.9537722971059746,1.0,1.258,0.742,0.4101748807631161,2025-10-18T18:00:15.366290
600,5,,0.9272534216207732,0.9932671093814738,0.9576115591776613,1.308,0.692,0.47094801223241595,2025-10-18T18:00:15.366294
600,10,,0.9250594495347798,0.9907941060602887,0.907206899115669,1.358,0.642,0.5272459499263623,2025-10-18T18:00:15.366297
600,15,,0.8208562311380241,0.9644710842668617,0.8995368064373361,1.408,0.592,0.5795454545454546,2025-10-18T18:00:15.366301
600,20,,0.7964459743042719,0.9954916785243432,0.879983059384926,1.458,0.542,0.6282578875171467,2025-10-18T18:00:15.366304
800,0,,,0.9998825545970386,0.9245124612932886,1.278,0.7220000000000001,0.43505477308294205,2025-10-18T18:00:15.366319
800,5,,,1.020768111117087,0.937331204482412,1.328,0.672,0.4939759036144578,2025-10-18T18:00:15.366323
800,10,,,1.0167021710621618,0.9434693837193555,1.3780000000000001,0.6220000000000001,0.548621190130624,2025-10-18T18:00:15.366326
800,15,,,1.0116503782403803,0.9140170836085468,1.428,0.5720000000000001,0.5994397759103641,2025-10-18T18:00:15.366330
800,20,,,1.0402105860336113,0.8832677437045786,1.478,0.5220000000000001,0.6468200270635993,2025-10-18T18:00:15.366333
