run_id,temperature_k,pressure_pa,u_sg,u_sl,flow_pattern,alpha,interface_height_m,wave_amplitude_m,wave_frequency_hz,rho_g,rho_l,mu_g,mu_l,c_g,c_l,c_eff,k_g,k_l,epsilon_g,epsilon_l,tau_w_g,tau_w_l,tau_interface
1,305.20879658120356,110764.20376044454,1.9188070076263686,0.45030644032747247,wavy,0.9719114173870936,2.168404344971009e-20,8.673617379884037e-21,630.5121396383987,1.2642493199416003,996.3823610256389,1.8705458705025235e-05,0.0006717021356934277,350.23527794872217,1443.8236102563892,73.90166878782334,0.22090921995096352,0.012166553412023974,16.45268454678987,1.3147654253395624,0.08235349739346409,3.6953087665709634,0.630034935611002
2,297.94538123119423,153272.8038378737,0.4253042946637383,1.5054295963932744,wavy,0.26433738795411,0.05,0.0026121004647867273,24.05656866635926,1.7920857645666672,998.5613856306418,1.8362629107678835e-05,0.0008536384114687405,345.87722873871655,1465.6138563064173,33.21199493200048,0.0108530245835652,0.13597909618180903,0.7581613022037951,3.6178568580317827,0.009721545371107228,21.596555660654758,8.57593932140789
3,292.46489766333,107012.83645289636,4.224143851038004,0.921642171128759,wavy,0.9850725621721801,2.168404344971009e-20,8.673617379884037e-21,1352.3136029328468,1.2746544670954563,1000.205530701001,1.8101256334315463e-05,0.0010228658834060495,342.58893859799804,1482.05530701001,96.86428671206126,1.070603476455731,0.05096545749617597,127.39294487848173,15.55900809183439,0.3264334899624788,15.603481967743724,1.7653434050448482
4,309.2642535268696,206104.6392598993,6.682246687207808,1.6207628957175617,wavy,0.9657577706690025,2.168404344971009e-20,8.673617379884037e-21,1334.1222877747778,2.3216053082425576,995.1657239419391,1.889514082152686e-05,0.0005875638450829118,352.66855211612176,1431.657239419391,90.73189471693398,2.6791452473219843,0.15761234184808656,349.347335156777,31.48902587553678,1.1571739773272167,32.75956658698544,9.304375031679063
5,289.53502921516025,142273.5243602601,6.544206397917061,0.544922780561706,wavy,0.99,2.168404344971009e-20,8.673617379884037e-21,2249.8551290638316,1.7118011786866127,1001.0844912354519,1.796055491551815e-05,0.0011267011601768012,340.8310175290962,1490.8449123545192,130.9943224194681,2.569598242712316,0.017816450206506074,357.62050350724223,5.346913216767608,0.8738345990931518,6.704330270800267,4.212983892145303
6,305.62313599886494,271821.2707940844,1.6494603803423673,1.137884750671281,wavy,0.7101210518881915,2.168404344971009e-20,8.673617379884037e-21,185.05380993628467,3.0983291721514656,996.2580592003405,1.8724894614694965e-05,0.0006625803218367173,350.483881599319,1442.5805920034052,42.914793452437955,0.16324317277915124,0.07768690234861461,9.810428498718018,2.995926272753715,0.12877935537999258,13.929880726273597,0.7615604233557448
7,305.4231945926765,267625.9834531246,7.851946751057968,0.4628728488092051,wavy,0.99,2.168404344971009e-20,8.673617379884037e-21,685.4281455865502,3.0525065615084714,996.318041622197,1.8715517336960867e-05,0.0006669665251159952,350.36391675560594,1443.1804162219705,170.7284894374666,3.6991840668869864,0.01285507644988496,471.6478937116996,2.867139657151482,1.873970920849676,4.403991480475003,7.089692346751915
8,302.3612059327796,131924.02313874965,5.725380639692216,0.5535385802363196,wavy,0.99,2.168404344971009e-20,8.673617379884037e-21,2048.9503323920053,1.5199460165871341,997.2366382201661,1.857153300881687e-05,0.0007378831532978322,348.5267235596678,1452.366382201661,127.47236632932614,1.9667990081617468,0.018384297588602428,266.5886838185808,4.760815385709899,0.6378965876996359,6.181136913942941,3.0698924633155436
9,309.2298399762752,139491.91865984455,5.0048286016730135,1.216782683948643,wavy,0.9653117249364646,2.168404344971009e-20,8.673617379884037e-21,1759.5084189676102,1.5714407013939349,995.1760480071174,1.8893536377107653e-05,0.0005882314893329455,352.64790398576514,1431.7604800711745,74.95078858557348,1.5028985599274551,0.08883360599743581,189.41550856203958,14.71122387797185,0.5207310299916991,19.809610190484566,5.171179241297918
10,296.3090183355854,248851.55935941086,4.128170833207059,0.2618027541029708,wavy,0.99,2.168404344971009e-20,8.673617379884037e-21,446.5848132449581,2.925673392883766,999.0522944993244,1.828483417094278e-05,0.0009010021770884621,344.89541100135125,1470.5229449932438,165.16099468072505,1.0225076656884877,0.004112440923354037,87.85899067400682,0.5730781366683516,0.5858381149973423,1.5096630490530039,1.9264431011195582
