building_id,year,electricity_kwh,gas_kwh,total_kwh,eui_kwh_per_m2,energy_rating
BLD-00001,2024,62523.6,0.0,62523.6,48.5,A
BLD-00002,2024,51017.1,0.0,51017.1,46.1,A
BLD-00003,2024,28264.2,0.0,28264.2,19.9,A
BLD-00004,2024,1162.7,13852.0,15014.7,48.2,A
BLD-00005,2024,26079.5,0.0,26079.5,19.2,A
BLD-00006,2024,16633.9,681326.6,697960.5,143.8,C
BLD-00007,2024,10156.7,170001.4,180158.1,52.0,A
BLD-00008,2024,12960.0,533264.4,546224.3,144.5,C
BLD-00009,2024,15193.2,237704.9,252898.1,48.9,A
BLD-00010,2024,188108.5,0.0,188108.5,75.8,B
BLD-00011,2024,9870.3,720495.5,730365.8,216.9,E
BLD-00012,2024,47925.4,0.0,47925.4,28.8,A
BLD-00013,2024,104890.5,0.0,104890.5,19.4,A
BLD-00014,2024,134631.5,0.0,134631.5,77.0,B
BLD-00015,2024,64045.9,0.0,64045.9,12.2,A
BLD-00016,2024,138627.3,0.0,138627.3,48.1,A
BLD-00017,2024,22039.3,0.0,22039.3,51.4,A
BLD-00018,2024,179255.9,0.0,179255.9,75.0,A
BLD-00019,2024,4556.7,187344.1,191900.8,144.1,C
BLD-00020,2024,28931.0,0.0,28931.0,18.5,A
BLD-00021,2024,32482.6,0.0,32482.6,12.0,A
BLD-00022,2024,55513.1,0.0,55513.1,11.1,A
BLD-00023,2024,11163.6,458702.0,469865.5,144.3,C
BLD-00024,2024,54537.6,0.0,54537.6,29.9,A
BLD-00025,2024,14279.7,235153.1,249432.9,51.2,A
