building_id,month,electricity_kwh,gas_kwh,total_kwh
BLD-00001,2024-01,62523.59,0.0,62523.59
BLD-00002,2024-01,51017.06,0.0,51017.06
BLD-00003,2024-01,28264.25,0.0,28264.25
BLD-00004,2024-01,1162.7,13851.98,15014.7
BLD-00005,2024-01,26079.47,0.0,26079.47
BLD-00006,2024-01,16633.94,681326.57,697960.52
BLD-00007,2024-01,10156.71,170001.42,180158.12
BLD-00008,2024-01,12959.98,533264.37,546224.34
BLD-00009,2024-01,15193.21,237704.9,252898.1
BLD-00010,2024-01,188108.45,0.0,188108.45
BLD-00011,2024-01,9870.26,720495.53,730365.78
BLD-00012,2024-01,47925.35,0.0,47925.35
BLD-00013,2024-01,104890.45,0.0,104890.45
BLD-00014,2024-01,134631.49,0.0,134631.49
BLD-00015,2024-01,64045.86,0.0,64045.86
BLD-00016,2024-01,138627.27,0.0,138627.27
BLD-00017,2024-01,22039.34,0.0,22039.34
BLD-00018,2024-01,179255.9,0.0,179255.9
BLD-00019,2024-01,4556.74,187344.08,191900.84
BLD-00020,2024-01,28931.03,0.0,28931.03
BLD-00021,2024-01,32482.58,0.0,32482.58
BLD-00022,2024-01,55513.08,0.0,55513.08
BLD-00023,2024-01,11163.56,458701.97,469865.54
BLD-00024,2024-01,54537.62,0.0,54537.62
BLD-00025,2024-01,14279.71,235153.14,249432.85
