timestamp,building_id,electricity_kwh,gas_kwh,total_kwh
2024-01-01T00:00:00,BLD-00001,102.068,0.0,102.068
2024-01-01T01:00:00,BLD-00001,98.561,0.0,98.561
2024-01-01T02:00:00,BLD-00001,99.69,0.0,99.69
2024-01-01T03:00:00,BLD-00001,96.063,0.0,96.063
2024-01-01T04:00:00,BLD-00001,97.039,0.0,97.039
2024-01-01T05:00:00,BLD-00001,92.132,0.0,92.132
2024-01-01T06:00:00,BLD-00001,90.857,0.0,90.857
2024-01-01T07:00:00,BLD-00001,81.138,0.0,81.138
2024-01-01T08:00:00,BLD-00001,79.372,0.0,79.372
2024-01-01T09:00:00,BLD-00001,78.911,0.0,78.911
2024-01-01T10:00:00,BLD-00001,74.988,0.0,74.988
2024-01-01T11:00:00,BLD-00001,71.183,0.0,71.183
2024-01-01T12:00:00,BLD-00001,71.497,0.0,71.497
2024-01-01T13:00:00,BLD-00001,66.179,0.0,66.179
2024-01-01T14:00:00,BLD-00001,65.375,0.0,65.375
2024-01-01T15:00:00,BLD-00001,72.653,0.0,72.653
2024-01-01T16:00:00,BLD-00001,70.67,0.0,70.67
2024-01-01T17:00:00,BLD-00001,76.418,0.0,76.418
2024-01-01T18:00:00,BLD-00001,81.1,0.0,81.1
2024-01-01T19:00:00,BLD-00001,83.04,0.0,83.04
2024-01-01T20:00:00,BLD-00001,85.407,0.0,85.407
2024-01-01T21:00:00,BLD-00001,96.167,0.0,96.167
2024-01-01T22:00:00,BLD-00001,100.325,0.0,100.325
2024-01-01T23:00:00,BLD-00001,100.762,0.0,100.762
2024-01-02T00:00:00,BLD-00001,103.97,0.0,103.97
2024-01-02T01:00:00,BLD-00001,99.955,0.0,99.955
2024-01-02T02:00:00,BLD-00001,101.213,0.0,101.213
2024-01-02T03:00:00,BLD-00001,96.609,0.0,96.609
2024-01-02T04:00:00,BLD-00001,97.217,0.0,97.217
2024-01-02T05:00:00,BLD-00001,94.132,0.0,94.132
2024-01-02T06:00:00,BLD-00001,90.383,0.0,90.383
2024-01-02T07:00:00,BLD-00001,80.907,0.0,80.907
2024-01-02T08:00:00,BLD-00001,82.172,0.0,82.172
2024-01-02T09:00:00,BLD-00001,77.139,0.0,77.139
2024-01-02T10:00:00,BLD-00001,70.11,0.0,70.11
2024-01-02T11:00:00,BLD-00001,72.116,0.0,72.116
2024-01-02T12:00:00,BLD-00001,68.658,0.0,68.658
2024-01-02T13:00:00,BLD-00001,70.494,0.0,70.494
2024-01-02T14:00:00,BLD-00001,68.117,0.0,68.117
2024-01-02T15:00:00,BLD-00001,69.574,0.0,69.574
2024-01-02T16:00:00,BLD-00001,75.956,0.0,75.956
2024-01-02T17:00:00,BLD-00001,70.859,0.0,70.859
2024-01-02T18:00:00,BLD-00001,75.398,0.0,75.398
2024-01-02T19:00:00,BLD-00001,80.587,0.0,80.587
2024-01-02T20:00:00,BLD-00001,84.77,0.0,84.77
2024-01-02T21:00:00,BLD-00001,92.769,0.0,92.769
2024-01-02T22:00:00,BLD-00001,98.181,0.0,98.181
2024-01-02T23:00:00,BLD-00001,96.728,0.0,96.728
2024-01-03T00:00:00,BLD-00001,104.769,0.0,104.769
2024-01-03T01:00:00,BLD-00001,104.408,0.0,104.408
2024-01-03T02:00:00,BLD-00001,105.22,0.0,105.22
2024-01-03T03:00:00,BLD-00001,96.536,0.0,96.536
2024-01-03T04:00:00,BLD-00001,94.797,0.0,94.797
2024-01-03T05:00:00,BLD-00001,94.547,0.0,94.547
2024-01-03T06:00:00,BLD-00001,87.093,0.0,87.093
2024-01-03T07:00:00,BLD-00001,83.478,0.0,83.478
2024-01-03T08:00:00,BLD-00001,79.08,0.0,79.08
2024-01-03T09:00:00,BLD-00001,80.543,0.0,80.543
2024-01-03T10:00:00,BLD-00001,72.736,0.0,72.736
2024-01-03T11:00:00,BLD-00001,68.432,0.0,68.432
2024-01-03T12:00:00,BLD-00001,67.791,0.0,67.791
2024-01-03T13:00:00,BLD-00001,68.987,0.0,68.987
2024-01-03T14:00:00,BLD-00001,70.054,0.0,70.054
2024-01-03T15:00:00,BLD-00001,72.578,0.0,72.578
