step,t_min,T_top_C,T_bottom_C,V_top_V,V_bottom_V
0,0.000000,15.807315,-12.276310,2.564852,0.000000
1,1.168836,18.915655,-9.167970,2.564852,0.000000
2,2.337672,22.023994,-6.059631,2.564852,0.000000
3,3.506508,25.132334,-2.951291,2.564852,0.000000
4,4.675344,28.240673,0.157048,2.564852,0.000000
5,5.844180,31.349013,3.265388,2.564852,0.000000
6,7.013015,34.457352,6.373727,2.564852,0.000000
7,8.181851,37.565691,9.482066,2.564852,0.000000
8,9.350687,40.674031,12.590406,2.564852,0.000000
9,10.519523,43.782370,15.698745,2.564852,0.000000
10,11.688359,46.890710,18.807085,2.564852,0.000000
11,12.857195,49.999049,21.915424,2.564852,0.000000
12,14.026031,53.107389,25.023764,2.564852,0.000000
13,15.194867,56.215728,28.132103,2.564852,0.000000
14,16.363703,59.324068,31.240443,2.564852,0.000000
15,17.532539,62.432407,34.348782,2.564852,0.000000
16,18.701375,65.540746,37.457122,2.564852,0.000000
17,19.870210,68.649086,40.565461,2.564852,0.000000
18,21.039046,71.757425,43.673800,2.564852,0.000000
19,22.207882,74.865765,46.782140,2.564852,0.000000
20,23.376718,77.974104,49.890479,2.564852,0.000000
21,24.545554,81.082444,52.998819,2.564852,0.000000
22,25.714390,84.190783,56.107158,2.564852,0.000000
23,26.883226,87.299123,59.215498,2.564852,0.000000
24,28.052062,90.407462,62.323837,2.564852,0.000000
25,29.220898,93.515802,65.432177,2.564852,0.000000
26,30.389734,96.624141,68.540516,2.564852,0.000000
27,31.558570,99.732480,71.648855,2.564852,0.000000
28,32.727405,102.035987,73.952362,2.564852,0.000000
29,33.896241,102.035987,73.952362,2.564852,0.000000
30,35.065077,102.035987,73.952362,2.564852,0.000000
31,36.233913,102.035987,73.952362,2.564852,0.000000
32,37.402749,102.035987,73.952362,2.564852,0.000000
33,38.571585,102.035987,73.952362,2.564852,0.000000
34,39.740421,102.035987,73.952362,2.564852,0.000000
35,40.909257,102.035987,73.952362,2.564852,0.000000
36,42.078093,102.035987,73.952362,2.564852,0.000000
37,43.246929,102.035987,73.952362,2.564852,0.000000
38,44.415765,102.035987,73.952362,2.564852,0.000000
39,45.584601,102.035987,73.952362,2.564852,0.000000
40,46.753436,102.035987,73.952362,2.564852,0.000000
41,47.922272,102.035987,73.952362,2.564852,0.000000
42,49.091108,102.035987,73.952362,2.564852,0.000000
43,50.259944,100.347215,72.263590,2.564852,0.000000
44,51.428780,97.327932,69.244307,2.564852,0.000000
45,52.597616,94.308650,66.225025,2.564852,0.000000
46,53.766452,91.289368,63.205743,2.564852,0.000000
47,54.935288,88.270086,60.186461,2.564852,0.000000
48,56.104124,85.250804,57.167179,2.564852,0.000000
49,57.272960,82.231522,54.147897,2.564852,0.000000
50,58.441796,79.212240,51.128615,2.564852,0.000000
51,59.610631,76.192958,48.109333,2.564852,0.000000
52,60.779467,73.173676,45.090051,2.564852,0.000000
53,61.948303,70.154393,42.070768,2.564852,0.000000
54,63.117139,67.135111,39.051486,2.564852,0.000000
55,64.285975,64.115829,36.032204,2.564852,0.000000
56,65.454811,61.096547,33.012922,2.564852,0.000000
57,66.623647,58.077265,29.993640,2.564852,0.000000
58,67.792483,55.057983,26.974358,2.564852,0.000000
59,68.961319,52.038701,23.955076,2.564852,0.000000
60,70.130155,49.019419,20.935794,2.564852,0.000000
61,71.298991,46.000136,17.916512,2.564852,0.000000
62,72.467826,42.980854,14.897229,2.564852,0.000000
63,73.636662,39.961572,11.877947,2.564852,0.000000
64,74.805498,36.942290,8.858665,2.564852,0.000000
65,75.974334,33.923008,5.839383,2.564852,0.000000
66,77.143170,30.903726,2.820101,2.564852,0.000000
67,78.312006,27.884444,-0.199181,2.564852,0.000000
68,79.480842,24.865162,-3.218463,2.564852,0.000000
69,80.649678,21.845880,-6.237745,2.564852,0.000000
70,81.818514,18.826597,-9.257028,2.564852,0.000000
71,82.987350,15.807315,-12.276310,2.564852,0.000000
