y_m,u_g_m_per_s
0.0,0.0
0.0007936508,4.903121
0.0015873016,5.4762745
0.0023809525,5.811201
0.0031746032,6.0487924
0.003968254,6.2330713
0.004761905,6.383633
0.0055555557,6.5109296
0.0063492064,6.6211977
0.007142857,6.71846
0.007936508,6.8054643
0.008730159,6.8841686
0.00952381,6.9560204
0.010317461,7.0221167
0.011111111,7.083313
0.011904762,7.140285
0.012698413,7.1935787
0.013492064,7.2436404
0.014285714,7.2908397
0.015079365,7.3354864
0.015873017,7.3778424
0.016666668,7.418132
0.017460318,7.4565463
0.018253969,7.4932528
0.01904762,7.528397
0.01984127,7.5621066
0.020634921,7.5944934
0.021428572,7.625658
0.022222223,7.6556892
0.023015874,7.684666
0.023809524,7.712661
0.024603175,7.7397375
0.025396826,7.629887
0.026190476,7.383762
0.026984127,7.137636
0.027777778,6.891511
0.028571429,6.6453857
0.02936508,6.39926
0.03015873,6.153135
0.030952381,5.9070096
0.031746034,5.660884
0.032539684,5.4147587
0.033333335,5.1686335
0.034126986,4.922508
0.034920637,4.6763825
0.035714287,4.430257
0.036507938,4.1841316
0.03730159,3.9380062
0.03809524,3.691881
0.03888889,3.4457555
0.03968254,3.19963
0.04047619,2.9535048
0.041269843,2.7073793
0.042063493,2.461254
0.042857144,2.2151284
0.043650795,1.9690031
0.044444446,1.7228777
0.045238096,1.4767524
0.046031747,1.230627
0.046825398,0.98450154
0.04761905,0.7383762
0.0484127,0.49225077
0.04920635,0.24612539
0.05,0.0
