y_m,u_g_m_per_s
0.0,0.0
0.0007936508,5.5027323
0.0015873016,6.171698
0.0023809525,6.5626135
0.0031746032,6.8399224
0.003968254,7.0550065
0.004761905,7.230737
0.0055555557,7.3793135
0.0063492064,7.5080147
0.007142857,7.6215367
0.007936508,7.723085
0.008730159,7.814946
0.00952381,7.8988085
0.010317461,7.9759545
0.011111111,8.04738
0.011904762,8.113876
0.012698413,8.176079
0.013492064,8.234509
0.014285714,8.289599
0.015079365,8.341709
0.015873017,8.391146
0.016666668,8.43817
0.017460318,8.4830065
0.018253969,8.525849
0.01904762,8.566868
0.01984127,8.606213
0.020634921,8.644013
0.021428572,8.6803875
0.022222223,8.715439
0.023015874,8.74926
0.023809524,8.781935
0.024603175,8.813538
0.025396826,8.688816
0.026190476,8.408532
0.026984127,8.128247
0.027777778,7.8479633
0.028571429,7.567679
0.02936508,7.2873945
0.03015873,7.00711
0.030952381,6.7268257
0.031746034,6.4465413
0.032539684,6.166257
0.033333335,5.8859725
0.034126986,5.605688
0.034920637,5.3254037
0.035714287,5.0451193
0.036507938,4.764835
0.03730159,4.4845505
0.03809524,4.204266
0.03888889,3.9239817
0.03968254,3.6436973
0.04047619,3.3634129
0.041269843,3.0831285
0.042063493,2.802844
0.042857144,2.5225596
0.043650795,2.2422752
0.044444446,1.9619908
0.045238096,1.6817064
0.046031747,1.401422
0.046825398,1.1211376
0.04761905,0.8408532
0.0484127,0.5605688
0.04920635,0.2802844
0.05,0.0
