y_m,u_g_m_per_s
0.0,0.0
0.0007936508,5.5887203
0.0015873016,6.2323384
0.0023809525,6.608441
0.0031746032,6.875242
0.003968254,7.082176
0.004761905,7.2512484
0.0055555557,7.3941946
0.0063492064,7.518019
0.007142857,7.627239
0.007936508,7.72494
0.008730159,7.81332
0.00952381,7.8940053
0.010317461,7.968228
0.011111111,8.036947
0.011904762,8.100924
0.012698413,8.160769
0.013492064,8.216986
0.014285714,8.269988
0.015079365,8.320124
0.015873017,8.367687
0.016666668,8.41293
0.017460318,8.456066
0.018253969,8.497286
0.01904762,8.536751
0.01984127,8.574604
0.020634921,8.610973
0.021428572,8.645969
0.022222223,8.679692
0.023015874,8.712232
0.023809524,8.743668
0.024603175,8.774074
0.025396826,8.649404
0.026190476,8.370391
0.026984127,8.091377
0.027777778,7.8123646
0.028571429,7.5333514
0.02936508,7.2543387
0.03015873,6.9753256
0.030952381,6.6963124
0.031746034,6.4172993
0.032539684,6.1382866
0.033333335,5.8592734
0.034126986,5.5802603
0.034920637,5.3012476
0.035714287,5.0222344
0.036507938,4.7432213
0.03730159,4.464208
0.03809524,4.1851954
0.03888889,3.9061823
0.03968254,3.6271694
0.04047619,3.3481562
0.041269843,3.0691433
0.042063493,2.7901301
0.042857144,2.5111172
0.043650795,2.232104
0.044444446,1.9530911
0.045238096,1.6740781
0.046031747,1.3950651
0.046825398,1.116052
0.04761905,0.83703905
0.0484127,0.558026
0.04920635,0.279013
0.05,0.0
