y_m,u_g_m_per_s
0.0,0.0
0.0007936508,3.2514892
0.0015873016,3.707787
0.0023809525,3.974428
0.0031746032,4.163579
0.003968254,4.3102865
0.004761905,4.4301515
0.0055555557,4.5314946
0.0063492064,4.619281
0.007142857,4.6967134
0.007936508,4.765979
0.008730159,4.828637
0.00952381,4.885839
0.010317461,4.93846
0.011111111,4.9871793
0.011904762,5.0325356
0.012698413,5.0749636
0.013492064,5.1148186
0.014285714,5.1523952
0.015079365,5.187939
0.015873017,5.2216597
0.016666668,5.2537346
0.017460318,5.284317
0.018253969,5.31354
0.01904762,5.341519
0.01984127,5.3683553
0.020634921,5.3941393
0.021428572,5.41895
0.022222223,5.442858
0.023015874,5.465927
0.023809524,5.4882145
0.024603175,5.5097704
0.025396826,5.432666
0.026190476,5.257418
0.026984127,5.082171
0.027777778,4.906924
0.028571429,4.7316766
0.02936508,4.5564294
0.03015873,4.3811817
0.030952381,4.2059345
0.031746034,4.0306873
0.032539684,3.8554401
0.033333335,3.6801927
0.034126986,3.5049455
0.034920637,3.3296983
0.035714287,3.154451
0.036507938,2.9792037
0.03730159,2.8039565
0.03809524,2.628709
0.03888889,2.453462
0.03968254,2.2782147
0.04047619,2.1029673
0.041269843,1.9277201
0.042063493,1.7524728
0.042857144,1.5772254
0.043650795,1.4019783
0.044444446,1.226731
0.045238096,1.0514836
0.046031747,0.8762364
0.046825398,0.7009891
0.04761905,0.5257418
0.0484127,0.35049456
0.04920635,0.17524728
0.05,0.0
