y_m,u_g_m_per_s
0.0,0.0
0.0007936508,0.24240893
0.0015873016,0.30184948
0.0023809525,0.33658397
0.0031746032,0.36122409
0.003968254,0.38033524
0.004761905,0.39594972
0.0055555557,0.40915135
0.0063492064,0.420587
0.007142857,0.4306739
0.007936508,0.4396969
0.008730159,0.4478592
0.00952381,0.45531073
0.010317461,0.4621655
0.011111111,0.468512
0.011904762,0.47442043
0.012698413,0.47994742
0.013492064,0.48513922
0.014285714,0.49003416
0.015079365,0.4946644
0.015873017,0.49905705
0.016666668,0.50323534
0.017460318,0.50721925
0.018253969,0.511026
0.01904762,0.5146707
0.01984127,0.51816666
0.020634921,0.52152544
0.021428572,0.52475744
0.022222223,0.5278719
0.023015874,0.53087705
0.023809524,0.53378034
0.024603175,0.5365884
0.025396826,0.5294196
0.026190476,0.51234156
0.026984127,0.4952635
0.027777778,0.47818545
0.028571429,0.4611074
0.02936508,0.44402933
0.03015873,0.4269513
0.030952381,0.40987325
0.031746034,0.39279518
0.032539684,0.37571713
0.033333335,0.3586391
0.034126986,0.34156102
0.034920637,0.32448298
0.035714287,0.30740494
0.036507938,0.29032686
0.03730159,0.27324882
0.03809524,0.25617078
0.03888889,0.23909272
0.03968254,0.22201467
0.04047619,0.20493662
0.041269843,0.18785857
0.042063493,0.17078051
0.042857144,0.15370247
0.043650795,0.13662441
0.044444446,0.11954636
0.045238096,0.10246831
0.046031747,0.085390255
0.046825398,0.068312205
0.04761905,0.051234156
0.0484127,0.034156103
0.04920635,0.017078051
0.05,0.0
