y_m,u_g_m_per_s
0.0,0.0
0.0007936508,3.6845934
0.0015873016,4.148259
0.0023809525,4.419205
0.0031746032,4.61141
0.003968254,4.7604866
0.004761905,4.8822875
0.0055555557,4.9852667
0.0063492064,5.0744705
0.007142857,5.153153
0.007936508,5.223537
0.008730159,5.2872066
0.00952381,5.3453326
0.010317461,5.398803
0.011111111,5.448309
0.011904762,5.4943976
0.012698413,5.537511
0.013492064,5.5780096
0.014285714,5.6161923
0.015079365,5.6523104
0.015873017,5.6865754
0.016666668,5.719168
0.017460318,5.7502446
0.018253969,5.779939
0.01904762,5.80837
0.01984127,5.83564
0.020634921,5.8618402
0.021428572,5.887051
0.022222223,5.9113455
0.023015874,5.9347873
0.023809524,5.957434
0.024603175,5.979338
0.025396826,5.894947
0.026190476,5.7047877
0.026984127,5.514628
0.027777778,5.324468
0.028571429,5.134309
0.02936508,4.944149
0.03015873,4.7539897
0.030952381,4.56383
0.031746034,4.3736706
0.032539684,4.183511
0.033333335,3.9933512
0.034126986,3.8031917
0.034920637,3.613032
0.035714287,3.4228725
0.036507938,3.232713
0.03730159,3.0425534
0.03809524,2.8523939
0.03888889,2.662234
0.03968254,2.4720745
0.04047619,2.281915
0.041269843,2.0917554
0.042063493,1.9015958
0.042857144,1.7114363
0.043650795,1.5212767
0.044444446,1.331117
0.045238096,1.1409575
0.046031747,0.9507979
0.046825398,0.76063836
0.04761905,0.57047874
0.0484127,0.38031918
0.04920635,0.19015959
0.05,0.0
