y_m,u_g_m_per_s
0.0,0.0
0.0007936508,3.7442193
0.0015873016,4.1990414
0.0023809525,4.4648194
0.0031746032,4.6533585
0.003968254,4.7995915
0.004761905,4.919069
0.0055555557,5.020084
0.0063492064,5.1075864
0.007142857,5.184768
0.007936508,5.25381
0.008730159,5.316265
0.00952381,5.3732824
0.010317461,5.425733
0.011111111,5.4742947
0.011904762,5.519504
0.012698413,5.561795
0.013492064,5.601521
0.014285714,5.638976
0.015079365,5.674405
0.015873017,5.7080164
0.016666668,5.7399874
0.017460318,5.770471
0.018253969,5.7995996
0.01904762,5.827488
0.01984127,5.8542376
0.020634921,5.879938
0.021428572,5.9046683
0.022222223,5.928499
0.023015874,5.9514937
0.023809524,5.973709
0.024603175,5.9951954
0.025396826,5.9103518
0.026190476,5.719695
0.026984127,5.529039
0.027777778,5.3383822
0.028571429,5.1477256
0.02936508,4.9570694
0.03015873,4.7664127
0.030952381,4.575756
0.031746034,4.3851
0.032539684,4.194443
0.033333335,4.0037866
0.034126986,3.8131301
0.034920637,3.6224737
0.035714287,3.431817
0.036507938,3.2411606
0.03730159,3.0505042
0.03809524,2.8598475
0.03888889,2.6691911
0.03968254,2.4785347
0.04047619,2.287878
0.041269843,2.0972216
0.042063493,1.9065651
0.042857144,1.7159085
0.043650795,1.5252521
0.044444446,1.3345956
0.045238096,1.143939
0.046031747,0.95328254
0.046825398,0.76262605
0.04761905,0.5719695
0.0484127,0.38131303
0.04920635,0.19065651
0.05,0.0
