y_m,u_g_m_per_s
0.0,0.0
0.0007936508,2.6462784
0.0015873016,3.038226
0.0023809525,3.2672632
0.0031746032,3.4297385
0.003968254,3.555756
0.004761905,3.6587172
0.0055555557,3.7457678
0.0063492064,3.821174
0.007142857,3.8876863
0.007936508,3.9471834
0.008730159,4.001005
0.00952381,4.05014
0.010317461,4.09534
0.011111111,4.1371884
0.011904762,4.1761484
0.012698413,4.212593
0.013492064,4.246827
0.014285714,4.279104
0.015079365,4.3096356
0.015873017,4.3386006
0.016666668,4.3661523
0.017460318,4.3924217
0.018253969,4.4175234
0.01904762,4.4415565
0.01984127,4.464608
0.020634921,4.486756
0.021428572,4.5080676
0.022222223,4.528604
0.023015874,4.54842
0.023809524,4.567564
0.024603175,4.58608
0.025396826,4.5221767
0.026190476,4.3763003
0.026984127,4.2304235
0.027777778,4.084547
0.028571429,3.9386702
0.02936508,3.7927935
0.03015873,3.6469169
0.030952381,3.5010402
0.031746034,3.3551636
0.032539684,3.209287
0.033333335,3.06341
0.034126986,2.9175334
0.034920637,2.7716568
0.035714287,2.62578
0.036507938,2.4799035
0.03730159,2.3340268
0.03809524,2.1881502
0.03888889,2.0422735
0.03968254,1.8963968
0.04047619,1.7505201
0.041269843,1.6046435
0.042063493,1.4587667
0.042857144,1.31289
0.043650795,1.1670134
0.044444446,1.0211368
0.045238096,0.87526006
0.046031747,0.72938335
0.046825398,0.5835067
0.04761905,0.43763003
0.0484127,0.29175335
0.04920635,0.14587668
0.05,0.0
