y_m,u_g_m_per_s
0.0,0.0
0.0007936508,5.6797776
0.0015873016,6.3170223
0.0023809525,6.689401
0.0031746032,6.953561
0.003968254,7.158446
0.004761905,7.3258443
0.0055555557,7.467375
0.0063492064,7.5899734
0.007142857,7.6981125
0.007936508,7.794845
0.008730159,7.8823504
0.00952381,7.962237
0.010317461,8.035725
0.011111111,8.103764
0.011904762,8.167107
0.012698413,8.226359
0.013492064,8.28202
0.014285714,8.3344965
0.015079365,8.384136
0.015873017,8.431229
0.016666668,8.476023
0.017460318,8.518733
0.018253969,8.559545
0.01904762,8.5986185
0.01984127,8.636097
0.020634921,8.672106
0.021428572,8.706755
0.022222223,8.740144
0.023015874,8.772362
0.023809524,8.803487
0.024603175,8.8335905
0.025396826,8.707832
0.026190476,8.426934
0.026984127,8.146036
0.027777778,7.8651385
0.028571429,7.584241
0.02936508,7.303343
0.03015873,7.022445
0.030952381,6.741547
0.031746034,6.4606495
0.032539684,6.179752
0.033333335,5.898854
0.034126986,5.617956
0.034920637,5.3370585
0.035714287,5.0561604
0.036507938,4.775263
0.03730159,4.4943647
0.03809524,4.213467
0.03888889,3.9325693
0.03968254,3.6516714
0.04047619,3.3707736
0.041269843,3.089876
0.042063493,2.808978
0.042857144,2.5280802
0.043650795,2.2471824
0.044444446,1.9662846
0.045238096,1.6853868
0.046031747,1.404489
0.046825398,1.1235912
0.04761905,0.8426934
0.0484127,0.5617956
0.04920635,0.2808978
0.05,0.0
