y_m,u_g_m_per_s
0.0,0.0
0.0007936508,2.4770799
0.0015873016,2.7999005
0.0023809525,2.988543
0.0031746032,3.122363
0.003968254,3.2261555
0.004761905,3.3109574
0.0055555557,3.3826554
0.0063492064,3.4447622
0.007142857,3.4995441
0.007936508,3.5485477
0.008730159,3.592877
0.00952381,3.6333463
0.010317461,3.6705744
0.011111111,3.7050421
0.011904762,3.7371309
0.012698413,3.7671478
0.013492064,3.7953444
0.014285714,3.8219287
0.015079365,3.8470752
0.015873017,3.8709319
0.016666668,3.893624
0.017460318,3.9152606
0.018253969,3.935935
0.01904762,3.9557295
0.01984127,3.9747157
0.020634921,3.9929574
0.021428572,4.0105104
0.022222223,4.027425
0.023015874,4.043746
0.023809524,4.0595136
0.024603175,4.074764
0.025396826,4.017409
0.026190476,3.887815
0.026984127,3.7582211
0.027777778,3.6286273
0.028571429,3.4990335
0.02936508,3.3694396
0.03015873,3.2398458
0.030952381,3.110252
0.031746034,2.980658
0.032539684,2.8510642
0.033333335,2.7214704
0.034126986,2.5918765
0.034920637,2.462283
0.035714287,2.332689
0.036507938,2.2030952
0.03730159,2.0735013
0.03809524,1.9439075
0.03888889,1.8143137
0.03968254,1.6847198
0.04047619,1.555126
0.041269843,1.4255321
0.042063493,1.2959383
0.042857144,1.1663445
0.043650795,1.0367507
0.044444446,0.9071568
0.045238096,0.777563
0.046031747,0.6479691
0.046825398,0.51837534
0.04761905,0.3887815
0.0484127,0.25918767
0.04920635,0.12959383
0.05,0.0
