y_m,u_g_m_per_s
0.0,0.0
0.0007936508,2.8474004
0.0015873016,3.2109287
0.0023809525,3.4233592
0.0031746032,3.574054
0.003968254,3.6909344
0.004761905,3.78643
0.0055555557,3.867169
0.0063492064,3.9371076
0.007142857,3.9987974
0.007936508,4.0539804
0.008730159,4.1038995
0.00952381,4.149472
0.010317461,4.191395
0.011111111,4.230209
0.011904762,4.266344
0.012698413,4.300146
0.013492064,4.331898
0.014285714,4.361835
0.015079365,4.3901525
0.015873017,4.4170175
0.016666668,4.442571
0.017460318,4.4669356
0.018253969,4.490217
0.01904762,4.512508
0.01984127,4.5338883
0.020634921,4.55443
0.021428572,4.574197
0.022222223,4.593244
0.023015874,4.6116233
0.023809524,4.629379
0.024603175,4.6465526
0.025396826,4.581045
0.026190476,4.4332695
0.026984127,4.285494
0.027777778,4.137718
0.028571429,3.9899423
0.02936508,3.8421667
0.03015873,3.694391
0.030952381,3.5466154
0.031746034,3.3988397
0.032539684,3.251064
0.033333335,3.1032884
0.034126986,2.9555128
0.034920637,2.807737
0.035714287,2.6599615
0.036507938,2.512186
0.03730159,2.3644104
0.03809524,2.2166348
0.03888889,2.068859
0.03968254,1.9210833
0.04047619,1.7733077
0.041269843,1.625532
0.042063493,1.4777564
0.042857144,1.3299807
0.043650795,1.1822052
0.044444446,1.0344296
0.045238096,0.88665384
0.046031747,0.7388782
0.046825398,0.5911026
0.04761905,0.44332692
0.0484127,0.2955513
0.04920635,0.14777565
0.05,0.0
