temperature_K,temperature_C,stress_MPa,strain_rate_s_inv
1073,799.85,1.0,3.645252665749579e-41
1073,799.85,1.2742749857031337,5.638989948270402e-41
1073,799.85,1.6237767391887217,8.723183425793044e-41
1073,799.85,2.0691380811147897,1.3494248044079259e-40
1073,799.85,2.636650898730358,2.0874802395729997e-40
1073,799.85,3.3598182862837818,3.229208279241377e-40
1073,799.85,4.281332398719393,4.995393926629018e-40
1073,799.85,5.455594781168519,7.727578503565714e-40
1073,799.85,6.951927961775605,1.1954106203806027e-39
1073,799.85,8.858667904100825,1.8492294198750036e-39
1073,799.85,11.28837891684689,2.860648373897224e-39
1073,799.85,14.38449888287663,4.42525358461687e-39
1073,799.85,18.329807108324356,6.845605166595708e-39
1073,799.85,23.357214690901213,1.0589745694986895e-38
1073,799.85,29.763514416313175,1.6381709309165684e-38
1073,799.85,37.926901907322495,2.5341533934761567e-38
1073,799.85,48.32930238571752,3.9201851897552574e-38
1073,799.85,61.584821106602604,6.064294277346815e-38
1073,799.85,78.47599703514611,9.381104030077036e-38
1073,799.85,100.0,1.4512012247141584e-37
1273,999.85,1.0,1.710041726308073e-37
1273,999.85,1.2742749857031337,2.6453332566979426e-37
1273,999.85,1.6237767391887217,4.092173852447537e-37
1273,999.85,2.0691380811147897,6.330350550825683e-37
1273,999.85,2.636650898730358,9.79267732537098e-37
1273,999.85,3.3598182862837818,1.5148691755518495e-36
1273,999.85,4.281332398719393,2.3434128816760576e-36
1273,999.85,5.455594781168519,3.6251209164677635e-36
1273,999.85,6.951927961775605,5.6078473246306463e-36
1273,999.85,8.858667904100825,8.675007631747984e-36
1273,999.85,11.28837891684689,1.341972294437285e-35
1273,999.85,14.38449888287663,2.0759516480960127e-35
1273,999.85,18.329807108324356,3.211374231119754e-35
1273,999.85,23.357214690901213,4.967805710580315e-35
1273,999.85,29.763514416313175,7.684901167519558e-35
1273,999.85,37.926901907322495,1.1888086892924124e-34
1273,999.85,48.32930238571752,1.8390166235453349e-34
1273,999.85,61.584821106602604,2.844849782927702e-34
1273,999.85,78.47599703514611,4.400814100212666e-34
1273,999.85,100.0,6.807798731889251e-34
1473,1199.85,1.0,8.078539901390564e-35
1473,1199.85,1.2742749857031337,1.2497022697129077e-34
1473,1199.85,1.6237767391887217,1.933215385439598e-34
1473,1199.85,2.0691380811147897,2.9905696877376594e-34
1473,1199.85,2.636650898730358,4.626234161270982e-34
1473,1199.85,3.3598182862837818,7.156510213644644e-34
1473,1199.85,4.281332398719393,1.1070697386387689e-33
1473,1199.85,5.455594781168519,1.712571308670768e-33
1473,1199.85,6.951927961775605,2.649246370773843e-33
1473,1199.85,8.858667904100825,4.0982272081306055e-33
1473,1199.85,11.28837891684689,6.339714733498356e-33
1473,1199.85,14.38449888287663,9.807163161280556e-33
1473,1199.85,18.329807108324356,1.5171100485605676e-32
1473,1199.85,23.357214690901213,2.3468793794829825e-32
1473,1199.85,29.763514416313175,3.630483383237933e-32
1473,1199.85,37.926901907322495,5.616142743079702e-32
1473,1199.85,48.32930238571752,8.6878401527116e-32
1473,1199.85,61.584821106602604,1.343957409417234e-31
1473,1199.85,78.47599703514611,2.079022503382197e-31
1473,1199.85,100.0,3.2161246623461272e-31
