temperature_K,temperature_C,stress_MPa,strain_rate_s_inv
1073,799.85,1.0,7.507397587017936e-36
1073,799.85,1.2742749857031337,1.2795827118685203e-35
1073,799.85,1.6237767391887217,2.1809580450942556e-35
1073,799.85,2.0691380811147897,3.7172884178120285e-35
1073,799.85,2.636650898730358,6.335854654463224e-35
1073,799.85,3.3598182862837818,1.0799015220377018e-34
1073,799.85,4.281332398719393,1.8406156089420978e-34
1073,799.85,5.455594781168519,3.1371988563259123e-34
1073,799.85,6.951927961775605,5.347133109334736e-34
1073,799.85,8.858667904100825,9.113809419919494e-34
1073,799.85,11.28837891684689,1.55338422373681e-33
1073,799.85,14.38449888287663,2.6476333170632907e-33
1073,799.85,18.329807108324356,4.512703344418191e-33
1073,799.85,23.357214690901213,7.69158302378181e-33
1073,799.85,29.763514416313175,1.3109758141958246e-32
1073,799.85,37.926901907322495,2.234465363102033e-32
1073,799.85,48.32930238571752,3.8084878491563823e-32
1073,799.85,61.584821106602604,6.491297621653708e-32
1073,799.85,78.47599703514611,1.1063956741314236e-31
1073,799.85,100.0,1.8857730134778133e-31
1273,999.85,1.0,1.2242175578824802e-32
1273,999.85,1.2742749857031337,2.0865920639945173e-32
1273,999.85,1.6237767391887217,3.556448290984937e-32
1273,999.85,2.0691380811147897,6.061714057435864e-32
1273,999.85,2.636650898730358,1.0331762001786175e-31
1273,999.85,3.3598182862837818,1.7609756093758488e-31
1273,999.85,4.281332398719393,3.001458121354837e-31
1273,999.85,5.455594781168519,5.115772646868133e-31
1273,999.85,6.951927961775605,8.719471908750373e-31
1273,999.85,8.858667904100825,1.4861721897284046e-30
1273,999.85,11.28837891684689,2.53307516858399e-30
1273,999.85,14.38449888287663,4.3174470993629665e-30
1273,999.85,18.329807108324356,7.358782592392545e-30
1273,999.85,23.357214690901213,1.2542523393069382e-29
1273,999.85,29.763514416313175,2.137784220291055e-29
1273,999.85,37.926901907322495,3.643701693273894e-29
1273,999.85,48.32930238571752,6.210431297766549e-29
1273,999.85,61.584821106602604,1.0585239997960252e-28
1273,999.85,78.47599703514611,1.8041791373606064e-28
1273,999.85,100.0,3.075095472860799e-28
1473,1199.85,1.0,2.678514488098218e-30
1473,1199.85,1.2742749857031337,4.565338111819988e-30
1473,1199.85,1.6237767391887217,7.78129525445816e-30
1473,1199.85,2.0691380811147897,1.326266628101181e-29
1473,1199.85,2.636650898730358,2.2605274717047874e-29
1473,1199.85,3.3598182862837818,3.852908866181768e-29
1473,1199.85,4.281332398719393,6.567010096942871e-29
1473,1199.85,5.455594781168519,1.1193003289508664e-28
1473,1199.85,6.951927961775605,1.9077680830317993e-28
1473,1199.85,8.858667904100825,3.2516554891449442e-28
1473,1199.85,11.28837891684689,5.542216328141712e-28
1473,1199.85,14.38449888287663,9.446314940331432e-28
1473,1199.85,18.329807108324356,1.6100574331397177e-27
1473,1199.85,23.357214690901213,2.7442287859158587e-27
1473,1199.85,29.763514416313175,4.6773434751105116e-27
1473,1199.85,37.926901907322495,7.97220045808151e-27
1473,1199.85,48.32930238571752,1.358805067064982e-26
1473,1199.85,61.584821106602604,2.3159869348365474e-26
1473,1199.85,78.47599703514611,3.947435590536459e-26
1473,1199.85,100.0,6.72812419925575e-26
