temperature_K,temperature_C,stress_MPa,strain_rate_s_inv
1073,799.85,1.0,1.5366791685112141e-30
1073,799.85,1.2742749857031337,2.3771516488746312e-30
1073,799.85,1.6237767391887217,3.6773127908163874e-30
1073,799.85,2.0691380811147897,5.6885850626751416e-30
1073,799.85,2.636650898730358,8.799904130022783e-30
1073,799.85,3.3598182862837818,1.3612930428990637e-29
1073,799.85,4.281332398719393,2.105839701506605e-29
1073,799.85,5.455594781168519,3.257609279334457e-29
1073,799.85,6.951927961775605,5.039328591446765e-29
1073,799.85,8.858667904100825,7.795542827579712e-29
1073,799.85,11.28837891684689,1.2059242987205686e-28
1073,799.85,14.38449888287663,1.8654934574917836e-28
1073,799.85,18.329807108324356,2.8858078766941173e-28
1073,799.85,23.357214690901213,4.464173845126706e-28
1073,799.85,29.763514416313175,6.90581250417238e-28
1073,799.85,37.926901907322495,1.06828828798512e-27
1073,799.85,48.32930238571752,1.6525787017192533e-27
1073,799.85,61.584821106602604,2.5564413614671517e-27
1073,799.85,78.47599703514611,3.9546633560150345e-27
1073,799.85,100.0,6.117629958245004e-27
1273,999.85,1.0,1.3528665508345566e-27
1273,999.85,1.2742749857031337,2.0928044174239956e-27
1273,999.85,1.6237767391887217,3.237444467000503e-27
1273,999.85,2.0691380811147897,5.0081348212238334e-27
1273,999.85,2.636650898730358,7.747287912800136e-27
1273,999.85,3.3598182862837818,1.1984595492409674e-26
1273,999.85,4.281332398719393,1.8539459322194376e-26
1273,999.85,5.455594781168519,2.8679445391126164e-26
1273,999.85,6.951927961775605,4.4365403200185295e-26
1273,999.85,8.858667904100825,6.863065077695083e-26
1273,999.85,11.28837891684689,1.0616755143224102e-25
1273,999.85,14.38449888287663,1.6423491325690626e-25
1273,999.85,18.329807108324356,2.540616823937817e-25
1273,999.85,23.357214690901213,3.930183733819733e-25
1273,999.85,29.763514416313175,6.079761432753268e-25
1273,999.85,37.926901907322495,9.405030803297675e-25
1273,999.85,48.32930238571752,1.4549025548017377e-24
1273,999.85,61.584821106602604,2.2506480714836502e-24
1273,999.85,78.47599703514611,3.4816192500008035e-24
1273,999.85,100.0,5.385858746892145e-24
1473,1199.85,1.0,1.8892411887009912e-25
1473,1199.85,1.2742749857031337,2.922544210183751e-25
1473,1199.85,1.6237767391887217,4.521002776967502e-25
1473,1199.85,2.0691380811147897,6.993723495482302e-25
1473,1199.85,2.636650898730358,1.0818875976021717e-24
1473,1199.85,3.3598182862837818,1.673616028145076e-24
1473,1199.85,4.281332398719393,2.588984859307049e-24
1473,1199.85,5.455594781168519,4.005006219467272e-24
1473,1199.85,6.951927961775605,6.1955073859584894e-24
1473,1199.85,8.858667904100825,9.584082936723108e-24
1473,1199.85,11.28837891684689,1.4826008592317491e-23
1473,1199.85,14.38449888287663,2.2934957077346358e-23
1473,1199.85,18.329807108324356,3.5479020052118903e-23
1473,1199.85,23.357214690901213,5.488394242961004e-23
1473,1199.85,29.763514416313175,8.490220790178938e-23
1473,1199.85,37.926901907322495,1.3133868646268606e-22
1473,1199.85,48.32930238571752,2.0317316814301816e-22
1473,1199.85,61.584821106602604,3.1429685620465517e-22
1473,1199.85,78.47599703514611,4.861986192517043e-22
1473,1199.85,100.0,7.521204641268775e-22
