material,defect_type,crystal_structure,formation_energy_eV,temperature_K,defect_concentration,supercell_size,k_points,exchange_correlation,cutoff_energy_eV,convergence_threshold
Zn,dislocation,fcc,1.2156442809580614,837.1651421518383,0.004458881695783058,64,7x11x11,HSE06,408.233797718321,9.702107536403744e-05
Ni,interstitial,fcc,4.407064173329028,306.3596746977457,0.00023160118798911617,512,7x7x11,HSE06,582.4279936868144,7.873242017790835e-05
Fe,dislocation,hcp,2.434238295897013,1073.9463660626884,0.00680339507833921,64,7x9x5,PBEsol,521.8455076693483,1.0669539286632004e-05
Ni,dislocation,hcp,2.241830920814386,1049.8754205625478,0.0017344731704242132,512,5x9x9,PBEsol,618.6841117373119,1.930059109702718e-05
Zn,interstitial,bcc,1.9472399850843762,1133.9929792144148,0.007272992686568353,512,4x9x11,PBE,555.4709158757928,2.7863554145615697e-05
Ti,interstitial,fcc,4.907725178162307,426.8318024772864,0.008022167610559643,512,10x6x6,PBE,684.53678109946,7.922737851258936e-05
Fe,grain_boundary,bcc,1.6959231322482402,1076.7930832880343,0.006233357970148752,216,9x11x8,HSE06,636.5191150830908,2.8197457506016356e-05
Fe,vacancy,hcp,2.5919810234089904,984.7065437552077,0.005613210698497393,64,10x10x5,PBEsol,575.734600746308,2.0970201031204227e-05
Zn,vacancy,fcc,0.9470494942784388,524.3630062339874,0.004104418847433262,512,10x6x6,PBEsol,752.1871356061031,6.281105076524553e-05
Mg,vacancy,fcc,1.09965165252508,467.91305299743226,0.008925697425901288,512,4x10x9,PBE,508.8528997538541,6.512132193359487e-05
Al,dislocation,fcc,1.0579231301002725,499.8970294236572,0.0011995338079694943,108,11x11x11,PBE,561.5344684232164,7.424332463789175e-06
Cu,dislocation,bcc,1.9268417180935904,433.2782369580599,0.009977407110004369,512,4x4x6,PBEsol,457.9579488364892,4.945582326747874e-05
Mg,dislocation,hcp,1.2680214366270544,955.3947137506736,0.0036784635440598136,216,10x11x11,PBE,460.28701758617177,5.131167889733115e-05
Ti,substitutional,hcp,1.8512005869202168,1028.5509415257438,0.0034873112069300025,512,4x6x7,PBE,445.38940849623566,9.254466820957772e-05
Mg,interstitial,hcp,2.400368795279651,1183.951508996492,0.005166842276818872,512,6x10x4,PBE,539.6838298450643,7.28696122081537e-05
Fe,dislocation,bcc,2.4126360177757395,375.72596849554395,0.001617125512232043,216,11x9x4,HSE06,789.4655347021269,2.9108176499009106e-05
Mg,interstitial,bcc,2.671794263690283,501.8423785145038,0.007122080034254012,512,11x11x11,HSE06,688.3759697008518,3.1498018393386534e-05
Ni,substitutional,hcp,1.1295696273044302,830.8837628044895,0.009788949689891815,216,5x8x9,PBE,630.7615538505436,4.9759251688067525e-05
Ti,dislocation,fcc,3.137003291579826,991.6986128756781,0.00043699411377258316,108,8x9x6,LDA,406.18264661154694,9.290353769618482e-05
Al,grain_boundary,hcp,0.9895898624041249,1066.0230043651713,0.0031699031295576207,216,9x5x6,LDA,428.16645233981757,2.168295304392066e-05
Zn,interstitial,hcp,2.669347325538993,966.691755978784,0.006970460394211685,64,5x10x5,HSE06,502.4827774377832,6.153985737570237e-05
Ni,interstitial,hcp,4.67301101623483,884.9675376999886,0.007019966805699777,216,10x7x5,PBEsol,575.3896492072348,6.753058739422474e-05
Fe,vacancy,bcc,1.934237637426878,831.7499345121097,0.00030597199914055527,64,11x8x7,LDA,786.1007321563079,4.6269250999759124e-05
Mg,grain_boundary,bcc,1.061174657774284,953.4822003503954,0.009758544942545884,64,11x10x6,LDA,697.6170571996461,2.583519220731946e-05
Cu,grain_boundary,bcc,1.2636792643360455,668.0576499728429,0.001733769906388387,108,9x11x4,LDA,773.8455989358839,6.41887887904917e-05
Ti,grain_boundary,bcc,1.7250565694531224,408.14818302507797,0.0034194547874972997,512,4x9x9,PBE,559.4018937589494,6.196915970716943e-05
Ti,dislocation,bcc,2.624168346926529,785.4397035600563,0.006839953730212013,108,4x7x11,LDA,776.092096569983,5.797194360971202e-05
Cu,substitutional,fcc,1.130063541239259,1147.3183278988727,0.003861640275369942,64,5x11x8,PBEsol,672.6454675891159,3.472183237695976e-05
Fe,vacancy,hcp,2.591551370634184,866.0485621018956,0.008774842663257003,64,7x5x8,PBE,627.4081134999833,5.801653295055038e-05
Fe,dislocation,bcc,2.4988234482882574,1080.4049464887498,0.005619105054745593,216,4x6x4,PBEsol,761.0211626718267,5.101998487233786e-05
Al,grain_boundary,hcp,1.1261217252638318,909.0929139818729,0.0048257269754767825,64,6x7x4,LDA,669.0073824308154,7.548507841433033e-05
Zn,vacancy,hcp,0.8608697864303125,351.80288401497984,0.005495739294355032,216,6x5x10,LDA,675.2120040700156,8.385942354950001e-05
