building_id,building_name,address,latitude,longitude,building_type,primary_use,occupancy_class,construction_year,construction_period,architectural_style,heritage_status,gross_floor_area_m2,footprint_area_m2,number_of_floors,building_height_m,floor_to_ceiling_height_m,building_length_m,building_width_m,total_wall_area_m2,total_window_area_m2,window_wall_ratio,roof_area_m2,usable_roof_area_m2,building_volume_m3,shape_factor,has_basement,number_of_units,material_structure,material_facade,material_insulation,material_windows,material_roof,thermal_u_value_wall,thermal_u_value_roof,thermal_u_value_floor,thermal_u_value_window,thermal_r_value_wall,thermal_r_value_roof,thermal_r_value_floor,thermal_r_value_window,thermal_thermal_mass_kj_k_m2,thermal_air_leakage_m3_h_m2,thermal_thermal_bridge_coefficient,thermal_solar_heat_gain_coefficient,thermal_infiltration_rate_ach,quality_overall_condition,quality_condition_score,quality_maintenance_backlog_cost_eur,quality_structure_condition,quality_structure_remaining_life_years,quality_envelope_condition,quality_envelope_remaining_life_years,quality_roof_condition,quality_roof_remaining_life_years,quality_windows_condition,quality_windows_remaining_life_years,quality_hvac_condition,quality_hvac_remaining_life_years,quality_electrical_condition,quality_electrical_remaining_life_years,quality_plumbing_condition,quality_plumbing_remaining_life_years,energy_rating,leed_certification,breeam_rating,last_major_renovation,retrofit_potential
BLD_00001,"Rodriguez, Figueroa and Sanchez House","819 Johnson Course, East William, AK 74064",-36.624926,168.904049,industrial,manufacturing,F,1853,pre_1920,Edwardian,none,30178.92,30178.92,1,7.1,7.1,212.1,142.3,5016.28,1431.35,0.285,38256.42,20458.6,213595.81,0.166,False,1,masonry,brick,none,single_glazed,pitched_tile,2.005,1.827,1.359,5.345,0.499,0.547,0.736,0.187,295.2,4.09,0.197,0.62,0.11,poor,1,5875896,poor,54,poor,46,poor,59,poor,42,poor,42,poor,52,fair,44,E,None,None,0,high
BLD_00002,"Gardner, Robinson and Lawrence Center","65423 Garcia Light, West Melanieview, AS 06196",33.325926,107.885264,mixed_use,mixed_commercial_residential,Mixed,1898,pre_1920,Victorian,none,13285.02,577.61,23,74.6,3.2,36.3,15.9,7793.3,1722.74,0.221,693.74,541.62,43096.35,0.587,True,1,masonry,brick,none,single_glazed,flat_membrane,1.77,2.725,1.751,4.785,0.565,0.367,0.571,0.209,195.9,11.76,0.064,0.63,1.23,poor,1,8454929,poor,45,fair,47,poor,58,poor,44,fair,38,poor,49,fair,34,E,None,None,2000,high
BLD_00003,Dudley Group Building,"959 Janet Cape Apt. 413, South Joshuastad, GA 49021",5.367253,-67.521771,mixed_use,mixed_commercial_residential,Mixed,2017,2011_present,Parametric,none,25067.13,1671.14,15,67.4,4.5,53.2,31.4,11410.09,2918.96,0.256,2157.98,1822.01,112656.25,0.455,True,1,timber,metal_panel,polyurethane,smart_glass,flat_membrane,0.3,0.222,0.201,1.035,3.333,4.505,4.975,0.966,121.2,1.05,0.231,0.59,1.46,very_good,4,138073,good,30,very_good,23,excellent,11,good,31,good,28,excellent,10,excellent,12,A,None,None,0,minimal
BLD_00004,"Adams, Zuniga and Wong House","327 Nelson Route, Lake Mark, WI 07832",-28.515376,-162.766316,healthcare,medical_office,I,1924,1920_1945,Bauhaus,none,34688.79,3468.88,10,37.9,3.8,70.1,49.5,9067.07,2460.07,0.271,4472.46,3898.04,131522.92,0.261,True,1,steel,stucco,none,single_glazed,flat_membrane,2.11,1.951,1.198,4.583,0.474,0.513,0.835,0.218,59.5,8.75,0.197,0.3,1.09,poor,1,8384646,poor,45,poor,57,poor,50,poor,53,fair,41,fair,47,poor,52,E,None,None,0,high
BLD_00005,Morales-Jones House,"PSC 9537, Box 6724, APO AE 32826",60.691112,109.361229,industrial,manufacturing,F,1857,pre_1920,Georgian,listed,17299.61,8649.81,2,9.8,4.9,139.2,62.1,3932.33,740.53,0.188,10041.44,5583.77,84464.34,0.227,True,1,timber,stone,none,single_glazed,flat_membrane,2.308,2.656,1.278,5.348,0.433,0.377,0.782,0.187,293.3,1.21,0.073,0.6,0.43,poor,1,12464938,poor,50,poor,57,poor,43,poor,60,poor,59,fair,37,fair,47,F,None,None,0,high
BLD_00006,Burgess-Patterson Center,"28710 Eric Estate Suite 916, Carlsonmouth, NC 33454",58.505446,-173.836174,mixed_use,mixed_commercial_residential,Mixed,2002,2000_2010,Minimalist,none,5104.54,268.66,19,62.3,3.3,18.7,14.4,4120.39,1108.41,0.269,323.08,191.94,16736.45,0.807,True,1,composite,glass,xps,low_e_double,metal_standing_seam,0.27,0.331,0.391,1.653,3.704,3.021,2.558,0.605,167.3,10.38,0.129,0.41,0.28,excellent,5,400159,excellent,9,very_good,23,excellent,8,very_good,24,very_good,17,very_good,20,very_good,23,B,None,None,2022,minimal
BLD_00007,"Le, Maldonado and Herrera Building","46270 Stanton Track Apt. 814, East Nathaniel, GA 71198",52.365730,-179.692966,office,coworking,B,2019,2011_present,Net-Zero,none,9461.5,788.46,12,48.9,4.1,39.6,19.9,5820.89,1756.74,0.302,938.48,568.34,38569.03,0.615,False,1,composite,glass,polyurethane,smart_glass,solar_integrated,0.316,0.135,0.2,0.905,3.165,7.407,5.0,1.105,490.9,3.26,0.16,0.58,0.89,very_good,4,152310,excellent,8,excellent,12,very_good,16,good,31,good,29,good,28,good,35,A,Gold,None,0,minimal
BLD_00008,"Nguyen, Smith and Hickman Complex","03911 Cabrera Trace Apt. 278, West Allison, PA 55962",-33.145854,109.532383,industrial,warehouse,F,2023,2011_present,Smart,none,11430.36,11430.36,1,4.9,4.9,159.4,71.7,2254.99,731.59,0.324,14374.57,8466.24,55761.12,0.197,False,1,composite,composite_panel,polyurethane,low_e_triple,green_roof,0.282,0.178,0.192,0.856,3.546,5.618,5.208,1.168,398.0,5.92,0.177,0.57,1.28,excellent,5,6735,very_good,24,excellent,12,excellent,9,excellent,8,excellent,10,excellent,11,excellent,10,B,Gold,None,0,minimal
BLD_00009,"Vaughn, Marquez and Ross Tower","8713 Caleb Brooks Apt. 930, Lake Crystalbury, CA 04618",-1.301276,-141.958750,office,corporate,B,2015,2011_present,Net-Zero,none,26341.88,1097.58,24,86.5,3.6,43.6,25.2,11895.04,4137.42,0.348,1139.49,761.38,94925.61,0.452,False,1,timber,metal_panel,polyurethane,smart_glass,flat_membrane,0.21,0.196,0.15,1.03,4.762,5.102,6.667,0.971,243.4,9.12,0.214,0.49,0.72,very_good,4,96595,excellent,10,good,26,excellent,9,very_good,21,good,25,good,32,good,34,B,Certified,None,0,minimal
BLD_00010,"Young, Caldwell and Lewis House","76311 Gomez Loop Suite 010, Chandlerville, IA 25613",-38.941186,107.916220,office,government,B,1987,1980_1999,Deconstructivist,none,10442.56,417.7,25,76.9,3.1,28.0,14.9,6597.41,2141.52,0.325,524.01,357.68,32114.29,0.632,False,1,steel,metal_panel,polyurethane,low_e_double,flat_membrane,0.846,0.685,0.504,2.371,1.182,1.46,1.984,0.422,336.9,11.72,0.18,0.55,0.48,good,3,1458448,fair,43,good,27,fair,46,fair,34,fair,38,fair,43,good,29,D,None,None,0,low
