Temperature_K,CTE_per_K,Uncertainty_CTE_per_K
300.0,1.24e-05,1.24e-06
350.0,1.2488249999999999e-05,1.2488249999999999e-06
400.0,1.25765e-05,1.2576500000000001e-06
450.0,1.266475e-05,1.266475e-06
500.0,1.2752999999999998e-05,1.2752999999999999e-06
550.0,1.2841249999999998e-05,1.284125e-06
600.0,1.29295e-05,1.29295e-06
650.0,1.301775e-05,1.301775e-06
700.0,1.3106e-05,1.3106e-06
750.0,1.319425e-05,1.319425e-06
800.0,1.32825e-05,1.3282500000000002e-06
850.0,1.337075e-05,1.3370750000000002e-06
900.0,1.3459000000000001e-05,1.3459000000000001e-06
950.0,1.3547249999999998e-05,1.354725e-06
1000.0,1.3635500000000002e-05,1.3635500000000003e-06
1050.0,1.3723749999999999e-05,1.372375e-06
1100.0,1.3812e-05,1.3812e-06
1150.0,1.390025e-05,1.390025e-06
1200.0,1.39885e-05,1.3988500000000002e-06
