simulation_id,voltage,current_density_input,max_temperature,avg_temperature,max_stress,max_current_density,avg_current_density,anode_thickness,electrolyte_thickness,cathode_thickness
0,0.778150054995154,0.8258736517634354,9737604.3347925,4193968.5864785,20969664393814.58,30954022.95319783,12212158.558427654,0.0003042066832554494,3.179025069022143e-05,4.918176944854762e-05
1,0.7261689459808784,0.606488239387338,8664011.58590931,5805509.483801687,14064379502227.37,24849091.9208297,15183644.438599782,0.0007384365025261926,2.868294276309786e-05,5.017344799224487e-05
2,0.8200264368123653,0.7538442733023569,2818823.5401671953,1840573.250351044,3759682574919.2085,10399802.825887566,6862206.736471929,0.0006821386022842109,4.6131285975744065e-05,4.4332749090304064e-05
3,0.7845059567118972,0.4935708405197321,4941676.035621934,3645971.9390924443,4330650824586.745,16076088.665269086,12313473.092012055,0.0009829588449756029,4.067086775966934e-05,6.181832888154425e-05
4,0.6173057342401821,0.4472682745199189,29287335.030523364,13089515.725686098,21651680541423.0,50496848.80708795,20542705.20366995,0.0006094656747956866,1.7242277589995642e-05,3.0079584386765515e-05
5,0.8820815373477289,0.6320460006040886,5217408.970682776,4725056.822209298,5545011766491.14,13283239.156512989,12546346.366515122,0.0002844198289193128,3.1828171915694694e-05,2.243451543953895e-05
6,0.7980242134773665,0.5652004272917023,12616620.166156335,11645148.65872195,7561288612972.151,26841563.24205767,25096694.611316014,0.00021579738088988194,2.6594898991451854e-05,3.926046253090069e-05
7,0.7059935778272188,0.27358178469214206,11285690.685943132,9482472.511961779,6552510936062.801,29433205.374930456,25393939.658138447,0.0005651596503389738,3.2602134984857375e-05,9.404469831217804e-05
8,0.6916475307339964,0.7065096769993542,3701107.1730270116,2633889.5346817845,6049992723755.085,8934870.101122,6551404.302853915,0.0008337324983057102,3.0182471454912134e-05,4.177581091487149e-05
9,0.8061054706152939,0.7662991126675937,6764758.390717623,5358784.439127078,9463021427569.018,22500429.711912416,18763513.063903403,0.000779432017884462,4.158155892947099e-05,2.7707763392573243e-05
10,0.7571455136625008,0.5283831004824553,16062697.100289654,15402350.014406344,24576725586606.805,34447348.16625403,33347841.366889223,0.0003284119186311175,2.5667394729389024e-05,7.619432061658319e-05
11,0.6041385259910854,0.357010632540977,9451242.391145272,7118086.56975793,14116837997538.07,18958265.98290088,14289231.7279911,0.0002537934965714869,2.507560327408558e-05,7.39407579607809e-05
12,0.8948292233395898,0.9917707394894169,4514901.765938958,2517761.693494416,6124571876292.911,21163821.628370095,11027536.390490634,0.0009209952141947944,4.688338773155737e-05,9.987586760845432e-05
13,0.7681015619428178,0.37118548408035457,3185401.0511764204,2476358.418324328,4390842715819.0894,10498744.50163985,8232981.907797451,0.00032501652264160336,4.120856078214759e-05,6.839365583947585e-05
14,0.6881659523183884,0.8612931481846109,17615589.220192537,16482761.736751117,32366633759787.305,36980633.426687464,36185477.92985255,0.0006534976733395478,2.5339868201363845e-05,7.870871640702911e-05
15,0.8376383378423821,0.34471862461056324,22558799.91525056,16914603.824218955,22364699153982.695,39001372.02195528,30387260.986310534,0.0006414964058525953,2.1611639089893284e-05,8.616739900101229e-05
16,0.8473068609431309,0.38930585638918824,102804211.18135786,91978453.1108058,183969121822391.06,90127804.05620746,86713612.44061917,0.0007531065190560207,1.0958745646016186e-05,4.578490669879295e-05
17,0.8953375422816897,0.4968887205762522,7287317.648085138,7177041.396539095,10931410509804.898,24840969.354491953,22075066.61942287,0.00038344840896243064,3.628807449274764e-05,2.0381265342940928e-05
18,0.7972315401688853,0.9903397593989729,5472007.416219354,2529381.3961716574,6921581854145.808,16533790.999353766,6939789.970586048,0.0004649395307366051,3.0218803396957103e-05,2.3424848396059953e-05
19,0.7685964059286021,0.9098449046975031,20558384.492723662,10472689.304809846,18135195917965.902,27903246.695595287,13463670.081840565,0.0007739328281097955,1.3573203776044697e-05,7.842477449004067e-05
20,0.7851857124647892,0.9551014400374523,6288176.973410205,5062708.057206576,11350670015098.004,20279608.574728776,16606366.621216187,0.0004999347032432225,4.031763973102938e-05,7.003217288672892e-05
21,0.8064097090937735,0.7201354880908623,1137276.373855103,771344.2653803308,1865802262254.2124,3872698.8703386085,2390902.8124116245,0.0007430561567738747,3.4072368846943326e-05,6.150753721881936e-05
22,0.6659747849481779,0.5742146285164503,12047749.928150177,10286044.991487397,11579376062519.004,29100659.320148785,25600116.51800516,0.00034545221526142685,3.019508912457818e-05,8.953792810378474e-05
23,0.7756733128509588,0.8627752290378996,7521950.841334757,4990019.321671868,10512659668968.107,24419024.26995727,16432562.0161593,0.0008489256164123365,4.058285221677714e-05,6.403236461375569e-05
24,0.6925010268992642,0.8395135451885403,8599268.493340535,7442913.190960644,6336327379441.145,22248655.522184085,19899146.507429037,0.0003947926291162675,3.2343242548257736e-05,4.3042474064382035e-05
25,0.8850743951615907,0.48542023075582685,20524438.301706422,13737238.19287929,19876275885797.105,34993074.73407374,23722950.98756351,0.0006378458361000363,2.131262813897649e-05,7.996405540274832e-05
26,0.6322035093836408,0.5406376695800438,11036684.867643774,10007821.267616399,18402971533093.49,22112369.80065263,21608494.783895764,0.0009074162146443359,2.504600563376285e-05,7.717297915785956e-05
27,0.8200911171766665,0.5676348494600715,8943306.733029876,4609583.785841479,13985629059400.373,14848618.737506384,7235931.908887426,0.0008663177895790827,1.6604669619711367e-05,9.769298721428638e-05
28,0.7773207608503774,0.3578842336959288,1231975.958143671,956463.7188850679,1785060468439.6138,5325667.098906701,3706682.9701640042,0.0006977200706252311,4.325392359590739e-05,3.4631271065075375e-05
29,0.6433574301378432,0.43969121050614535,27703421.898367,24902766.12349128,45402810302448.44,44605859.51394367,41756862.29025073,0.00036993353853011137,2.0127164492472465e-05,4.089080629389306e-05
