FirmID,Firm_Name,Subsector,Location_Zone,Year_Established,Firm_Age,Firm_Size,Employees,Total_Assets_USD,Ownership_Type,FDI_Presence,FDI_Type,FDI_Origin_Country,FDI_Ownership_Percentage,Years_With_FDI,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,Employee_Training_Hours,IoT_Adoption,RD_Spend_Ratio,Automation_Level,Liquidity_Ratio,Debt_Equity_Ratio,ROI_Percentage,ROA_Percentage,Revenue_USD,Revenue_Growth_Rate,Export_Intensity,Market_Share_Percentage,Operational_Efficiency,Employee_Productivity_USD,Tax_Incentives_Score,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Bureaucratic_Efficiency,Trade_Policy_Support,Govt_Policy_Score,Policy_Effectiveness_Index,EEG_Beneficiary,Pioneer_Tax_Status,Power_Access_Hours_Daily,Generator_Reliance,Port_Distance_KM,ISO_Certified,NAFDAC_Compliant,Halal_Certified,FDI_Inflow_Lagos_BillionUSD,Corruption_Perception_Index,Ease_Doing_Business_Rank,Avg_Power_Reliability_Hours,Logistics_Quality_Index,FDI_Policy_Interaction,Innovation_Policy_Interaction
FIRM_001,Seasoning&Condiments_FIRM_001,Seasoning & Condiments,Ikeja,2009,15,SME,112,3992887.78,Local,0,None,None,0.0,0,2.33,3.36,3.0,3.61,0.646,13.9,0,0.0999,2,1.05,0.54,13.8,2.02,5125286.33,3.03,0.172,0.78,4.55,45761.49,2.36,5.85,2.86,5.18,1.65,3.35,3.15,44.98,0,0,9.0,0.623,57.0,0,1,0,1.2,24,131,3.2,2.8,0.0,9.43
FIRM_002,BakeryProducts_FIRM_002,Bakery Products,Apapa,1996,28,SME,62,1192924.44,Joint Venture,1,Joint Venture,China,20.37,13,3.87,3.72,3.96,3.18,0.679,90.8,1,0.0681,5,3.41,1.96,13.89,15.3,1432850.14,9.56,0.276,1.06,8.0,23110.49,2.28,2.79,2.51,6.37,3.95,1.88,2.51,35.81,1,0,9.2,0.617,59.2,0,1,1,1.2,24,131,3.2,2.8,2.51,9.93
FIRM_003,OtherFoodProducts_FIRM_003,Other Food Products,Lagos Island,2016,8,SME,148,1034269.9,Local,0,None,None,0.0,0,2.5,3.05,3.03,3.59,0.382,22.1,0,0.039,3,2.27,0.76,1.85,13.54,10943020.2,5.12,0.12,1.26,7.73,73939.33,4.63,1.87,2.78,5.03,4.75,6.15,3.86,55.13,1,0,16.6,0.307,13.8,0,1,0,1.2,24,131,3.2,2.8,0.0,11.7
FIRM_004,DairyProducts_FIRM_004,Dairy Products,Badagry,2018,6,SME,37,4652003.38,Public Listed,1,Joint Venture,South Africa,28.57,4,4.15,3.95,4.38,3.48,0.31,91.2,0,0.1033,3,1.75,0.63,13.91,10.67,13246598.72,13.17,0.13,1.68,10.0,358016.18,4.53,3.7,1.0,5.07,3.58,6.96,3.78,54.04,1,0,22.5,0.061,15.9,1,1,0,1.2,24,131,3.2,2.8,3.78,16.56
FIRM_005,DairyProducts_FIRM_005,Dairy Products,Apapa,2013,11,SME,169,2983848.78,Joint Venture,1,Greenfield,USA,30.58,6,4.64,3.2,4.11,5.0,0.213,168.7,1,0.0224,5,3.08,0.88,19.57,8.58,11679287.55,15.42,0.142,4.71,7.79,69108.21,1.0,4.47,4.59,4.09,4.38,6.25,4.1,58.56,0,0,23.7,0.012,32.0,0,0,0,1.2,24,131,3.2,2.8,4.1,16.85
FIRM_006,MeatProcessing_FIRM_006,Meat Processing,Apapa,2015,9,SME,206,4507069.38,Public Listed,1,Joint Venture,South Africa,69.53,3,4.04,3.76,4.45,4.41,0.411,188.6,0,0.0341,2,1.96,1.18,25.19,12.58,2760713.86,19.79,0.193,1.9,9.6,13401.52,4.74,1.16,6.61,5.28,4.2,2.2,3.61,51.52,0,0,22.5,0.063,27.2,0,1,0,1.2,24,131,3.2,2.8,3.61,16.03
FIRM_007,OtherFoodProducts_FIRM_007,Other Food Products,Badagry,2005,19,SME,234,1016452.79,Public Listed,0,None,None,0.0,0,2.99,3.3,3.22,2.79,0.673,191.1,0,0.0663,3,3.44,0.28,7.61,7.1,3188081.84,1.0,0.0,2.03,6.34,13624.28,6.01,2.6,1.66,6.16,2.92,4.5,3.25,46.49,0,0,14.7,0.387,16.9,0,1,1,1.2,24,131,3.2,2.8,0.0,10.5
FIRM_008,AnimalFeeds_FIRM_008,Animal Feeds,Ikeja,2023,1,SME,45,4001561.14,Foreign-Owned,1,Greenfield,Netherlands,43.73,1,3.36,3.74,4.23,3.44,0.555,16.8,1,0.0651,5,3.02,2.16,14.76,13.77,4809804.45,10.76,0.0,4.16,9.99,106884.54,3.71,1.99,2.05,5.61,1.8,1.61,2.26,32.29,0,0,10.9,0.544,6.7,0,1,1,1.2,24,131,3.2,2.8,2.26,9.56
FIRM_009,Beverages_FIRM_009,Beverages,Ikorodu,1990,34,SME,131,824363.36,Foreign-Owned,1,Greenfield,India,17.98,9,3.04,4.36,5.0,4.52,0.444,57.1,1,0.0909,1,1.53,0.32,15.24,10.5,14615907.76,29.23,0.355,1.8,9.36,111571.81,3.55,3.35,3.99,7.0,3.61,5.17,3.44,49.19,0,0,21.9,0.089,38.9,0,1,0,1.2,24,131,3.2,2.8,3.44,17.22
FIRM_010,GrainMilling_FIRM_010,Grain Milling,Ikorodu,1981,43,SME,42,2318351.81,Joint Venture,0,None,None,0.0,0,3.93,3.42,2.72,2.71,0.373,170.5,1,0.0977,1,1.99,1.76,12.5,10.89,551392.91,13.69,0.022,2.15,6.46,13128.4,6.38,1.18,5.62,5.73,3.02,3.34,3.63,51.92,0,0,17.0,0.292,15.8,0,1,1,1.2,24,131,3.2,2.8,0.0,9.9
FIRM_011,DairyProducts_FIRM_011,Dairy Products,Badagry,2004,20,SME,39,4517636.89,Local,0,None,None,0.0,0,3.41,3.04,3.03,2.92,0.815,119.0,0,0.0538,3,2.31,1.43,10.89,10.68,10887261.25,17.41,0.322,4.85,7.45,279160.54,4.84,3.88,3.29,3.37,3.0,5.06,4.12,58.82,1,0,11.7,0.511,35.7,0,0,1,1.2,24,131,3.2,2.8,0.0,12.46
FIRM_012,Oils&Fats_FIRM_012,Oils & Fats,Ikorodu,2020,4,SME,80,4930705.27,Public Listed,1,Greenfield,China,70.2,3,3.66,4.06,4.73,4.41,0.228,103.6,1,0.0562,2,2.72,1.94,15.23,14.64,9880464.55,-7.66,0.36,1.26,7.39,123505.81,4.27,2.62,5.24,4.76,3.56,4.47,3.9,55.72,0,1,22.8,0.05,55.3,0,1,1,1.2,24,131,3.2,2.8,3.9,18.46
FIRM_013,Fruits&VegetablesProcessing_FIRM_013,Fruits & Vegetables Processing,Ikeja,2010,14,SME,56,3165523.26,Public Listed,1,Greenfield,India,94.65,6,4.32,3.99,5.0,3.42,0.344,45.7,1,0.0424,2,1.3,0.96,14.28,5.68,635832.21,6.78,0.153,3.05,5.76,11354.15,3.68,6.16,1.0,5.27,4.85,3.63,3.67,52.48,0,0,23.8,0.01,23.9,0,1,0,1.2,24,131,3.2,2.8,3.67,18.37
FIRM_014,FishProcessing_FIRM_014,Fish Processing,Lagos Island,1990,34,SME,186,4199727.09,Foreign-Owned,1,M&A,USA,21.38,5,3.1,3.9,3.73,3.63,0.465,34.5,0,0.0727,1,2.52,1.58,18.73,8.78,9520140.42,24.22,0.204,2.65,8.22,51183.55,4.42,5.41,4.74,5.3,2.17,3.68,3.85,55.06,1,0,17.9,0.253,42.8,0,1,1,1.2,24,131,3.2,2.8,3.85,14.39
FIRM_015,Oils&Fats_FIRM_015,Oils & Fats,Apapa,2006,18,SME,47,3060034.86,Public Listed,1,Joint Venture,France,47.19,2,3.92,2.81,3.36,4.7,0.585,173.8,0,0.0176,1,1.98,0.72,18.12,12.43,7265224.2,15.03,0.418,1.28,6.12,154579.24,2.98,3.08,1.61,5.02,4.74,2.82,3.03,43.34,0,1,10.7,0.554,18.2,0,1,1,1.2,24,131,3.2,2.8,3.03,10.19
