FirmID,Size,Employees,FirmAge,Subsector,OwnershipType,FDI_Presence,FDI_Percentage,FDI_Origin,FDI_Type,FDI_Years,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,IoT_Adoption,RD_Spend_Percentage,Liquidity_Ratio,ROI,ROA,Market_Share,Export_Intensity,Operational_Efficiency,Revenue_Million_NGN,Assets_Million_NGN,Export_Value_Million_NGN,Tax_Incentives_Perception,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ISO_Certification,Export_Destination_Count,Local_Content_Percentage,Capacity_Utilization,NAFDAC_Compliance_Score,Quality_Certification,Training_Hours_Per_Employee,Female_Employment_Ratio,Youth_Employment_Ratio,ERP_System,Ecommerce_Adoption,Automation_Level,Local_Suppliers_Percentage,Supplier_Reliability_Score,Inventory_Turnover_Ratio,Year
FIRM_001,SME,112,29,Fruit and Vegetable Processing,Private Foreign,1,24.03950683025824,UK,M&A,4,3.77,2.74,3.26,3.3,0.713,1,4.96,1.85,18.9,3.77,0.83,27.29,68.6,414.96,733.56,133.23,4.4,4.3,2.4,4.0,3.78,0,4,73.4,52.7,84.7,ISO 9001,76.4,0.536,0.523,0,1,31.0,36.7,4.98,7.96,2020
FIRM_001,SME,114,29,Fruit and Vegetable Processing,Private Foreign,1,24.03950683025824,UK,M&A,4,3.77,2.74,3.26,3.3,0.713,1,4.96,1.85,23.61,4.41,0.83,28.65,68.6,502.84,733.56,133.23,4.4,4.3,2.4,4.0,3.78,0,4,73.4,52.7,84.7,ISO 9001,76.4,0.536,0.523,0,1,31.0,36.7,4.98,7.96,2021
FIRM_001,SME,116,29,Fruit and Vegetable Processing,Private Foreign,1,24.03950683025824,UK,M&A,4,3.77,2.74,3.26,3.3,0.713,1,4.96,1.85,23.65,4.34,0.83,30.02,68.6,517.48,733.56,133.23,4.4,4.3,2.4,4.0,3.78,0,4,73.4,52.7,84.7,ISO 9001,76.4,0.536,0.523,0,1,31.0,36.7,4.98,7.96,2022
FIRM_001,SME,118,29,Fruit and Vegetable Processing,Private Foreign,1,24.03950683025824,UK,M&A,4,3.77,2.74,3.26,3.3,0.713,1,4.96,1.85,23.33,4.25,0.83,31.38,68.6,532.13,733.56,133.23,4.4,4.3,2.4,4.0,3.78,0,4,73.4,52.7,84.7,ISO 9001,76.4,0.536,0.523,0,1,31.0,36.7,4.98,7.96,2023
FIRM_001,SME,120,29,Fruit and Vegetable Processing,Private Foreign,1,24.03950683025824,UK,M&A,4,3.77,2.74,3.26,3.3,0.713,1,4.96,1.85,22.5,4.38,0.83,32.75,68.6,546.77,733.56,133.23,4.4,4.3,2.4,4.0,3.78,0,4,73.4,52.7,84.7,ISO 9001,76.4,0.536,0.523,0,1,31.0,36.7,4.98,7.96,2024
FIRM_002,SME,184,35,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.15,1.62,1.64,3.02,0.438,0,2.35,2.32,15.35,15.29,1.78,2.94,63.6,191.16,349.21,6.61,4.1,3.4,5.0,4.3,4.2,1,14,49.1,45.7,67.4,None,18.8,0.267,0.206,1,0,32.1,80.9,4.54,9.21,2020
FIRM_002,SME,187,35,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.15,1.62,1.64,3.02,0.438,0,2.35,2.32,17.55,16.17,1.78,3.09,63.6,231.65,349.21,6.61,4.1,3.4,5.0,4.3,4.2,1,14,49.1,45.7,67.4,None,18.8,0.267,0.206,1,0,32.1,80.9,4.54,9.21,2021
FIRM_002,SME,191,35,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.15,1.62,1.64,3.02,0.438,0,2.35,2.32,15.38,18.3,1.78,3.23,63.6,238.39,349.21,6.61,4.1,3.4,5.0,4.3,4.2,1,14,49.1,45.7,67.4,None,18.8,0.267,0.206,1,0,32.1,80.9,4.54,9.21,2022
FIRM_002,SME,195,35,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.15,1.62,1.64,3.02,0.438,0,2.35,2.32,17.25,16.15,1.78,3.38,63.6,245.14,349.21,6.61,4.1,3.4,5.0,4.3,4.2,1,14,49.1,45.7,67.4,None,18.8,0.267,0.206,1,0,32.1,80.9,4.54,9.21,2023
FIRM_002,SME,198,35,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.15,1.62,1.64,3.02,0.438,0,2.35,2.32,15.77,17.94,1.78,3.53,63.6,251.89,349.21,6.61,4.1,3.4,5.0,4.3,4.2,1,14,49.1,45.7,67.4,None,18.8,0.267,0.206,1,0,32.1,80.9,4.54,9.21,2024
