Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,Temperature_C,Correlation_Coeff
S0001,2.1817003746952763,1.051628560967021,25,0.5
S0002,1.79283774681037,0.43042133079859946,25,0.5
S0003,1.4369521953450033,0.8988027236722601,25,0.5
S0004,2.1540001746238358,1.1175495522544328,25,0.5
S0005,1.9522245303378791,0.9864208426249007,25,0.5
S0006,1.8503987903689794,0.9121042757598244,25,0.5
S0007,2.1797867128541473,0.9224813263856267,25,0.5
S0008,1.4826603018261755,0.8483246508126804,25,0.5
S0009,2.042768462724779,1.394557217354281,25,0.5
S0010,3.4034730984329764,1.270216575581088,25,0.5
S0011,2.4527621007965448,1.0057941877139516,25,0.5
S0012,1.7063651204225465,0.944954740150663,25,0.5
S0013,1.5182426852543047,0.8170947068091261,25,0.5
S0014,2.031733925880489,1.063236662308428,25,0.5
S0015,2.4096115427931655,1.0064007373040107,25,0.5
S0016,1.9458857069767186,1.124105180539555,25,0.5
S0017,2.22131477110345,1.1499904492593092,25,0.5
S0018,2.101310694235478,1.2202856151082777,25,0.5
S0019,2.191891234804758,0.8235484633804275,25,0.5
S0020,1.9381259065468093,0.8464171226235648,25,0.5
S0021,1.4544697922735674,0.7063354214951545,25,0.5
S0022,1.649179142375342,1.092703803379942,25,0.5
S0023,1.9394955452889258,1.0422946233708863,25,0.5
S0024,1.597546942109282,0.7476204103417448,25,0.5
S0025,1.7191984587228328,0.9295539121314682,25,0.5
S0026,1.5008752730173809,0.7099074301975941,25,0.5
S0027,2.4461338522515716,1.1847855721595366,25,0.5
S0028,1.6047318376639303,1.1803345235731482,25,0.5
S0029,1.9207217005858506,0.9293308326466222,25,0.5
S0030,2.8503554852789073,1.2426408171992402,25,0.5
S0031,2.091746887207289,0.7810287407171053,25,0.5
S0032,2.338181916722867,1.2309892277515444,25,0.5
S0033,2.3057427622416085,1.0580213709682853,25,0.5
S0034,0.980621661947767,0.7533955725604917,25,0.5
S0035,1.8090621343935889,0.7871557299997217,25,0.5
S0036,1.677596176491143,0.8951626702113779,25,0.5
S0037,2.5523008227066373,1.529605137224986,25,0.5
S0038,1.5267501054904506,0.9044785410714776,25,0.5
S0039,1.8412892276578265,1.1252838741862594,25,0.5
S0040,2.492495380444994,1.0782554614986661,25,0.5
S0041,2.347272075589567,1.1373017326241164,25,0.5
S0042,1.8519807662243537,0.9280359267805784,25,0.5
S0043,2.196950295059393,1.1399966205308378,25,0.5
S0044,2.8274514320332527,1.5020842170202373,25,0.5
S0045,2.7285034045150667,1.101469746435951,25,0.5
S0046,2.5822829123744833,1.1872220476422097,25,0.5
S0047,2.6459428128283213,0.8826012422589382,25,0.5
S0048,1.6948589876570113,0.6977765069621553,25,0.5
S0049,2.0798609424432986,0.8670058391020316,25,0.5
S0050,2.1063026454745213,1.2055746092337176,25,0.5
S0051,1.955348419612377,0.9988245062249262,25,0.5
S0052,2.386316235038724,1.094184275857151,25,0.5
S0053,2.9469250564866107,1.4685236928942684,25,0.5
S0054,1.5237085636098224,1.0547032672231882,25,0.5
S0055,2.4567330632052524,1.3707689366622393,25,0.5
S0056,1.924650461802807,1.1094736663705593,25,0.5
S0057,2.109049788441061,1.273623385011652,25,0.5
S0058,2.2495604206450097,1.0281403370856834,25,0.5
S0059,2.779603846170892,0.8907769356383303,25,0.5
S0060,2.7304787859205697,1.0402313516086648,25,0.5
S0061,2.02493073952315,1.2820172883753487,25,0.5
S0062,2.054273287213848,1.0280316098810585,25,0.5
S0063,2.3594368473896923,1.512102308801757,25,0.5
S0064,1.558692689841355,0.7639961624277303,25,0.5
S0065,2.4163773761115586,1.147540557301801,25,0.5
S0066,2.969762539125268,1.1794063296321275,25,0.5
S0067,2.188317454942385,1.1094478350934487,25,0.5
