experiment_id,fixture_type,stack_pressure_mpa,constraint_type,applied_load_type,load_magnitude_mpa,load_direction,temperature_c,test_duration_hours,boundary_condition_description,displacement_constraint_x,displacement_constraint_y,displacement_constraint_z,rotation_constraint_x,rotation_constraint_y,rotation_constraint_z,contact_pressure_mpa,friction_coefficient,material_interface,geometric_discontinuity,stress_concentration_factor,safety_factor,notes
EXP_001,Rigid_Compression_Fixture,0.15,Simply_Supported,Uniform_Compression,0.15,Z_Negative,800,100,"Uniform compression with rigid fixture - bottom surface fixed in Z direction",Fixed,Free,Fixed,Free,Free,Free,0.15,0.3,Interconnect_Electrolyte,Edge_Chamfer,2.1,1.29,"Standard operating conditions"
EXP_002,Flexible_Compression_Fixture,0.20,Pinned_Support,Uniform_Compression,0.20,Z_Negative,800,200,"Flexible compression fixture allowing lateral expansion",Free,Free,Fixed,Free,Free,Free,0.20,0.25,Interconnect_Electrolyte,None,1.0,1.45,"Reduced stress concentration"
EXP_003,Rigid_Compression_Fixture,0.25,Clamped_Support,Uniform_Compression,0.25,Z_Negative,750,150,"High compression with clamped boundaries",Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,0.25,0.35,Interconnect_Electrolyte,Corner_Radius,1.8,1.15,"High constraint condition"
EXP_004,Spring_Loaded_Fixture,0.10,Elastic_Support,Variable_Compression,0.10,Z_Negative,825,300,"Spring-loaded fixture with variable compression",Free,Free,Elastic,Free,Free,Free,0.10,0.2,Interconnect_Electrolyte,None,1.0,1.65,"Low compression test"
EXP_005,Rigid_Compression_Fixture,0.30,Simply_Supported,Uniform_Compression,0.30,Z_Negative,800,50,"Maximum allowable compression test",Fixed,Free,Fixed,Free,Free,Free,0.30,0.4,Interconnect_Electrolyte,Sharp_Edge,2.5,0.98,"Near failure condition"
EXP_006,Hydraulic_Fixture,0.18,Distributed_Support,Uniform_Compression,0.18,Z_Negative,780,400,"Hydraulic pressure distribution system",Free,Free,Fixed,Free,Free,Free,0.18,0.15,Interconnect_Electrolyte,Smooth_Transition,1.2,1.38,"Uniform pressure distribution"
EXP_007,Rigid_Compression_Fixture,0.12,Simply_Supported,Thermal_Load,0.05,Multi_Directional,600,1000,"Thermal cycling with mechanical constraint",Fixed,Free,Fixed,Free,Free,Free,0.12,0.3,Interconnect_Electrolyte,Edge_Chamfer,2.0,1.55,"Thermal cycling test"
EXP_008,Flexible_Compression_Fixture,0.22,Pinned_Support,Combined_Load,0.22,Z_Negative,850,80,"Combined thermal and mechanical loading",Free,Free,Fixed,Free,Free,Free,0.22,0.28,Interconnect_Electrolyte,Fillet_Radius,1.5,1.25,"High temperature operation"
EXP_009,Rigid_Compression_Fixture,0.16,Simply_Supported,Cyclic_Load,0.16,Z_Negative,800,2000,"Long-term cyclic loading test",Fixed,Free,Fixed,Free,Free,Free,0.16,0.32,Interconnect_Electrolyte,Edge_Chamfer,2.1,1.42,"Fatigue assessment"
EXP_010,Pneumatic_Fixture,0.14,Elastic_Support,Uniform_Compression,0.14,Z_Negative,775,500,"Pneumatic pressure control system",Free,Free,Elastic,Free,Free,Free,0.14,0.18,Interconnect_Electrolyte,Rounded_Edge,1.3,1.58,"Precise pressure control"
EXP_011,Rigid_Compression_Fixture,0.28,Clamped_Support,Uniform_Compression,0.28,Z_Negative,825,25,"High pressure short duration test",Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,0.28,0.42,Interconnect_Electrolyte,Sharp_Corner,2.8,1.02,"Stress limit evaluation"
EXP_012,Multi_Point_Fixture,0.19,Point_Support,Distributed_Load,0.19,Z_Negative,790,350,"Multi-point loading configuration",Fixed,Free,Fixed,Free,Free,Free,0.19,0.35,Interconnect_Electrolyte,Multiple_Points,1.9,1.35,"Non-uniform loading"
EXP_013,Rigid_Compression_Fixture,0.13,Simply_Supported,Bending_Load,0.08,Y_Direction,800,600,"Three-point bending configuration",Fixed,Free,Fixed,Fixed,Free,Free,0.13,0.3,Interconnect_Electrolyte,Center_Loading,2.2,1.48,"Bending stress analysis"
EXP_014,Vacuum_Fixture,0.11,Suction_Support,Uniform_Compression,0.11,Z_Negative,760,800,"Vacuum-assisted fixture system",Free,Free,Fixed,Free,Free,Free,0.11,0.12,Interconnect_Electrolyte,Smooth_Surface,1.0,1.72,"Minimal contact stress"
EXP_015,Rigid_Compression_Fixture,0.24,Simply_Supported,Shear_Load,0.15,X_Direction,815,120,"In-plane shear loading test",Fixed,Fixed,Fixed,Free,Free,Fixed,0.24,0.38,Interconnect_Electrolyte,Edge_Chamfer,2.3,1.18,"Shear stress evaluation"
EXP_016,Compliant_Fixture,0.17,Compliant_Support,Uniform_Compression,0.17,Z_Negative,795,450,"Compliant material interface",Free,Free,Compliant,Free,Free,Free,0.17,0.22,Compliant_Layer,Soft_Transition,1.1,1.52,"Stress reduction strategy"
EXP_017,Rigid_Compression_Fixture,0.21,Simply_Supported,Torsional_Load,0.12,Rotational,800,200,"Torsional loading configuration",Fixed,Free,Fixed,Fixed,Free,Fixed,0.21,0.33,Interconnect_Electrolyte,Edge_Chamfer,2.4,1.28,"Torsional stress analysis"
