mix_id,rubber_replacement,test_id,slump_flow,air_content,fresh_density,workability_rating,test_temperature,test_humidity
Mix_0pct_Rubber,0,1,176.6284278199318,5.210645766978326,2386.0694322701866,Good,22.53052561406505,52.712800217929825
Mix_0pct_Rubber,0,2,173.32678522350054,4.290421610893384,2361.3722267636035,Good,21.0867197553422,41.375410837434835
Mix_0pct_Rubber,0,3,171.90305957893,4.0442259958495095,2364.769624631978,Good,22.09197592447879,42.93848149332354
Mix_5pct_Rubber,5,1,120.66320536348223,4.398400664781059,2353.1738256203325,Fair,21.575251813786544,47.27808637737409
Mix_5pct_Rubber,5,2,108.95837117509325,3.9820528901599634,2367.6578068622466,Fair,22.399361310081193,48.54153125103362
Mix_5pct_Rubber,5,3,102.80125487033801,5.333525183029022,2349.365630437317,Fair,21.9422890710441,54.11272456051594
Mix_10pct_Rubber,10,1,50.0,4.5939886177521405,2257.8955041776508,Very Poor,21.67181395110157,50.984306179345616
Mix_10pct_Rubber,10,2,50.0,4.577115726535486,2344.5645307277528,Very Poor,22.69889630441071,42.60739004816286
Mix_10pct_Rubber,10,3,50.0,4.292712553068096,2399.6847446322895,Very Poor,23.34361828956846,41.18479922318633
Mix_15pct_Rubber,15,1,50.0,4.326712973812658,2318.18466598562,Very Poor,23.61167628884087,55.154997612479754
Mix_15pct_Rubber,15,2,50.0,4.1223521145498125,2335.467018334993,Very Poor,23.331263431403563,54.877725635611796
Mix_15pct_Rubber,15,3,50.0,4.416453460501282,2298.002256221717,Very Poor,21.80379337591933,54.06262911197099
