Temperature_C,Concrete_Type,Compressive_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Poisson_Ratio,Source
20,Control_Concrete,45.2,4.1,32.5,0.20,Experimental
20,Rubberized_5%,42.8,3.9,30.8,0.21,Experimental
20,Rubberized_10%,40.1,3.6,28.9,0.22,Experimental
20,Rubberized_15%,37.2,3.2,26.8,0.23,Experimental
20,Rubberized_20%,34.1,2.9,24.5,0.24,Experimental
100,Control_Concrete,43.8,3.9,31.2,0.20,Experimental
100,Rubberized_5%,41.5,3.7,29.6,0.21,Experimental
100,Rubberized_10%,38.9,3.4,27.8,0.22,Experimental
100,Rubberized_15%,36.1,3.0,25.8,0.23,Experimental
100,Rubberized_20%,33.0,2.7,23.6,0.24,Experimental
200,Control_Concrete,42.1,3.7,29.8,0.20,Experimental
200,Rubberized_5%,39.9,3.5,28.3,0.21,Experimental
200,Rubberized_10%,37.4,3.2,26.6,0.22,Experimental
200,Rubberized_15%,34.7,2.8,24.7,0.23,Experimental
200,Rubberized_20%,31.6,2.5,22.6,0.24,Experimental
300,Control_Concrete,40.2,3.5,28.2,0.20,Experimental
300,Rubberized_5%,38.1,3.3,26.8,0.21,Experimental
300,Rubberized_10%,35.7,3.0,25.2,0.22,Experimental
300,Rubberized_15%,33.1,2.6,23.4,0.23,Experimental
300,Rubberized_20%,30.1,2.3,21.4,0.24,Experimental
400,Control_Concrete,38.1,3.3,26.4,0.20,Experimental
400,Rubberized_5%,36.1,3.1,25.1,0.21,Experimental
400,Rubberized_10%,33.8,2.8,23.6,0.22,Experimental
400,Rubberized_15%,31.3,2.4,21.9,0.23,Experimental
400,Rubberized_20%,28.4,2.1,20.0,0.24,Experimental
500,Control_Concrete,35.8,3.1,24.5,0.20,Experimental
500,Rubberized_5%,33.9,2.9,23.3,0.21,Experimental
500,Rubberized_10%,31.7,2.6,21.9,0.22,Experimental
500,Rubberized_15%,29.4,2.2,20.3,0.23,Experimental
500,Rubberized_20%,26.6,1.9,18.5,0.24,Experimental
600,Control_Concrete,33.2,2.9,22.4,0.20,Experimental
600,Rubberized_5%,31.4,2.7,21.3,0.21,Experimental
600,Rubberized_10%,29.3,2.4,20.0,0.22,Experimental
600,Rubberized_15%,27.1,2.0,18.5,0.23,Experimental
600,Rubberized_20%,24.5,1.7,16.9,0.24,Experimental
700,Control_Concrete,30.4,2.7,20.1,0.20,Experimental
700,Rubberized_5%,28.7,2.5,19.1,0.21,Experimental
700,Rubberized_10%,26.7,2.2,17.9,0.22,Experimental
700,Rubberized_15%,24.6,1.8,16.5,0.23,Experimental
700,Rubberized_20%,22.2,1.5,15.1,0.24,Experimental
800,Control_Concrete,27.3,2.5,17.6,0.20,Experimental
800,Rubberized_5%,25.8,2.3,16.7,0.21,Experimental
800,Rubberized_10%,24.0,2.0,15.6,0.22,Experimental
800,Rubberized_15%,22.1,1.6,14.4,0.23,Experimental
800,Rubberized_20%,19.9,1.3,13.1,0.24,Experimental
900,Control_Concrete,24.0,2.3,14.9,0.20,Experimental
900,Rubberized_5%,22.6,2.1,14.1,0.21,Experimental
900,Rubberized_10%,21.0,1.8,13.1,0.22,Experimental
900,Rubberized_15%,19.3,1.4,12.1,0.23,Experimental
900,Rubberized_20%,17.4,1.1,11.0,0.24,Experimental
1000,Control_Concrete,20.5,2.1,12.0,0.20,Experimental
1000,Rubberized_5%,19.3,1.9,11.4,0.21,Experimental
1000,Rubberized_10%,17.9,1.6,10.6,0.22,Experimental
1000,Rubberized_15%,16.4,1.2,9.8,0.23,Experimental
1000,Rubberized_20%,14.8,0.9,8.9,0.24,Experimental
