Mix_ID,Temperature_C,Thermal_Conductivity_W_mK,Thermal_Conductivity_StdDev_W_mK,Specific_Heat_J_kgK,Specific_Heat_StdDev_J_kgK,Thermal_Diffusivity_m2_s,Thermal_Diffusivity_StdDev_m2_s,Linear_Thermal_Expansion_1_K,Linear_Thermal_Expansion_StdDev_1_K,Emissivity,Emissivity_StdDev,Fire_Resistance_Rating_min,Spalling_Resistance,Color_Change
C,20,2.1,0.15,900,45,1.0E-06,8.0E-08,1.2E-05,1.0E-06,0.85,0.05,60,Good,None
C,100,1.8,0.13,950,48,8.5E-07,7.0E-08,1.3E-05,1.1E-06,0.87,0.05,60,Good,Light Gray
C,200,1.5,0.11,1000,50,7.0E-07,6.0E-08,1.4E-05,1.2E-06,0.89,0.05,60,Good,Light Gray
C,300,1.2,0.09,1050,53,5.5E-07,5.0E-08,1.5E-05,1.3E-06,0.91,0.05,60,Good,Light Gray
C,400,0.9,0.07,1100,55,4.0E-07,4.0E-08,1.6E-05,1.4E-06,0.93,0.05,60,Good,Light Gray
C,500,0.7,0.05,1150,58,3.0E-07,3.0E-08,1.7E-05,1.5E-06,0.95,0.05,60,Good,Light Gray
C,600,0.5,0.04,1200,60,2.0E-07,2.0E-08,1.8E-05,1.6E-06,0.97,0.05,60,Good,Light Gray
R5S,20,1.9,0.14,920,46,9.5E-07,8.5E-08,1.3E-05,1.1E-06,0.83,0.05,75,Excellent,None
R5S,100,1.6,0.12,970,49,8.0E-07,7.5E-08,1.4E-05,1.2E-06,0.85,0.05,75,Excellent,Light Gray
R5S,200,1.3,0.10,1020,51,6.5E-07,6.5E-08,1.5E-05,1.3E-06,0.87,0.05,75,Excellent,Light Gray
R5S,300,1.0,0.08,1070,54,5.0E-07,5.5E-08,1.6E-05,1.4E-06,0.89,0.05,75,Excellent,Light Gray
R5S,400,0.8,0.06,1120,56,3.5E-07,4.5E-08,1.7E-05,1.5E-06,0.91,0.05,75,Excellent,Light Gray
R5S,500,0.6,0.04,1170,59,2.5E-07,3.5E-08,1.8E-05,1.6E-06,0.93,0.05,75,Excellent,Light Gray
R5S,600,0.4,0.03,1220,61,1.5E-07,2.5E-08,1.9E-05,1.7E-06,0.95,0.05,75,Excellent,Light Gray
R10S,20,1.7,0.13,940,47,9.0E-07,8.0E-08,1.4E-05,1.2E-06,0.81,0.05,90,Excellent,None
R10S,100,1.4,0.11,990,50,7.5E-07,7.0E-08,1.5E-05,1.3E-06,0.83,0.05,90,Excellent,Light Gray
R10S,200,1.1,0.09,1040,52,6.0E-07,6.0E-08,1.6E-05,1.4E-06,0.85,0.05,90,Excellent,Light Gray
R10S,300,0.9,0.07,1090,55,4.5E-07,5.0E-08,1.7E-05,1.5E-06,0.87,0.05,90,Excellent,Light Gray
R10S,400,0.7,0.05,1140,57,3.0E-07,4.0E-08,1.8E-05,1.6E-06,0.89,0.05,90,Excellent,Light Gray
R10S,500,0.5,0.04,1190,60,2.0E-07,3.0E-08,1.9E-05,1.7E-06,0.91,0.05,90,Excellent,Light Gray
R10S,600,0.3,0.02,1240,62,1.0E-07,2.0E-08,2.0E-05,1.8E-06,0.93,0.05,90,Excellent,Light Gray
R15S,20,1.5,0.12,960,48,8.5E-07,7.5E-08,1.5E-05,1.3E-06,0.79,0.05,105,Excellent,None
R15S,100,1.2,0.10,1010,51,7.0E-07,6.5E-08,1.6E-05,1.4E-06,0.81,0.05,105,Excellent,Light Gray
R15S,200,1.0,0.08,1060,53,5.5E-07,5.5E-08,1.7E-05,1.5E-06,0.83,0.05,105,Excellent,Light Gray
R15S,300,0.8,0.06,1110,56,4.0E-07,4.5E-08,1.8E-05,1.6E-06,0.85,0.05,105,Excellent,Light Gray
R15S,400,0.6,0.04,1160,58,2.5E-07,3.5E-08,1.9E-05,1.7E-06,0.87,0.05,105,Excellent,Light Gray
R15S,500,0.4,0.03,1210,61,1.5E-07,2.5E-08,2.0E-05,1.8E-06,0.89,0.05,105,Excellent,Light Gray
R15S,600,0.2,0.01,1260,63,8.0E-08,1.5E-08,2.1E-05,1.9E-06,0.91,0.05,105,Excellent,Light Gray
R20S,20,1.3,0.11,980,49,8.0E-07,7.0E-08,1.6E-05,1.4E-06,0.77,0.05,120,Excellent,None
R20S,100,1.0,0.09,1030,52,6.5E-07,6.0E-08,1.7E-05,1.5E-06,0.79,0.05,120,Excellent,Light Gray
R20S,200,0.8,0.07,1080,54,5.0E-07,5.0E-08,1.8E-05,1.6E-06,0.81,0.05,120,Excellent,Light Gray
R20S,300,0.6,0.05,1130,57,3.5E-07,4.0E-08,1.9E-05,1.7E-06,0.83,0.05,120,Excellent,Light Gray
R20S,400,0.4,0.03,1180,59,2.0E-07,3.0E-08,2.0E-05,1.8E-06,0.85,0.05,120,Excellent,Light Gray
R20S,500,0.3,0.02,1230,62,1.0E-07,2.0E-08,2.1E-05,1.9E-06,0.87,0.05,120,Excellent,Light Gray
R20S,600,0.1,0.01,1280,64,5.0E-08,1.0E-08,2.2E-05,2.0E-06,0.89,0.05,120,Excellent,Light Gray
R10L,20,1.6,0.12,930,47,8.8E-07,7.8E-08,1.4E-05,1.2E-06,0.80,0.05,85,Excellent,None
R10L,100,1.3,0.10,980,49,7.3E-07,6.8E-08,1.5E-05,1.3E-06,0.82,0.05,85,Excellent,Light Gray
R10L,200,1.1,0.08,1030,52,5.8E-07,5.8E-08,1.6E-05,1.4E-06,0.84,0.05,85,Excellent,Light Gray
R10L,300,0.9,0.06,1080,54,4.3E-07,4.8E-08,1.7E-05,1.5E-06,0.86,0.05,85,Excellent,Light Gray
R10L,400,0.7,0.04,1130,57,2.8E-07,3.8E-08,1.8E-05,1.6E-06,0.88,0.05,85,Excellent,Light Gray
R10L,500,0.5,0.03,1180,59,1.8E-07,2.8E-08,1.9E-05,1.7E-06,0.90,0.05,85,Excellent,Light Gray
R10L,600,0.3,0.02,1230,62,1.0E-07,1.8E-08,2.0E-05,1.8E-06,0.92,0.05,85,Excellent,Light Gray
R15L,20,1.4,0.11,950,48,8.3E-07,7.3E-08,1.5E-05,1.3E-06,0.78,0.05,100,Excellent,None
R15L,100,1.1,0.09,1000,50,6.8E-07,6.3E-08,1.6E-05,1.4E-06,0.80,0.05,100,Excellent,Light Gray
R15L,200,0.9,0.07,1050,53,5.3E-07,5.3E-08,1.7E-05,1.5E-06,0.82,0.05,100,Excellent,Light Gray
R15L,300,0.7,0.05,1100,55,3.8E-07,4.3E-08,1.8E-05,1.6E-06,0.84,0.05,100,Excellent,Light Gray
R15L,400,0.5,0.03,1150,58,2.3E-07,3.3E-08,1.9E-05,1.7E-06,0.86,0.05,100,Excellent,Light Gray
R15L,500,0.3,0.02,1200,60,1.3E-07,2.3E-08,2.0E-05,1.8E-06,0.88,0.05,100,Excellent,Light Gray
R15L,600,0.1,0.01,1250,63,6.0E-08,1.3E-08,2.1E-05,1.9E-06,0.90,0.05,100,Excellent,Light Gray
R20L,20,1.2,0.10,970,49,7.8E-07,6.8E-08,1.6E-05,1.4E-06,0.76,0.05,115,Excellent,None
R20L,100,0.9,0.08,1020,51,6.3E-07,5.8E-08,1.7E-05,1.5E-06,0.78,0.05,115,Excellent,Light Gray
R20L,200,0.7,0.06,1070,54,4.8E-07,4.8E-08,1.8E-05,1.6E-06,0.80,0.05,115,Excellent,Light Gray
R20L,300,0.5,0.04,1120,56,3.3E-07,3.8E-08,1.9E-05,1.7E-06,0.82,0.05,115,Excellent,Light Gray
R20L,400,0.3,0.02,1170,59,1.8E-07,2.8E-08,2.0E-05,1.8E-06,0.84,0.05,115,Excellent,Light Gray
