date,country,herfindahl_hirschman_index,market_concentration_level,number_of_active_fintech_companies,new_fintech_licenses_issued,market_entries_quarter,market_exits_quarter,net_market_change,market_leader_share,top_3_market_share,innovation_index,regulatory_clarity_score,market_maturity_score,competitive_intensity
2019-03-31,Nigeria,1023.14,Competitive,16,1,0,0,0,18.29,41.52,84.26,95.19,70.0,89.77
2019-03-31,Kenya,1279.41,Competitive,17,1,0,1,-1,20.09,53.55,61.25,89.96,90.0,87.21
2019-03-31,South Africa,1150.88,Competitive,16,0,0,0,0,17.52,47.21,75.38,82.15,80.0,88.49
2019-03-31,Ghana,1232.56,Competitive,16,2,0,0,0,24.12,51.2,69.52,69.73,60.0,87.67
2019-03-31,Uganda,2070.58,Moderately Concentrated,9,0,1,2,-1,29.11,72.37,67.49,86.27,50.0,79.29
2019-03-31,Tanzania,2524.55,Highly Concentrated,7,0,2,1,1,39.14,79.77,68.08,87.39,50.0,74.75
2019-03-31,Rwanda,1761.68,Moderately Concentrated,9,0,1,0,1,30.9,59.07,81.16,81.21,60.0,82.38
2019-03-31,Zambia,3120.75,Highly Concentrated,6,0,1,5,-4,48.83,82.34,43.84,61.34,40.0,68.79
2019-03-31,Botswana,3269.58,Highly Concentrated,5,2,0,0,0,40.4,91.0,45.94,94.4,60.0,67.3
2019-03-31,Ethiopia,3251.51,Highly Concentrated,5,0,3,0,3,47.05,91.31,54.28,50.86,40.0,67.48
2019-03-31,Senegal,2542.87,Highly Concentrated,5,1,1,0,1,37.85,76.54,64.32,94.55,40.0,74.57
2019-03-31,Ivory Coast,2523.78,Highly Concentrated,4,1,0,0,0,27.21,78.95,41.59,36.32,40.0,74.76
2019-03-31,Mali,2809.26,Highly Concentrated,6,0,2,0,2,35.33,87.69,41.66,97.47,30.0,71.91
2019-03-31,Burkina Faso,4384.89,Highly Concentrated,5,1,0,0,0,54.89,95.71,70.49,90.37,30.0,56.15
2019-03-31,Cameroon,4654.33,Highly Concentrated,4,0,0,2,-2,55.61,98.96,38.64,94.96,40.0,53.46
2019-06-30,Nigeria,861.52,Competitive,16,1,0,0,0,12.27,33.85,87.53,61.77,70.0,91.38
2019-06-30,Kenya,2735.57,Highly Concentrated,18,2,0,0,0,48.02,72.43,81.62,76.99,90.0,72.64
2019-06-30,South Africa,1270.71,Competitive,16,1,1,0,1,18.33,52.96,68.81,52.63,80.0,87.29
2019-06-30,Ghana,928.46,Competitive,15,0,1,1,0,14.61,39.82,48.91,75.3,60.0,90.72
2019-06-30,Uganda,2579.12,Highly Concentrated,7,0,1,0,1,43.87,72.2,66.03,75.57,50.0,74.21
2019-06-30,Tanzania,4151.53,Highly Concentrated,6,1,1,1,0,61.06,86.53,43.17,45.89,50.0,58.48
2019-06-30,Rwanda,1983.88,Moderately Concentrated,7,0,0,0,0,29.13,69.29,60.68,100.0,60.0,80.16
2019-06-30,Zambia,2810.51,Highly Concentrated,4,1,0,0,0,34.43,84.43,50.5,65.57,40.0,71.89
2019-06-30,Botswana,2992.87,Highly Concentrated,5,0,1,0,1,45.11,84.94,86.88,85.16,60.0,70.07
2019-06-30,Ethiopia,2995.76,Highly Concentrated,4,0,0,0,0,42.2,86.83,88.37,74.14,40.0,70.04
2019-06-30,Senegal,5394.74,Highly Concentrated,4,1,3,1,2,66.93,99.98,75.77,75.14,40.0,46.05
2019-06-30,Ivory Coast,3693.7,Highly Concentrated,5,0,1,1,0,48.66,91.53,59.13,79.38,40.0,63.06
2019-06-30,Mali,5091.24,Highly Concentrated,6,0,0,0,0,69.62,88.27,39.92,42.31,30.0,49.09
2019-06-30,Burkina Faso,2660.65,Highly Concentrated,5,0,0,0,0,36.0,84.68,37.27,53.89,30.0,73.39
2019-06-30,Cameroon,3250.88,Highly Concentrated,4,0,1,0,1,46.87,90.72,85.63,53.67,40.0,67.49
2019-09-30,Nigeria,1189.83,Competitive,16,0,0,0,0,21.3,49.55,73.88,100.0,70.0,88.1
2019-09-30,Kenya,1379.49,Competitive,18,2,1,0,1,25.97,55.97,85.32,96.81,90.0,86.21
2019-09-30,South Africa,1991.02,Moderately Concentrated,15,2,1,0,1,36.98,64.08,53.93,100.0,80.0,80.09
