Sample_ID,Size_Range_um,Count,Percentage,Cumulative_Percentage,Mean_Size_um,Median_Size_um,Mode_Size_um,Skewness,Kurtosis,Size_10th_percentile_um,Size_90th_percentile_um,Size_95th_percentile_um,Size_99th_percentile_um
S001,0.5-1.0,45,3.6,3.6,0.75,0.75,0.75,0.12,2.85,0.65,4.2,5.0,5.1
S001,1.0-1.5,78,6.3,9.9,1.25,1.25,1.25,0.15,2.78,0.65,4.2,5.0,5.1
S001,1.5-2.0,156,12.5,22.4,1.75,1.75,1.75,0.18,2.72,0.65,4.2,5.0,5.1
S001,2.0-2.5,234,18.8,41.2,2.25,2.25,2.25,0.22,2.65,0.65,4.2,5.0,5.1
S001,2.5-3.0,267,21.4,62.6,2.75,2.75,2.75,0.25,2.58,0.65,4.2,5.0,5.1
S001,3.0-3.5,198,15.9,78.5,3.25,3.25,3.25,0.28,2.52,0.65,4.2,5.0,5.1
S001,3.5-4.0,134,10.7,89.2,3.75,3.75,3.75,0.31,2.45,0.65,4.2,5.0,5.1
S001,4.0-4.5,78,6.3,95.5,4.25,4.25,4.25,0.34,2.38,0.65,4.2,5.0,5.1
S001,4.5-5.0,34,2.7,98.2,4.75,4.75,4.75,0.37,2.32,0.65,4.2,5.0,5.1
S001,5.0-5.5,23,1.8,100.0,5.25,5.25,5.25,0.40,2.25,0.65,4.2,5.0,5.1
S002,0.6-1.2,38,3.2,3.2,0.90,0.90,0.90,0.14,2.88,0.75,5.1,6.0,6.2
S002,1.2-1.8,72,6.1,9.3,1.50,1.50,1.50,0.17,2.81,0.75,5.1,6.0,6.2
S002,1.8-2.4,144,12.2,21.5,2.10,2.10,2.10,0.20,2.74,0.75,5.1,6.0,6.2
S002,2.4-3.0,216,18.3,39.8,2.70,2.70,2.70,0.23,2.67,0.75,5.1,6.0,6.2
S002,3.0-3.6,252,21.4,61.2,3.30,3.30,3.30,0.26,2.60,0.75,5.1,6.0,6.2
S002,3.6-4.2,186,15.8,77.0,3.90,3.90,3.90,0.29,2.53,0.75,5.1,6.0,6.2
S002,4.2-4.8,126,10.7,87.7,4.50,4.50,4.50,0.32,2.46,0.75,5.1,6.0,6.2
S002,4.8-5.4,66,5.6,93.3,5.10,5.10,5.10,0.35,2.39,0.75,5.1,6.0,6.2
S002,5.4-6.0,28,2.4,95.7,5.70,5.70,5.70,0.38,2.33,0.75,5.1,6.0,6.2
S002,6.0-6.6,18,1.5,97.2,6.30,6.30,6.30,0.41,2.26,0.75,5.1,6.0,6.2
S002,6.6-7.2,12,1.0,98.2,6.90,6.90,6.90,0.44,2.20,0.75,5.1,6.0,6.2
S002,7.2-7.8,8,0.7,98.9,7.50,7.50,7.50,0.47,2.13,0.75,5.1,6.0,6.2
S002,7.8-8.4,5,0.4,99.3,8.10,8.10,8.10,0.50,2.07,0.75,5.1,6.0,6.2
S002,8.4-9.0,3,0.3,99.6,8.70,8.70,8.70,0.53,2.00,0.75,5.1,6.0,6.2
S002,9.0-9.6,2,0.2,99.8,9.30,9.30,9.30,0.56,1.94,0.75,5.1,6.0,6.2
S002,9.6-10.2,1,0.1,99.9,9.90,9.90,9.90,0.59,1.87,0.75,5.1,6.0,6.2
S002,10.2-10.8,1,0.1,100.0,10.50,10.50,10.50,0.62,1.81,0.75,5.1,6.0,6.2
S003,0.4-0.8,52,3.9,3.9,0.60,0.60,0.60,0.10,2.90,0.55,3.8,4.6,4.8
S003,0.8-1.2,104,7.9,11.8,1.00,1.00,1.00,0.13,2.83,0.55,3.8,4.6,4.8
S003,1.2-1.6,208,15.8,27.6,1.40,1.40,1.40,0.16,2.76,0.55,3.8,4.6,4.8
S003,1.6-2.0,312,23.6,51.2,1.80,1.80,1.80,0.19,2.69,0.55,3.8,4.6,4.8
S003,2.0-2.4,234,17.7,68.9,2.20,2.20,2.20,0.22,2.62,0.55,3.8,4.6,4.8
S003,2.4-2.8,156,11.8,80.7,2.60,2.60,2.60,0.25,2.55,0.55,3.8,4.6,4.8
S003,2.8-3.2,104,7.9,88.6,3.00,3.00,3.00,0.28,2.48,0.55,3.8,4.6,4.8
S003,3.2-3.6,78,5.9,94.5,3.40,3.40,3.40,0.31,2.41,0.55,3.8,4.6,4.8
S003,3.6-4.0,52,3.9,98.4,3.80,3.80,3.80,0.34,2.34,0.55,3.8,4.6,4.8
S003,4.0-4.4,21,1.6,100.0,4.20,4.20,4.20,0.37,2.28,0.55,3.8,4.6,4.8
S004,0.7-1.4,32,2.9,2.9,1.05,1.05,1.05,0.16,2.92,0.85,6.2,7.4,7.6
S004,1.4-2.1,64,5.7,8.6,1.75,1.75,1.75,0.19,2.85,0.85,6.2,7.4,7.6
S004,2.1-2.8,128,11.4,20.0,2.45,2.45,2.45,0.22,2.78,0.85,6.2,7.4,7.6
S004,2.8-3.5,192,17.1,37.1,3.15,3.15,3.15,0.25,2.71,0.85,6.2,7.4,7.6
S004,3.5-4.2,224,20.0,57.1,3.85,3.85,3.85,0.28,2.64,0.85,6.2,7.4,7.6
S004,4.2-4.9,192,17.1,74.2,4.55,4.55,4.55,0.31,2.57,0.85,6.2,7.4,7.6
S004,4.9-5.6,128,11.4,85.6,5.25,5.25,5.25,0.34,2.50,0.85,6.2,7.4,7.6
S004,5.6-6.3,96,8.6,94.2,5.95,5.95,5.95,0.37,2.43,0.85,6.2,7.4,7.6
S004,6.3-7.0,48,4.3,98.5,6.65,6.65,6.65,0.40,2.36,0.85,6.2,7.4,7.6
S004,7.0-7.7,12,1.1,99.6,7.35,7.35,7.35,0.43,2.30,0.85,6.2,7.4,7.6
S004,7.7-8.4,4,0.4,100.0,8.05,8.05,8.05,0.46,2.23,0.85,6.2,7.4,7.6
S005,0.8-1.6,28,2.6,2.6,1.20,1.20,1.20,0.18,2.95,1.0,8.5,10.2,10.5
S005,1.6-2.4,56,5.2,7.8,2.00,2.00,2.00,0.21,2.88,1.0,8.5,10.2,10.5
S005,2.4-3.2,112,10.4,18.2,2.80,2.80,2.80,0.24,2.81,1.0,8.5,10.2,10.5
S005,3.2-4.0,168,15.6,33.8,3.60,3.60,3.60,0.27,2.74,1.0,8.5,10.2,10.5
