respondent_id,dl_technical,dl_informational,dl_communicative,dl_strategic,uses_computer,uses_internet_daily,uses_cloud_services,uses_social_media_business,uses_digital_payments,uses_erp_software,dl_composite
SME_0001,3.085664761146418,2.5218403869355654,2.9238587270466145,2.2649035332154055,0,0,0,0,1,1,2.699066852086001
SME_0002,3.5168536732319553,5.5236429878660225,4.619575498081748,4.3104727541807515,1,1,1,0,1,1,4.492636228340119
SME_0003,1.5981889659566821,3.2508255961772714,1.8141405821785792,3.9053559623618064,1,0,0,1,1,0,2.642127776668585
SME_0004,3.9791490753903123,3.9897496289151593,2.7688840461801147,3.260797243615967,1,0,1,1,1,0,3.499644998525388
SME_0005,2.282132545374605,4.6710150221030835,3.9191937260013567,4.350049041553427,1,1,0,1,1,0,3.805597583758118
SME_0006,3.959726588402015,5.3824550635385755,4.278030164715783,2.7886967730505208,1,1,1,1,1,0,4.102227147426723
SME_0007,3.2936993729198814,4.585236578644439,2.550563812032494,1.627920812730386,0,0,0,1,1,0,3.0143551440818004
SME_0008,5.643953704030771,5.502851453250037,4.674818099101473,4.8429263773213425,1,1,1,1,1,0,5.1661374084259055
SME_0009,3.994775302676771,3.347753381639357,3.7922318049081998,2.323123539356164,0,1,0,1,1,0,3.3644710071451227
SME_0010,3.041692696149497,1.2102643800599315,1.0,1.2799819723403263,1,0,1,0,1,0,1.632984762137439
SME_0011,2.8980745020880323,1.5585322944835758,2.980510803480287,1.0,0,1,0,1,1,0,2.1092794000129738
SME_0012,3.483016504713112,4.455130632660906,2.9532883466510778,4.753194802065585,1,0,0,1,1,0,3.9111575715226703
SME_0013,2.707877909441429,2.869944134366588,3.064314774253599,4.142180131244854,0,1,0,1,1,0,3.196079237326617
SME_0014,1.9527298036323382,4.333096592312009,3.6794510519610797,2.909591261719529,1,1,0,0,0,0,3.218717177406239
SME_0015,4.412915231669103,1.4010852796128574,4.416479067810354,3.834271814200222,1,1,0,1,1,0,3.516187848323134
SME_0016,2.3553036326095036,5.229750470668995,3.2098106362521275,4.186567746753176,0,1,0,1,1,0,3.74535812157095
SME_0017,6.592859024545829,5.530955883535751,5.7775473055706215,6.072236725327388,1,1,1,1,1,0,5.993399734744898
SME_0018,3.1541836713423184,4.476700037295468,3.3308441350274545,2.5163413625624313,0,1,0,0,1,0,3.369517301556918
SME_0019,3.3026204607084475,3.4268325420673724,3.0205579726338665,3.6144445908748524,1,0,0,1,1,0,3.3411138915711347
SME_0020,2.712833291856469,3.0451633036081116,1.4799680690590615,2.9580938985767857,0,0,0,1,1,0,2.5490146407751073
SME_0021,3.726754774378521,4.405140070551983,3.716513240449531,5.2754908492400485,0,0,1,0,1,0,4.280974733655021
SME_0022,1.8166431853137868,3.5531074429967435,4.291679527558119,1.5296379536749136,0,0,0,1,0,0,2.7977670273858912
SME_0023,3.1237550133733762,1.9677447431457573,3.544158827317874,1.0,0,0,0,1,1,0,2.4089146459592516
SME_0024,1.80863587826176,3.4483422825918857,3.2593593691043736,3.1606499403531165,0,1,0,1,0,0,2.919246867577784
SME_0025,3.529810385727696,3.0686528320682416,3.3220420107948256,1.8668939228128907,1,0,1,1,1,0,2.9468497878509132
SME_0026,2.7024546988782987,4.429057764545679,3.096769711037111,3.1823450683978356,1,1,1,1,0,0,3.3526568107147314
SME_0027,3.0120222002296777,3.9472517997198935,4.555817429850078,2.716910672256817,0,1,0,1,1,0,3.5580005255141165
SME_0028,3.0191055407230714,3.147927606914673,3.6874380794918444,2.1528604951858927,1,1,0,0,0,0,3.0018329305788702
SME_0029,5.474700743360236,6.464695004680734,5.432582925545628,4.082327851636603,0,1,1,1,1,0,5.3635766313058
SME_0030,6.688913927903281,5.850765990530672,6.546215754243095,6.21740742464871,1,1,1,1,1,0,6.325825774331439
SME_0031,7.0,7.0,6.254802343499792,7.0,1,1,1,1,1,1,6.8137005858749475
SME_0032,4.03782112684757,3.6100187040923597,2.9648292435830124,2.175387990234978,0,1,1,1,0,1,3.1970142661894796
SME_0033,2.3529598814017443,3.9106245396756796,1.0,4.021635213827608,0,1,0,1,1,0,2.821304908726258
SME_0034,4.649094427395003,4.001534186551946,2.0427797709129085,2.18207239196326,0,1,1,1,1,1,3.2188701942057794
SME_0035,4.931357760139926,4.571796275694585,3.7058661582457177,3.0445329437502595,0,0,0,0,1,1,4.063388284457623
SME_0036,2.8959656745376035,5.648743501741759,3.3795928483053825,4.8692873008114965,0,0,0,0,0,0,4.19839733134906
SME_0037,4.616347265759348,3.7670779641108387,2.2097563073228006,3.318047252468224,0,1,1,0,1,0,3.477807197415303
SME_0038,3.9685396420337575,2.5600509539795335,2.0699157730775513,1.899551538621973,0,1,0,1,1,0,2.6245144769282036
SME_0039,4.635564544638271,4.07552109779248,3.4151523705272813,2.10812529580875,1,0,0,1,1,0,3.5585908271916953
SME_0040,4.254823104897758,3.934211274584366,3.4113705626710846,4.2279638353817655,0,1,0,0,1,0,3.957092194383743
SME_0041,6.124522826858631,7.0,7.0,6.764251238123004,1,1,0,1,1,0,6.722193516245408
SME_0042,3.487308415242811,3.0185905473120513,2.4632088719929968,2.5510263447193244,1,0,0,1,0,0,2.880033544816796
SME_0043,4.451303597160533,5.654515471955082,4.3624059347830855,2.6922234348523393,1,1,0,0,0,0,4.29011210968776
SME_0044,2.223916722544648,2.232871452871888,3.059233544707224,2.190135876898064,0,1,0,1,1,0,2.4265393992554563
SME_0045,1.3527305063872646,1.0,2.5439908237518294,2.3522111559570584,0,1,0,0,0,0,1.8122331215240381
SME_0046,6.5779472882378425,7.0,5.870706158276878,6.2800816037002685,1,1,1,1,1,1,6.432183762553747
SME_0047,2.50169590473707,2.706117732718886,1.8632600849540373,2.702383370598695,1,0,1,0,0,0,2.443364273252172
SME_0048,1.9544391306348177,2.804712099341988,3.2536288002653584,1.4861694987551464,0,1,0,1,1,0,2.3747373822493274
SME_0049,3.0047004828769244,3.4986056542516955,2.212853244039014,3.537180800289009,0,1,0,1,1,0,3.063335045364161
SME_0050,2.796419138683727,2.481279190432499,3.7076000300128977,2.1832246384802922,0,1,0,0,1,0,2.7921307494023537
SME_0051,1.921603372506265,5.200166700689626,2.4115476769488904,2.476957631226993,0,1,0,0,1,0,3.0025688453429438
SME_0052,5.206210399360572,5.714193017922986,6.9842574518857345,3.054414102434837,1,1,0,1,0,0,5.239768742901032
SME_0053,3.156322577026656,2.7970837630035383,2.850342454357814,2.4621849058085967,0,0,0,1,1,0,2.8164834250491513
SME_0054,2.9980634124589014,3.5620797501168795,2.9806369453176798,2.6973756953854426,1,1,0,1,1,0,3.059538950819726
SME_0055,3.501426432883687,5.353124413533293,3.6974755713059633,4.053417473421092,1,1,1,1,1,1,4.151360972786009
SME_0056,3.2798610520798146,5.070375265961144,5.223870033803179,3.217207937528401,0,1,0,0,1,0,4.197828572343135
SME_0057,4.328186220870618,5.886859740305044,3.5313234876913215,4.676484183662953,1,1,0,1,0,0,4.605713408132484
SME_0058,3.560980812908879,4.414343501207201,2.977296203225054,1.514813837300068,0,0,1,1,1,0,3.1168585886603
SME_0059,1.0604204114642553,2.6116899198961034,1.1039302279038608,1.763936346531486,1,1,0,0,1,0,1.6349942264489261
SME_0060,2.7512499869191247,4.015430802488003,4.179308084090744,3.8581700938241017,1,1,0,1,0,1,3.7010397418304932
SME_0061,3.8764078779028455,4.107895435685376,5.133807318740899,1.774428291938916,0,0,0,0,1,1,3.723134731067009
SME_0062,2.076669292176367,1.9205844261686391,2.1971274615223724,3.77244399791801,1,1,0,1,1,0,2.491706294446347
SME_0063,3.698229931575688,2.9774367820384002,2.1200000890719597,3.976533253787765,0,1,0,1,1,0,3.1930500141184535
SME_0064,2.533022293149919,1.3623778358182357,3.075370798069268,2.2380698861420734,1,0,1,1,1,0,2.302210203294874
SME_0065,5.856876314790618,7.0,7.0,7.0,1,1,0,1,0,0,6.7142190786976546
SME_0066,2.341715278785254,3.656730260820616,3.2357982143765294,1.9535021971310926,0,1,0,0,1,0,2.796936487778373
SME_0067,4.4863580536046035,5.194868944018861,4.303784909904167,3.6711226213112464,1,0,1,1,1,1,4.414033632209719
SME_0068,2.0927249557507444,2.462133298164434,2.5609361312530377,2.535455795111114,1,1,0,0,0,0,2.4128125450698326
SME_0069,1.0,2.618328323047454,3.915180180691522,2.4977281660654795,1,1,0,1,0,1,2.507809167451114
SME_0070,3.0962930061686125,4.791564075607588,3.993594789469197,1.6937432115980418,1,1,0,0,1,0,3.39379877071086
SME_0071,3.815966376258646,4.668794000445014,4.163468967883263,5.15204004481367,1,1,0,1,0,1,4.450067347350148
SME_0072,3.165773589989105,1.9384618561120708,3.6715162231452907,2.857410707225844,1,0,0,1,1,0,2.9082905941180774
SME_0073,6.006182314540547,7.0,5.792408703166785,5.736610147965189,1,1,1,1,1,0,6.1338002914181295
SME_0074,7.0,7.0,7.0,6.127094667990598,1,1,1,1,1,1,6.781773666997649
SME_0075,3.530272874417306,3.9747709278945127,1.4880790139947133,3.1343270545535034,1,1,0,1,1,0,3.0318624677150092
SME_0076,3.268014916450688,4.2795048883903615,2.9555786539915836,3.08488619982951,0,0,1,0,0,0,3.396996164665536
SME_0077,2.933821302129042,1.7894919795917654,1.64312543145845,1.90968534374655,0,0,0,0,1,0,2.069031014231452
