Time_minutes,Temperature_C_ISO834,Temperature_C_BS476,Temperature_C_ASTM_E119,Temperature_C_EC1,Fire_Type
0,20,20,20,20,Standard
5,576,580,538,550,Standard
10,678,680,649,660,Standard
15,738,740,704,720,Standard
20,778,780,745,760,Standard
25,808,810,777,790,Standard
30,832,835,804,820,Standard
35,852,855,825,840,Standard
40,870,875,844,860,Standard
45,886,890,861,875,Standard
50,900,905,876,890,Standard
55,912,918,890,905,Standard
60,924,930,903,920,Standard
65,935,940,915,930,Standard
70,945,950,926,940,Standard
75,954,960,936,950,Standard
80,963,970,946,960,Standard
85,971,980,955,970,Standard
90,979,990,964,980,Standard
95,986,1000,972,990,Standard
100,993,1010,980,1000,Standard
105,1000,1020,988,1010,Standard
110,1006,1030,995,1020,Standard
115,1012,1040,1002,1030,Standard
120,1018,1050,1009,1040,Standard
125,1023,1060,1015,1050,Standard
130,1028,1070,1021,1060,Standard
135,1033,1080,1027,1070,Standard
140,1038,1090,1032,1080,Standard
145,1042,1100,1037,1090,Standard
150,1046,1110,1042,1100,Standard
155,1050,1120,1046,1110,Standard
160,1054,1130,1050,1120,Standard
165,1058,1140,1054,1130,Standard
170,1061,1150,1058,1140,Standard
175,1065,1160,1061,1150,Standard
180,1068,1170,1065,1160,Standard
