Sample_ID,Final_Density_g_cm3,Relative_Density_pct,Total_Porosity_pct,Open_Porosity_pct,Closed_Porosity_pct,Mean_Grain_Size_um,Grain_Size_StdDev_um,Min_Grain_Size_um,Max_Grain_Size_um,Grain_Size_D10_um,Grain_Size_D50_um,Grain_Size_D90_um,Grain_Boundary_Density_per_um2,Intergranular_Porosity_pct,Transgranular_Porosity_pct
S001,3.42,89.2,10.8,8.5,2.3,2.1,0.8,0.5,4.2,1.2,1.9,3.1,0.15,6.2,4.6
S002,3.58,93.4,6.6,4.8,1.8,2.8,1.1,0.7,5.8,1.6,2.5,4.2,0.12,3.9,2.7
S003,3.45,90.1,9.9,7.2,2.7,1.9,0.7,0.4,3.8,1.1,1.7,2.9,0.18,5.8,4.1
S004,3.72,97.1,2.9,1.8,1.1,3.5,1.4,0.9,7.2,2.1,3.2,5.1,0.09,1.5,1.4
S005,3.68,96.1,3.9,2.5,1.4,3.2,1.3,0.8,6.5,1.9,2.9,4.8,0.10,2.1,1.8
S006,3.65,95.3,4.7,3.2,1.5,2.3,0.9,0.6,4.5,1.4,2.1,3.4,0.13,2.8,1.9
S007,3.78,98.7,1.3,0.8,0.5,3.1,1.2,0.8,6.1,1.8,2.8,4.6,0.08,0.7,0.6
S008,3.52,91.9,8.1,5.9,2.2,2.0,0.8,0.5,4.0,1.2,1.8,3.0,0.16,4.8,3.3
S009,3.81,99.5,0.5,0.3,0.2,3.8,1.5,1.0,7.8,2.3,3.5,5.6,0.07,0.3,0.2
S010,3.76,98.2,1.8,1.2,0.6,3.4,1.4,0.9,7.0,2.0,3.1,5.0,0.09,1.0,0.8
S011,3.44,89.8,10.2,7.8,2.4,2.2,0.9,0.5,4.4,1.3,2.0,3.3,0.14,6.5,3.7
S012,3.60,94.0,6.0,4.2,1.8,2.9,1.2,0.7,5.9,1.7,2.6,4.3,0.11,3.5,2.5
S013,3.47,90.6,9.4,6.8,2.6,2.0,0.8,0.4,3.9,1.2,1.8,3.0,0.17,5.5,3.9
S014,3.74,97.6,2.4,1.5,0.9,3.6,1.5,0.9,7.4,2.2,3.3,5.3,0.08,1.2,1.2
S015,3.70,96.6,3.4,2.2,1.2,3.3,1.3,0.8,6.7,2.0,3.0,4.9,0.09,1.8,1.6
S016,3.67,95.8,4.2,2.8,1.4,2.4,1.0,0.6,4.7,1.5,2.2,3.5,0.12,2.5,1.7
S017,3.80,99.2,0.8,0.5,0.3,3.2,1.3,0.8,6.4,1.9,2.9,4.7,0.07,0.5,0.3
S018,3.54,92.4,7.6,5.5,2.1,2.1,0.9,0.5,4.2,1.3,1.9,3.2,0.15,4.5,3.1
S019,3.83,99.8,0.2,0.1,0.1,3.9,1.6,1.0,8.0,2.4,3.6,5.8,0.06,0.1,0.1
S020,3.78,98.7,1.3,0.8,0.5,3.5,1.4,0.9,7.1,2.1,3.2,5.1,0.08,0.8,0.5
S021,3.43,89.5,10.5,8.0,2.5,2.1,0.8,0.5,4.2,1.2,1.9,3.1,0.15,6.0,4.5
S022,3.59,93.7,6.3,4.5,1.8,2.8,1.1,0.7,5.7,1.6,2.5,4.1,0.12,3.7,2.6
S023,3.46,90.3,9.7,7.0,2.7,1.9,0.7,0.4,3.8,1.1,1.7,2.9,0.18,5.6,4.1
S024,3.73,97.3,2.7,1.7,1.0,3.5,1.4,0.9,7.1,2.1,3.2,5.1,0.09,1.4,1.3
S025,3.69,96.3,3.7,2.4,1.3,3.2,1.3,0.8,6.5,1.9,2.9,4.8,0.10,2.0,1.7
S026,3.66,95.5,4.5,3.0,1.5,2.3,0.9,0.6,4.5,1.4,2.1,3.4,0.13,2.7,1.8
S027,3.79,98.9,1.1,0.7,0.4,3.1,1.2,0.8,6.2,1.8,2.8,4.6,0.08,0.6,0.5
S028,3.53,92.2,7.8,5.7,2.1,2.0,0.8,0.5,4.0,1.2,1.8,3.0,0.16,4.6,3.2
S029,3.82,99.6,0.4,0.2,0.2,3.8,1.5,1.0,7.8,2.3,3.5,5.6,0.07,0.2,0.2
S030,3.77,98.4,1.6,1.0,0.6,3.4,1.4,0.9,6.9,2.0,3.1,5.0,0.09,0.9,0.7
S031,3.45,90.1,9.9,7.5,2.4,2.2,0.9,0.5,4.4,1.3,2.0,3.3,0.14,6.2,3.7
S032,3.61,94.3,5.7,4.0,1.7,2.9,1.2,0.7,5.8,1.7,2.6,4.2,0.11,3.3,2.4
S033,3.48,90.9,9.1,6.6,2.5,2.0,0.8,0.4,4.0,1.2,1.8,3.0,0.17,5.3,3.8
S034,3.75,97.8,2.2,1.4,0.8,3.6,1.5,0.9,7.3,2.2,3.3,5.2,0.08,1.1,1.1
S035,3.71,96.8,3.2,2.1,1.1,3.3,1.3,0.8,6.6,2.0,3.0,4.9,0.09,1.7,1.5
S036,3.68,96.1,3.9,2.6,1.3,2.4,1.0,0.6,4.8,1.5,2.2,3.5,0.12,2.3,1.6
S037,3.81,99.4,0.6,0.4,0.2,3.2,1.3,0.8,6.4,1.9,2.9,4.7,0.07,0.4,0.2
S038,3.55,92.7,7.3,5.3,2.0,2.1,0.9,0.5,4.2,1.3,1.9,3.2,0.15,4.3,3.0
S039,3.84,99.9,0.1,0.1,0.0,3.9,1.6,1.0,8.0,2.4,3.6,5.8,0.06,0.1,0.0
S040,3.79,98.9,1.1,0.7,0.4,3.5,1.4,0.9,7.1,2.1,3.2,5.1,0.08,0.7,0.4
S041,3.44,89.8,10.2,7.7,2.5,2.1,0.8,0.5,4.2,1.2,1.9,3.1,0.15,5.9,4.3
S042,3.60,94.0,6.0,4.2,1.8,2.8,1.1,0.7,5.7,1.6,2.5,4.1,0.12,3.5,2.5
S043,3.47,90.6,9.4,6.8,2.6,1.9,0.7,0.4,3.8,1.1,1.7,2.9,0.18,5.4,4.0
S044,3.74,97.6,2.4,1.5,0.9,3.5,1.4,0.9,7.1,2.1,3.2,5.1,0.09,1.2,1.2
S045,3.70,96.6,3.4,2.2,1.2,3.2,1.3,0.8,6.5,1.9,2.9,4.8,0.10,1.8,1.6
S046,3.67,95.8,4.2,2.8,1.4,2.3,0.9,0.6,4.6,1.4,2.1,3.4,0.13,2.4,1.8
S047,3.80,99.2,0.8,0.5,0.3,3.1,1.2,0.8,6.2,1.8,2.8,4.6,0.08,0.5,0.3
S048,3.54,92.4,7.6,5.5,2.1,2.0,0.8,0.5,4.0,1.2,1.8,3.0,0.16,4.4,3.2
S049,3.83,99.8,0.2,0.1,0.1,3.8,1.5,1.0,7.8,2.3,3.5,5.6,0.07,0.1,0.1
S050,3.78,98.7,1.3,0.8,0.5,3.4,1.4,0.9,6.9,2.0,3.1,5.0,0.09,0.8,0.5
