Sample_ID,Final_Relative_Density_percent,Final_Porosity_percent,Avg_Grain_Size_um,Grain_Size_Std_um,D10_Grain_um,D50_Grain_um,D90_Grain_um,Avg_Pore_Size_um,Pore_Size_Std_um,Open_Porosity_percent,Closed_Porosity_percent,Grain_Boundary_Density_mm_per_mm2,Avg_Grain_Boundary_Width_nm,Triple_Junction_Density_per_mm2
S001,72.3,27.7,2.8,0.9,1.5,2.7,4.2,8.5,3.2,25.1,2.6,285,12,4250
S002,78.5,21.5,3.5,1.1,1.9,3.4,5.1,6.8,2.5,18.2,3.3,268,11,3980
S003,85.2,14.8,4.8,1.5,2.6,4.6,7.1,4.5,1.7,10.8,4.0,245,10,3520
S004,91.3,8.7,6.2,1.9,3.4,6.0,9.1,2.8,1.0,5.2,3.5,220,9,3100
S005,95.8,4.2,8.5,2.6,4.6,8.2,12.5,1.5,0.6,1.8,2.4,195,8,2650
S006,86.7,13.3,5.2,1.6,2.8,5.0,7.7,4.1,1.5,9.5,3.8,238,10,3380
S007,83.1,16.9,4.2,1.3,2.3,4.1,6.2,5.2,1.9,13.2,3.7,255,10,3750
S008,80.5,19.5,3.8,1.2,2.1,3.7,5.6,6.1,2.3,16.1,3.4,262,11,3880
S009,88.9,11.1,5.8,1.8,3.1,5.6,8.5,3.4,1.3,7.5,3.6,228,9,3250
S010,90.2,9.8,6.5,2.0,3.5,6.3,9.5,3.0,1.1,6.3,3.5,215,9,2980
S011,84.8,15.2,4.5,1.4,2.4,4.3,6.6,4.7,1.8,11.3,3.9,248,10,3600
S012,85.5,14.5,5.0,1.5,2.7,4.8,7.3,4.4,1.6,10.5,4.0,242,10,3480
S013,88.2,11.8,5.5,1.7,3.0,5.3,8.1,3.6,1.4,8.1,3.7,232,9,3320
S014,92.1,7.9,6.8,2.1,3.7,6.6,10.0,2.5,0.9,4.5,3.4,210,8,2880
S015,76.5,23.5,3.2,1.0,1.7,3.1,4.7,7.3,2.7,20.2,3.3,275,11,4120
S016,86.3,13.7,5.1,1.6,2.8,4.9,7.5,4.2,1.6,9.8,3.9,240,10,3420
S017,85.8,14.2,4.9,1.5,2.7,4.7,7.2,4.3,1.6,10.2,4.0,243,10,3500
S018,87.5,12.5,5.4,1.7,2.9,5.2,7.9,3.8,1.4,8.7,3.8,235,9,3350
S019,89.7,10.3,5.2,1.6,2.8,5.0,7.6,3.2,1.2,6.8,3.5,238,9,3380
S020,93.2,6.8,5.8,1.8,3.1,5.6,8.5,2.1,0.8,3.5,3.3,228,8,3250
S021,80.8,19.2,3.9,1.2,2.1,3.8,5.7,5.9,2.2,15.8,3.4,260,11,3850
S022,82.3,17.7,4.1,1.3,2.2,4.0,6.0,5.4,2.0,14.2,3.5,257,10,3800
S023,87.5,12.5,5.3,1.6,2.9,5.1,7.8,3.8,1.4,8.7,3.8,236,9,3360
S024,90.5,9.5,5.9,1.8,3.2,5.7,8.7,2.9,1.1,5.9,3.6,226,9,3200
S025,94.8,5.2,6.5,2.0,3.5,6.3,9.5,1.6,0.6,2.2,3.0,215,8,2980
S026,74.2,25.8,2.6,0.8,1.4,2.5,3.8,9.2,3.4,23.5,2.3,295,12,4420
S027,96.5,3.5,9.2,2.8,5.0,8.9,13.5,1.1,0.4,1.2,2.3,182,7,2480
S028,97.2,2.8,10.5,3.2,5.7,10.1,15.4,0.9,0.3,0.8,2.0,168,7,2250
S029,97.8,2.2,12.1,3.7,6.6,11.7,17.8,0.7,0.3,0.5,1.7,155,6,2080
S030,95.5,4.5,6.2,1.9,3.4,6.0,9.1,1.4,0.5,1.9,2.6,220,8,3100
S031,88.1,11.9,5.7,1.8,3.1,5.5,8.3,3.6,1.4,8.2,3.7,230,9,3280
S032,93.5,6.5,7.5,2.3,4.1,7.2,11.0,2.0,0.7,3.2,3.3,202,8,2750
S033,84.5,15.5,4.6,1.4,2.5,4.4,6.8,4.8,1.8,11.6,3.9,246,10,3580
S034,85.8,14.2,4.9,1.5,2.7,4.7,7.2,4.3,1.6,10.2,4.0,243,10,3500
S035,89.2,10.8,5.6,1.7,3.0,5.4,8.2,3.3,1.2,7.2,3.6,230,9,3300
S036,78.2,21.8,3.4,1.1,1.8,3.3,5.0,6.9,2.6,18.5,3.3,270,11,4000
S037,81.5,18.5,4.0,1.2,2.2,3.9,5.8,5.7,2.1,15.0,3.5,258,10,3820
S038,89.8,10.2,6.0,1.8,3.3,5.8,8.8,3.1,1.2,6.6,3.6,225,9,3180
S039,92.5,7.5,7.2,2.2,3.9,6.9,10.5,2.3,0.9,4.2,3.3,206,8,2820
S040,88.5,11.5,5.3,1.6,2.9,5.1,7.8,3.5,1.3,7.9,3.6,236,9,3360
