Temperature_C,Material_ID,CTE_per_K,Thermal_Conductivity_W_mK,Specific_Heat_J_kgK,Density_kg_m3,Test_Method,Sample_ID,Uncertainty_Percent
25,SS316L_001,1.65E-05,16.2,500,8000,ASTM_E228,THERMO_001,1.5
50,SS316L_001,1.68E-05,16.8,510,7995,ASTM_E228,THERMO_002,1.6
100,SS316L_001,1.74E-05,18.1,530,7985,ASTM_E228,THERMO_003,1.7
150,SS316L_001,1.79E-05,19.4,550,7975,ASTM_E228,THERMO_004,1.8
200,SS316L_001,1.85E-05,20.7,570,7965,ASTM_E228,THERMO_005,1.9
250,SS316L_001,1.90E-05,22.0,590,7955,ASTM_E228,THERMO_006,2.0
300,SS316L_001,1.96E-05,23.3,610,7945,ASTM_E228,THERMO_007,2.1
350,SS316L_001,2.01E-05,24.6,630,7935,ASTM_E228,THERMO_008,2.2
400,SS316L_001,2.07E-05,25.9,650,7925,ASTM_E228,THERMO_009,2.3
450,SS316L_001,2.12E-05,27.2,670,7915,ASTM_E228,THERMO_010,2.4
500,SS316L_001,2.18E-05,28.5,690,7905,ASTM_E228,THERMO_011,2.5
550,SS316L_001,2.23E-05,29.8,710,7895,ASTM_E228,THERMO_012,2.6
600,SS316L_001,2.29E-05,31.1,730,7885,ASTM_E228,THERMO_013,2.7
650,SS316L_001,2.34E-05,32.4,750,7875,ASTM_E228,THERMO_014,2.8
700,SS316L_001,2.40E-05,33.7,770,7865,ASTM_E228,THERMO_015,2.9
25,Inconel718_001,1.31E-05,11.4,435,8220,ASTM_E228,THERMO_016,1.3
50,Inconel718_001,1.34E-05,12.1,445,8215,ASTM_E228,THERMO_017,1.4
100,Inconel718_001,1.40E-05,13.5,465,8205,ASTM_E228,THERMO_018,1.5
150,Inconel718_001,1.46E-05,14.9,485,8195,ASTM_E228,THERMO_019,1.6
200,Inconel718_001,1.52E-05,16.3,505,8185,ASTM_E228,THERMO_020,1.7
250,Inconel718_001,1.58E-05,17.7,525,8175,ASTM_E228,THERMO_021,1.8
300,Inconel718_001,1.64E-05,19.1,545,8165,ASTM_E228,THERMO_022,1.9
350,Inconel718_001,1.70E-05,20.5,565,8155,ASTM_E228,THERMO_023,2.0
400,Inconel718_001,1.76E-05,21.9,585,8145,ASTM_E228,THERMO_024,2.1
450,Inconel718_001,1.82E-05,23.3,605,8135,ASTM_E228,THERMO_025,2.2
500,Inconel718_001,1.88E-05,24.7,625,8125,ASTM_E228,THERMO_026,2.3
550,Inconel718_001,1.94E-05,26.1,645,8115,ASTM_E228,THERMO_027,2.4
600,Inconel718_001,2.00E-05,27.5,665,8105,ASTM_E228,THERMO_028,2.5
650,Inconel718_001,2.06E-05,28.9,685,8095,ASTM_E228,THERMO_029,2.6
700,Inconel718_001,2.12E-05,30.3,705,8085,ASTM_E228,THERMO_030,2.7
25,Ti6Al4V_001,8.60E-06,6.7,523,4430,ASTM_E228,THERMO_031,2.0
50,Ti6Al4V_001,8.85E-06,7.2,533,4425,ASTM_E228,THERMO_032,2.1
100,Ti6Al4V_001,9.35E-06,8.2,553,4415,ASTM_E228,THERMO_033,2.2
150,Ti6Al4V_001,9.85E-06,9.2,573,4405,ASTM_E228,THERMO_034,2.3
200,Ti6Al4V_001,1.04E-05,10.2,593,4395,ASTM_E228,THERMO_035,2.4
250,Ti6Al4V_001,1.08E-05,11.2,613,4385,ASTM_E228,THERMO_036,2.5
300,Ti6Al4V_001,1.13E-05,12.2,633,4375,ASTM_E228,THERMO_037,2.6
350,Ti6Al4V_001,1.18E-05,13.2,653,4365,ASTM_E228,THERMO_038,2.7
400,Ti6Al4V_001,1.23E-05,14.2,673,4355,ASTM_E228,THERMO_039,2.8
450,Ti6Al4V_001,1.28E-05,15.2,693,4345,ASTM_E228,THERMO_040,2.9
500,Ti6Al4V_001,1.33E-05,16.2,713,4335,ASTM_E228,THERMO_041,3.0
550,Ti6Al4V_001,1.38E-05,17.2,733,4325,ASTM_E228,THERMO_042,3.1
600,Ti6Al4V_001,1.43E-05,18.2,753,4315,ASTM_E228,THERMO_043,3.2
650,Ti6Al4V_001,1.48E-05,19.2,773,4305,ASTM_E228,THERMO_044,3.3
700,Ti6Al4V_001,1.53E-05,20.2,793,4295,ASTM_E228,THERMO_045,3.4
