firm_id,survey_year,reporting_year,macro_year,firm_id,firm_size,firm_age,employees,total_assets_million_naira,subsector,ownership_type,firm_resources_score,firm_age_category,fdi_presence,fdi_type,fdi_amount_million_usd,fdi_origin_country,knowledge_absorption_score,task_performance_score,innovation_score,firm_resources_score,fdi_intensity,fdi_x_policy_effectiveness,fdi_intensity_x_policy_effectiveness,fdi_x_gdp_growth,fdi_x_ease_of_business,roi_percent,roa_percent,export_intensity_percent,market_share_percent,operational_efficiency_score,overall_performance_index,export_oriented,gp_tax_incentives_effectiveness,gp_regulatory_stability,gp_infrastructure_support,gp_ease_of_doing_business,gp_corruption_experience,gp_policy_consistency,gp_government_support_programs,policy_effectiveness_index,macro_nigeria_total_fdi_billion_usd,macro_lagos_total_fdi_billion_usd,macro_lagos_food_processing_fdi_million_usd,macro_greenfield_fdi_ratio,macro_ma_fdi_ratio,macro_jv_fdi_ratio,macro_fdi_from_south_africa_million_usd,macro_fdi_from_uk_million_usd,macro_fdi_from_usa_million_usd,macro_fdi_from_netherlands_million_usd,macro_fdi_from_china_million_usd,macro_gdp_growth_rate,macro_inflation_rate,macro_exchange_rate_naira_usd,macro_interest_rate,macro_unemployment_rate,macro_ease_of_doing_business_rank,macro_ease_of_doing_business_score,macro_corruption_perception_index,macro_regulatory_quality_index,macro_government_effectiveness_index,macro_corporate_tax_rate,macro_infrastructure_quality_score,macro_pioneer_status_grants,macro_sector_gdp_billion_naira,macro_sector_employment_thousands,macro_sector_exports_million_usd,macro_number_of_firms,macro_capacity_utilization_percent,macro_average_firm_size_employees,macro_power_supply_hours_per_day,macro_logistics_performance_index,macro_internet_penetration_percent,macro_port_efficiency_score,macro_road_quality_index,macro_financial_inclusion_rate,macro_credit_to_private_sector_percent_gdp,macro_sector_average_roa,macro_sector_average_roi,macro_total_sector_revenue_billion_naira,macro_total_sector_assets_billion_naira,macro_average_debt_equity_ratio,macro_sector_export_revenue_million_usd,macro_data_collection_date,macro_last_updated,macro_year,fdi_x_policy_effectiveness,fdi_intensity_x_policy_effectiveness,fdi_x_gdp_growth,fdi_x_ease_of_business,knowledge_absorption_x_policy,ka_acquire_external_knowledge,ka_assimilate_new_info,ka_transform_knowledge,ka_exploit_knowledge_commercially,tp_work_quality_standards,tp_efficient_task_completion,tp_productivity_levels,tp_goal_achievement,inn_product_innovation,inn_process_innovation,inn_marketing_innovation,inn_organizational_innovation,fr_skilled_labor_ratio,fr_rd_spend_ratio,fr_iot_adoption,fr_liquidity_ratio,survey_date,respondent_position,response_completeness,response_time_minutes,technology_adoption_level
FIRM_001,2024,2023,2023,FIRM_001,SME,19,20,999.0,Oil & Fats,Foreign,1.68,Mature (11-20 years),1,M&A,8.08,India,2.91,3.6,3.67,1.68,0.809,3.46,2.799,2.98,59.1,20.14,15.06,1.6,4.79,8.1,4.12,0,4.2,3.8,2.3,3.5,4.7,2.6,4.5,3.46,5.12,2.51,175.6,0.61,0.24,0.15,76.6,14.8,8.5,25.1,50.6,2.98,24.53,460.79,18.75,37.7,104,59.1,25,-0.76,-1.0,30,2.6,71,3159.9,168.9,269.8,439,74.3,96,16.3,2.72,73.4,3.6,3.2,70.5,13.8,9.7,15.3,2298.4,4187.3,0.63,268.3,2024-03-15,2025-10-13,2023,3.46,2.799,2.98,59.1,10.069,2.5379278234810245,3.0683124570503586,2.7136800217312045,3.320310736433928,3.526327503515487,2.234228695172962,4.189308899598355,4.465234442799409,4.823445794824953,4.458217912064096,2.1943775504997034,3.2047462881588484,10.070852346603136,1.8241297253805104,1,0.9910081304177728,2024-01-15 00:00:00.000000000,CEO,0.9072786437832748,14,Medium
FIRM_002,2024,2024,2024,FIRM_002,Large,11,588,11065.1,Beverages,Local Private,0.89,Mature (11-20 years),1,Greenfield,5.15,Other,3.01,3.71,2.71,0.89,0.047,3.64,0.171,3.46,59.1,24.94,15.26,7.5,0.83,8.3,4.19,0,4.0,4.4,3.0,3.7,3.9,3.0,3.3,3.64,5.89,3.0,180.2,0.57,0.29,0.14,68.0,83.7,15.1,3.5,9.9,3.46,28.92,895.88,24.75,40.6,104,59.1,25,-0.74,-0.98,30,2.7,83,3302.1,174.8,286.8,458,76.8,99,17.2,2.78,76.1,3.8,3.4,72.3,14.5,11.2,17.8,2567.2,4523.9,0.59,285.7,2024-03-15,2025-10-13,2024,3.64,0.171,3.46,59.1,10.956,3.2689151064371,3.3898834103852047,3.629697942793648,1.7642614750418746,3.908855972068383,3.700511555553612,3.6112483189227342,3.608971339853663,2.125385029981418,3.645045609368182,1.5121733074403645,3.572370975640564,57.89143574782497,0.0629206610525114,0,0.5,2024-01-15 06:01:12.240802675,CEO,0.948075758472494,33,Very Low
FIRM_003,2024,2023,2023,FIRM_003,SME,11,49,999.0,Bakery Products,Local Private,1.37,Mature (11-20 years),0,,0.0,,2.77,3.19,2.26,1.37,0.0,0.0,0.0,0.0,0.0,21.02,15.22,5.2,1.79,5.0,3.23,0,7.0,4.8,4.0,2.5,6.1,2.9,2.5,3.66,5.12,2.51,175.6,0.61,0.24,0.15,76.6,14.8,8.5,25.1,50.6,2.98,24.53,460.79,18.75,37.7,104,59.1,25,-0.76,-1.0,30,2.6,71,3159.9,168.9,269.8,439,74.3,96,16.3,2.72,73.4,3.6,3.2,70.5,13.8,9.7,15.3,2298.4,4187.3,0.63,268.3,2024-03-15,2025-10-13,2023,0.0,0.0,0.0,0.0,10.138,2.342288790411515,3.782398973602589,1.6616880833046273,3.28892980312461,4.1570176795013385,2.327414542228992,2.238402814247202,4.02001554682327,1.2108169620327385,3.557747535910098,2.025053634100926,2.260131589354865,61.084184224691896,0.6428794296750093,0,1.8134302078556988,2024-01-15 12:02:24.481605351,CEO,0.8614134057024364,39,Very Low
FIRM_004,2024,2023,2023,FIRM_004,SME,11,15,999.0,Beverages,Local Private,0.73,Mature (11-20 years),1,Joint Venture,8.07,South Africa,2.67,3.66,2.49,0.73,0.808,2.71,2.19,2.98,59.1,7.81,5.23,16.1,3.84,7.6,2.24,1,2.7,1.0,2.1,3.2,4.4,3.9,2.5,2.71,5.12,2.51,175.6,0.61,0.24,0.15,76.6,14.8,8.5,25.1,50.6,2.98,24.53,460.79,18.75,37.7,104,59.1,25,-0.76,-1.0,30,2.6,71,3159.9,168.9,269.8,439,74.3,96,16.3,2.72,73.4,3.6,3.2,70.5,13.8,9.7,15.3,2298.4,4187.3,0.63,268.3,2024-03-15,2025-10-13,2023,2.71,2.19,2.98,59.1,7.236,1.0,3.404495588867656,3.5159553994737487,2.7482177807486607,3.465546168135007,4.131798606838918,2.857740444839326,4.203681102711043,2.42873625929748,2.7127216120408217,2.9158650347333928,1.9026439801300252,39.94092181572277,0.0666996993897918,0,1.019074935703994,2024-01-15 18:03:36.722408026,Operations Manager,0.9405402880331856,40,Very Low
FIRM_005,2024,2022,2022,FIRM_005,SME,37,35,999.0,Fish Processing,Local Private,1.25,Established (>20 years),0,,0.0,,3.62,3.74,2.14,1.25,0.0,0.0,0.0,0.0,0.0,26.32,15.99,0.3,3.0,7.9,4.4,0,3.5,5.6,2.7,3.4,6.1,5.3,4.2,3.8,4.73,2.18,174.1,0.58,0.28,0.14,32.2,69.3,11.9,17.9,42.9,3.25,18.77,435.08,13.0,33.3,104,59.1,24,-0.78,-1.02,30,2.5,67,3044.2,163.9,256.7,423,72.1,94,15.1,2.67,70.8,3.4,3.0,68.8,14.1,10.3,16.1,2134.7,3945.1,0.61,257.1,2024-03-15,2025-10-13,2022,0.0,0.0,0.0,0.0,13.756,3.5492478433261345,3.0945298766314018,4.921878660958168,2.9055017420801823,3.5522013067139397,3.533878899890598,3.440821709124497,4.430916827052553,1.0,1.7643490015680985,3.300365384885591,2.4874952029571005,62.24206224397574,1.0906111998609715,0,1.1056559053616883,2024-01-16 00:04:48.963210702,General Manager,0.9896837138768348,11,Low
FIRM_006,2024,2022,2022,FIRM_006,Large,22,587,50000.0,Bakery Products,Local Private,0.91,Established (>20 years),0,,0.0,,3.39,3.73,2.61,0.91,0.0,0.0,0.0,0.0,0.0,30.77,19.19,8.3,8.95,9.0,6.19,0,2.9,4.6,4.0,1.3,5.9,4.9,2.8,3.23,4.73,2.18,174.1,0.58,0.28,0.14,32.2,69.3,11.9,17.9,42.9,3.25,18.77,435.08,13.0,33.3,104,59.1,24,-0.78,-1.02,30,2.5,67,3044.2,163.9,256.7,423,72.1,94,15.1,2.67,70.8,3.4,3.0,68.8,14.1,10.3,16.1,2134.7,3945.1,0.61,257.1,2024-03-15,2025-10-13,2022,0.0,0.0,0.0,0.0,10.95,3.923147872868957,3.323273137251918,1.8731433958664707,4.454905602775051,3.243981014691613,3.893726980416883,3.439467516539336,4.334420983226935,3.65109945450731,2.912378610513633,1.0,2.8883807513490027,19.292901682666557,4.509496081330378,0,1.0696016240440356,2024-01-16 06:06:01.204013377,General Manager,0.9775544181486776,35,Medium
FIRM_007,2024,2022,2022,FIRM_007,SME,9,10,999.0,Meat Processing,Government,2.22,Growing (6-10 years),1,Joint Venture,6.03,India,2.55,4.0,2.48,2.22,0.604,3.77,2.277,3.25,59.1,15.89,10.79,11.5,0.87,7.1,2.86,1,3.6,3.8,4.1,4.3,2.4,1.0,4.0,3.77,4.73,2.18,174.1,0.58,0.28,0.14,32.2,69.3,11.9,17.9,42.9,3.25,18.77,435.08,13.0,33.3,104,59.1,24,-0.78,-1.02,30,2.5,67,3044.2,163.9,256.7,423,72.1,94,15.1,2.67,70.8,3.4,3.0,68.8,14.1,10.3,16.1,2134.7,3945.1,0.61,257.1,2024-03-15,2025-10-13,2022,3.77,2.277,3.25,59.1,9.614,1.3096540515665294,3.338145928556265,3.270735550849356,2.2947944845765944,3.781136497775134,2.995281927587164,5.0,4.223318200043787,1.0,4.185947339377524,2.691075478227075,2.042201993864386,30.068656459693,8.108603546466451,0,3.643790966554901,2024-01-16 12:07:13.444816053,CEO,0.8601510304986975,27,Medium
FIRM_008,2024,2024,2024,FIRM_008,SME,19,51,999.0,Oil & Fats,Foreign,2.17,Mature (11-20 years),1,Greenfield,23.32,China,3.0,3.42,2.63,2.17,2.334,3.14,7.329,3.46,59.1,17.06,12.14,11.4,3.9,7.8,3.61,1,3.6,3.0,3.1,3.7,4.8,2.7,2.7,3.14,5.89,3.0,180.2,0.57,0.29,0.14,68.0,83.7,15.1,3.5,9.9,3.46,28.92,895.88,24.75,40.6,104,59.1,25,-0.74,-0.98,30,2.7,83,3302.1,174.8,286.8,458,76.8,99,17.2,2.78,76.1,3.8,3.4,72.3,14.5,11.2,17.8,2567.2,4523.9,0.59,285.7,2024-03-15,2025-10-13,2024,3.14,7.329,3.46,59.1,9.42,2.3922154362320502,3.1409922790825107,2.504216039983052,3.9505641493983816,3.290942819485511,4.495625452160426,2.391209646080801,3.510947961283535,2.928457581183159,1.7255489290693171,2.873898147855503,2.9911396722146555,51.8755863382713,2.026966909372242,0,4.662272388604607,2024-01-16 18:08:25.685618729,CEO,0.9990084818108602,4,Low
FIRM_009,2024,2023,2023,FIRM_009,SME,15,19,999.0,Beverages,Joint Venture,1.27,Mature (11-20 years),1,Greenfield,5.67,South Africa,3.37,3.93,1.76,1.27,0.568,2.69,1.528,2.98,59.1,19.2,13.99,17.4,1.22,8.2,3.85,1,2.8,1.5,5.6,3.8,6.6,1.5,2.2,2.69,5.12,2.51,175.6,0.61,0.24,0.15,76.6,14.8,8.5,25.1,50.6,2.98,24.53,460.79,18.75,37.7,104,59.1,25,-0.76,-1.0,30,2.6,71,3159.9,168.9,269.8,439,74.3,96,16.3,2.72,73.4,3.6,3.2,70.5,13.8,9.7,15.3,2298.4,4187.3,0.63,268.3,2024-03-15,2025-10-13,2023,2.69,1.528,2.98,59.1,9.065,3.695323408804159,3.218842756133028,3.4832984855737323,3.076829655734553,4.14387668794472,4.329207264841196,3.9044713934687,3.3569523748263634,1.0,2.1504195686409746,2.3947013180528933,1.4803453307383498,65.89860610057984,0.3526098512313823,0,1.290282008546512,2024-01-17 00:09:37.926421404,CEO,0.954809038555582,5,Very Low
FIRM_010,2024,2024,2024,FIRM_010,Large,1,536,27166.21,Beverages,Local Private,0.69,Young (≤5 years),1,Joint Venture,1.47,UK,3.89,3.83,2.98,0.69,0.005,4.06,0.02,3.46,59.1,20.19,6.74,10.4,1.08,7.9,2.95,1,4.4,2.8,5.1,3.0,2.8,4.2,3.7,4.06,5.89,3.0,180.2,0.57,0.29,0.14,68.0,83.7,15.1,3.5,9.9,3.46,28.92,895.88,24.75,40.6,104,59.1,25,-0.74,-0.98,30,2.7,83,3302.1,174.8,286.8,458,76.8,99,17.2,2.78,76.1,3.8,3.4,72.3,14.5,11.2,17.8,2567.2,4523.9,0.59,285.7,2024-03-15,2025-10-13,2024,4.06,0.02,3.46,59.1,15.793,4.845996375769359,4.519053019353302,3.1172329996741768,3.076191865203332,2.728480104839533,4.008481012108321,4.691290486662632,3.899564506194519,2.579702195463358,3.213640962610661,4.120401222917467,1.991957319777115,14.303434983163074,4.72571908973951,0,0.5,2024-01-17 06:10:50.167224080,Business Development Manager,0.8743421236471035,17,Medium
FIRM_011,2024,2022,2022,FIRM_011,SME,5,17,999.0,Dairy Products,Local Private,2.52,Young (≤5 years),0,,0.0,,3.37,4.09,3.38,2.52,0.0,0.0,0.0,0.0,0.0,22.02,13.6,21.0,5.55,8.3,4.64,1,3.5,3.8,1.4,4.1,2.8,3.1,3.3,3.49,4.73,2.18,174.1,0.58,0.28,0.14,32.2,69.3,11.9,17.9,42.9,3.25,18.77,435.08,13.0,33.3,104,59.1,24,-0.78,-1.02,30,2.5,67,3044.2,163.9,256.7,423,72.1,94,15.1,2.67,70.8,3.4,3.0,68.8,14.1,10.3,16.1,2134.7,3945.1,0.61,257.1,2024-03-15,2025-10-13,2022,0.0,0.0,0.0,0.0,11.761,3.2166349661403264,3.792643613558867,2.5226617818601214,3.932297516841369,3.5842221965285224,3.509337927195592,5.0,4.2598768434046415,4.543378155804534,2.213810693637464,3.163958081675958,3.603820123449188,71.53252145251618,1.452365069606867,0,5.0,2024-01-17 12:12:02.408026755,General Manager,0.8518624133754135,52,Low
FIRM_012,2024,2024,2024,FIRM_012,Large,16,250,50000.0,Beverages,Local Private,2.82,Mature (11-20 years),0,,0.0,,3.23,3.68,3.33,2.82,0.0,0.0,0.0,0.0,0.0,17.07,11.46,3.2,2.28,8.4,3.31,0,5.4,1.8,1.0,2.7,3.1,3.8,4.2,3.4,5.89,3.0,180.2,0.57,0.29,0.14,68.0,83.7,15.1,3.5,9.9,3.46,28.92,895.88,24.75,40.6,104,59.1,25,-0.74,-0.98,30,2.7,83,3302.1,174.8,286.8,458,76.8,99,17.2,2.78,76.1,3.8,3.4,72.3,14.5,11.2,17.8,2567.2,4523.9,0.59,285.7,2024-03-15,2025-10-13,2024,0.0,0.0,0.0,0.0,10.982,2.6175976470166926,3.193163777379588,3.539085056383967,3.572041035655112,3.980664403515045,4.005900099706593,3.176482061452831,3.566367579534036,3.260647891435795,2.386728897596309,4.141211098888987,3.543411468250105,58.22079397366129,0.3338792837581529,1,2.818816447680562,2024-01-17 18:13:14.648829431,Finance Manager,0.8756923954438227,19,Medium
FIRM_013,2024,2024,2024,FIRM_013,SME,34,10,999.0,Grain Milling,Local Private,2.59,Established (>20 years),0,,0.0,,3.86,3.81,2.47,2.59,0.0,0.0,0.0,0.0,0.0,18.41,16.05,5.6,2.95,8.1,3.95,0,3.0,3.1,3.8,2.8,5.4,2.6,4.4,3.19,5.89,3.0,180.2,0.57,0.29,0.14,68.0,83.7,15.1,3.5,9.9,3.46,28.92,895.88,24.75,40.6,104,59.1,25,-0.74,-0.98,30,2.7,83,3302.1,174.8,286.8,458,76.8,99,17.2,2.78,76.1,3.8,3.4,72.3,14.5,11.2,17.8,2567.2,4523.9,0.59,285.7,2024-03-15,2025-10-13,2024,0.0,0.0,0.0,0.0,12.313,3.053682847116128,3.8878680831575143,4.723913298808069,3.7564903977756248,3.9103007097935034,3.105175202408856,3.89314356217616,4.339103179428632,2.036506395035066,2.7187612764446407,2.462443427614745,2.6473109111518203,59.97322663716073,5.095096680057117,0,4.447110252460777,2024-01-18 00:14:26.889632107,Finance Manager,0.9757263881028608,11,Medium
FIRM_014,2024,2023,2023,FIRM_014,Large,11,413,23901.87,Beverages,Foreign,0.94,Mature (11-20 years),1,Greenfield,12.08,Netherlands,3.62,4.43,2.64,0.94,0.051,3.5,0.178,2.98,59.1,31.37,18.66,0.1,1.32,5.5,4.31,0,6.0,1.7,4.4,4.1,4.6,1.9,3.0,3.5,5.12,2.51,175.6,0.61,0.24,0.15,76.6,14.8,8.5,25.1,50.6,2.98,24.53,460.79,18.75,37.7,104,59.1,25,-0.76,-1.0,30,2.6,71,3159.9,168.9,269.8,439,74.3,96,16.3,2.72,73.4,3.6,3.2,70.5,13.8,9.7,15.3,2298.4,4187.3,0.63,268.3,2024-03-15,2025-10-13,2023,3.5,0.178,2.98,59.1,12.67,4.299901135318548,3.166326357170793,2.928186587445431,4.074547728426289,5.0,4.198888961314498,3.9558082857589176,4.571570047291708,2.868796511060916,1.8709443362288656,3.7312252417576177,2.0840121218307424,14.819121090659234,2.833251901727956,0,2.140252219317317,2024-01-18 06:15:39.130434782,General Manager,0.8532458987417746,11,Low
FIRM_015,2024,2023,2023,FIRM_015,Large,8,459,25948.02,Meat Processing,Local Private,0.68,Growing (6-10 years),1,Joint Venture,17.78,France,3.42,3.89,2.93,0.68,0.069,3.69,0.255,2.98,59.1,20.3,14.51,0.1,1.4,7.1,3.42,0,4.1,2.7,2.7,3.9,1.5,2.1,3.8,3.69,5.12,2.51,175.6,0.61,0.24,0.15,76.6,14.8,8.5,25.1,50.6,2.98,24.53,460.79,18.75,37.7,104,59.1,25,-0.76,-1.0,30,2.6,71,3159.9,168.9,269.8,439,74.3,96,16.3,2.72,73.4,3.6,3.2,70.5,13.8,9.7,15.3,2298.4,4187.3,0.63,268.3,2024-03-15,2025-10-13,2023,3.69,0.255,2.98,59.1,12.62,2.683228656700372,4.221187246310649,3.747782147933364,3.0349532934533414,4.0098800147407445,4.754636626026745,3.6563853852426327,3.1502074485559484,2.9180168720444466,2.2232903384052687,4.498573033980271,2.0753368036265902,28.003485907534557,2.6313383481697934,0,0.5,2024-01-18 12:16:51.371237458,Production Manager,0.8849720955427129,52,Low
FIRM_016,2024,2022,2022,FIRM_016,Large,14,256,28986.12,Beverages,Local Private,2.04,Mature (11-20 years),0,,0.0,,2.74,3.54,3.48,2.04,0.0,0.0,0.0,0.0,0.0,29.02,22.4,2.2,0.35,7.1,4.8,0,5.3,1.4,2.3,2.2,4.7,1.3,3.0,2.69,4.73,2.18,174.1,0.58,0.28,0.14,32.2,69.3,11.9,17.9,42.9,3.25,18.77,435.08,13.0,33.3,104,59.1,24,-0.78,-1.02,30,2.5,67,3044.2,163.9,256.7,423,72.1,94,15.1,2.67,70.8,3.4,3.0,68.8,14.1,10.3,16.1,2134.7,3945.1,0.61,257.1,2024-03-15,2025-10-13,2022,0.0,0.0,0.0,0.0,7.371,2.560646394679797,3.6587495345386656,1.9360543379159527,2.8102106123937998,3.197567241894794,4.34942739198543,3.4209238390085552,3.197847577722232,3.372630345843405,3.733085125108578,4.142862794199927,2.664058578652817,62.253140656241634,2.4701063598682547,0,3.389548703388371,2024-01-18 18:18:03.612040133,CEO,0.9635958393002312,18,Low
