respondent_id,oi_adoption_score,oi_customer_collab,oi_supplier_collab,oi_competitor_collab,oi_university_collab,oi_consultant_use,oi_joint_rd,oi_licensing_in,oi_licensing_out,oi_crowdsourcing,new_products_last_year,process_improvements,revenue_from_innovation_pct,oi_breadth,oi_depth
SME_0001,3.9878461850688582,1,1,0,0,1,0,0,0,0,0,1,9.675115746811187,3,0
SME_0002,5.832830618181079,1,0,1,1,1,1,0,0,1,5,2,15.98800664942021,4,2
SME_0003,5.449055984593856,0,1,0,0,0,0,0,1,0,2,3,20.460580086652286,1,1
SME_0004,5.224516000603706,1,0,1,1,1,0,0,0,0,1,3,7.967104697301327,4,0
SME_0005,5.132243785380561,1,0,1,0,1,1,0,0,1,1,3,15.968275121437923,3,2
SME_0006,4.312814208461477,0,1,0,0,1,0,0,1,0,2,0,9.327746542240115,2,1
SME_0007,5.2546567882486395,1,1,1,0,0,0,0,1,1,2,1,13.763347441152202,3,2
SME_0008,5.203279967291264,1,0,1,1,1,1,0,0,1,1,0,23.39036208950921,4,2
SME_0009,4.875049705006308,0,0,1,1,0,1,0,0,0,2,2,13.025612725004356,2,1
SME_0010,5.2147872422290735,1,0,1,0,1,0,0,0,1,1,0,9.648340101209005,3,1
SME_0011,4.9595569615812165,1,0,1,1,1,0,0,0,1,1,2,12.66152379356847,4,1
SME_0012,5.879047510008413,1,1,0,0,1,1,1,0,0,6,5,12.489087674578236,3,2
SME_0013,4.700476588778745,0,0,1,1,0,1,1,0,0,1,3,9.941800646669048,2,2
SME_0014,4.163321313213211,0,0,0,0,0,0,0,1,1,3,1,0.77476843138043,0,2
SME_0015,4.2997739814861875,0,1,0,0,0,0,0,1,0,3,0,14.858728255686486,1,1
SME_0016,4.845211310431788,0,0,0,1,1,1,0,0,0,2,0,23.41270680706881,2,1
SME_0017,6.8876248273593585,1,1,0,1,1,1,0,0,0,2,3,17.822013342466594,4,1
SME_0018,5.327453745784382,1,1,1,0,1,0,0,1,0,3,3,12.995455932127431,4,1
SME_0019,4.760418562093973,1,0,1,0,0,1,0,0,0,3,1,23.714863482569683,2,1
SME_0020,3.805958874381135,0,0,0,0,0,1,0,0,1,1,2,10.701649394918329,0,2
SME_0021,4.8208968447851195,0,1,1,1,1,0,0,1,1,0,2,10.321221732613363,4,2
SME_0022,4.558371741519086,0,0,0,0,0,0,0,0,1,2,1,16.065304300518676,0,1
SME_0023,3.95081804953284,0,0,0,0,0,1,0,0,1,1,1,10.826389117468706,0,2
SME_0024,4.343618805136892,1,0,0,1,0,1,0,1,0,3,2,19.834788192806382,2,2
SME_0025,4.510594253987519,1,1,0,0,1,1,0,0,0,2,1,13.376105070386178,3,1
SME_0026,4.691399607292308,1,1,1,0,0,1,0,0,0,3,1,16.297158797242567,3,1
SME_0027,5.287626176389453,1,1,0,0,1,0,1,1,1,3,1,10.16536455876203,3,3
SME_0028,4.8555934183223375,1,0,1,0,1,1,1,0,1,2,3,18.02910196178865,3,3
SME_0029,7.0,1,1,1,1,1,0,0,1,1,4,3,17.708928505789487,5,2
SME_0030,6.647484394652024,0,1,1,1,1,1,1,0,0,3,5,23.626269909795557,4,2
SME_0031,7.0,1,1,1,1,1,1,0,0,0,4,3,19.32698072734852,5,1
SME_0032,4.873658461081809,1,0,0,0,0,0,0,0,0,4,2,20.084113209110967,1,0
SME_0033,4.896264689624694,1,1,0,1,1,1,0,0,0,3,3,12.02461272497446,4,1
SME_0034,3.6106510223861026,1,0,1,0,1,0,0,0,0,0,2,7.622121230495908,3,0
SME_0035,4.228375924946208,0,0,0,1,0,1,1,0,1,0,1,16.501342019435526,1,3
SME_0036,5.741705031082388,1,1,0,0,1,0,0,1,1,2,1,16.083504671555346,3,2
SME_0037,5.099894297247882,0,0,1,1,1,0,0,1,1,5,1,14.558568447528042,3,2
SME_0038,4.939305661661011,1,0,0,0,1,1,0,0,0,4,5,14.349871868151201,2,1
SME_0039,5.564350206695339,1,1,1,1,1,1,1,1,1,5,5,18.41771983269908,5,4
SME_0040,4.791668742835677,1,0,0,0,0,1,0,1,1,3,2,22.452465947957435,1,3
SME_0041,7.0,1,0,1,1,0,1,1,0,0,5,3,22.00016893656164,3,2
SME_0042,4.079257278239655,0,1,1,1,1,1,0,0,1,0,1,8.981334509803053,4,2
SME_0043,4.816281591119014,1,0,0,0,1,0,0,1,1,1,2,16.94795295322609,2,2
SME_0044,3.006744907040746,0,1,0,1,1,0,0,1,0,2,1,2.1729158478419475,3,1
SME_0045,4.903767485202276,1,0,0,1,0,1,0,1,0,1,5,8.493724093986366,2,2
SME_0046,6.489677017262215,1,1,1,0,1,1,0,0,1,1,2,21.061563044793516,4,2
SME_0047,5.630003568003948,1,1,0,1,0,0,1,1,0,1,1,22.881853550879143,3,2
SME_0048,4.866643700110707,1,0,0,0,0,1,1,0,0,4,0,29.1850949563754,1,2
SME_0049,4.535792381892229,0,1,0,0,0,1,0,0,1,2,1,18.372553971165477,1,2
SME_0050,4.362061821721675,1,1,0,0,0,0,1,0,0,0,1,19.29837189779348,2,1
SME_0051,4.459449857785885,1,0,0,1,0,0,0,1,1,1,2,14.853913408743368,2,2
SME_0052,6.0197099599846124,1,1,1,1,1,1,1,1,1,0,2,24.17809799251966,5,4
SME_0053,5.294442825498807,1,0,1,0,0,0,1,1,1,4,3,9.194957546058001,2,3
SME_0054,4.627576217192774,1,0,0,1,1,1,0,1,0,0,1,10.353950840442332,3,2
SME_0055,4.564343936097831,1,1,0,0,0,0,0,0,0,2,1,8.88232566734157,2,0
SME_0056,5.336190564480808,1,1,0,0,0,1,0,0,0,0,2,16.52477998693785,2,1
SME_0057,4.2757470477505475,0,1,0,0,1,0,0,0,1,3,1,13.172667106872998,2,1
SME_0058,2.9240637594740457,0,1,0,0,1,0,1,0,0,1,1,1.4007260008794837,2,1
SME_0059,4.226182695894962,0,1,0,0,0,0,1,1,0,5,0,15.175446390763867,1,2
SME_0060,4.174546625481852,1,1,0,0,1,0,1,1,0,2,0,7.080465661150364,3,2
SME_0061,6.784153280138857,1,1,0,1,1,1,1,1,0,3,1,16.318607580403977,4,3
SME_0062,4.355666134158034,0,0,0,0,1,0,0,0,0,2,1,12.253776953588384,1,0
SME_0063,4.771724003578364,1,1,0,1,0,0,0,0,0,4,2,16.601296070481812,3,0
SME_0064,5.6796186420998644,0,1,1,0,1,1,0,1,0,2,4,11.132081103385367,3,2
SME_0065,6.504882130142293,1,1,1,1,1,1,0,1,0,1,1,29.33241055814596,5,2
SME_0066,4.827715224658281,1,1,0,1,1,0,0,0,0,1,2,21.504727083949604,4,0
SME_0067,5.269270571995278,1,1,0,0,0,0,1,0,0,2,1,21.321271946357726,2,1
SME_0068,4.088387819366288,0,1,0,1,0,0,0,0,0,1,3,11.079443910917984,2,0
SME_0069,4.424112706425622,0,0,0,0,1,1,0,0,1,2,1,9.58516867435699,1,2
