firm_id,firm_size,has_fdi,years_fdi,fdi_type,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yr,innovation_iot,innovation_automation,innovation_quality_mgmt,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_permit_ease,skilled_workforce_pct,training_hours_annual,modern_equipment,reinvestment_rate_pct,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,knowledge_absorption,task_performance,innovation_score,government_policy,firm_resources,overall_performance
SME001,SME,1,4.0,Joint venture,4,4,4,5,4,4,4,4,3.4,2,0,0,1,5,4,4,5,75.4,43,1,19.7,16.1,8.0,16.2,92.2,4.1,4.25,4.0,0.03741127288366691,4.5,0.7860751790941377,0.21541096266285187
SME002,SME,0,,,2,2,2,2,3,3,3,4,1.8,5,0,0,1,2,3,4,4,40.4,29,0,2.0,12.7,1.4,0.0,72.2,1.6,2.0,3.25,0.10860038700140437,3.25,-0.8545316162048056,-0.8599487000643407
SME003,SME,0,,,3,3,2,2,3,3,4,3,1.0,2,1,0,0,5,6,5,5,37.7,5,1,8.0,14.3,-1.5,15.6,79.3,3.1,2.5,3.25,-0.6697599029967389,5.25,-0.6960978235297018,-0.5365167688623811
SME004,SME,1,2.0,Equity,4,3,3,3,3,3,3,2,1.4,4,1,1,1,3,3,3,1,78.8,51,1,26.6,10.7,3.3,16.6,80.8,2.5,3.25,2.75,0.42580698919935117,2.5,0.6459094078050998,-0.43729351290105617
SME005,SME,0,,,2,2,2,2,4,4,4,4,2.4,4,0,0,0,6,6,6,7,26.4,50,1,5.5,7.0,5.7,0.0,82.9,0.1,2.0,4.0,-0.10080144717879896,6.25,-0.33914118404532456,-0.8171621759415263
SME006,SME,0,,,2,2,1,2,3,3,4,3,0.0,5,0,0,0,3,3,3,5,28.1,21,0,10.2,23.1,6.3,19.0,62.2,0.2,1.75,3.25,-0.6270937681576465,3.5,-1.4712071496066363,-0.18740890793942716
SME007,SME,1,2.0,Joint venture,5,4,4,3,3,3,4,3,0.8,3,0,0,1,3,5,5,4,38.6,27,0,8.6,11.7,12.5,29.2,86.8,0.1,4.0,3.25,-0.5478119794185479,4.25,-0.9074588866783546,0.14964979416490123
SME008,SME,0,,,2,2,2,2,4,4,4,4,0.7,1,0,1,0,4,2,2,3,44.0,54,1,26.3,12.8,5.2,0.0,87.9,6.1,2.0,4.0,-0.9390351548833479,2.75,-0.2042792973670726,-0.20057578788084784
SME009,SME,0,,,2,2,3,3,4,4,3,4,2.7,2,1,0,0,2,4,4,5,51.5,5,0,25.5,8.8,3.0,0.4,90.6,3.5,2.5,3.75,-0.16884698674811802,3.75,-0.8671959555966234,-0.5718562936920807
SME010,SME,1,4.0,Joint venture,5,5,4,5,4,4,3,4,2.5,4,0,0,1,4,2,2,3,66.1,35,1,9.9,2.5,3.7,5.7,98.0,1.6,4.75,3.75,0.33929556498037766,2.75,0.34266116111374345,-0.7127758680400467
SME011,SME,1,2.0,Joint venture,5,5,5,5,3,4,4,3,0.8,5,0,0,0,5,5,4,5,93.6,37,1,18.2,1.7,10.9,27.2,82.9,2.5,5.0,3.5,-0.391370042864178,4.75,0.8093533089323718,-0.2112869102130232
SME012,SME,0,,,2,3,3,2,4,3,3,3,0.8,2,1,0,1,4,5,3,5,11.3,36,1,6.6,5.3,11.0,16.3,79.3,0.1,2.5,3.25,-0.5233750610713596,4.25,-0.9436838801922987,-0.4296520439556874
SME013,SME,1,6.0,Technology transfer,4,5,5,4,4,4,3,4,1.3,5,1,1,1,2,2,4,3,64.1,39,1,21.9,20.3,14.6,41.5,65.7,6.4,4.5,3.75,0.5772203784392258,2.75,0.5574597021508403,0.868129735522583
SME014,SME,1,1.0,Management contract,3,3,3,4,3,4,3,3,1.1,7,0,1,1,5,2,4,3,46.6,29,1,21.1,19.5,11.3,12.8,73.6,0.1,3.25,3.25,0.4694156104214822,3.5,-0.2715070568161144,-0.030345432375140896
SME015,SME,1,1.0,Equity,4,4,4,3,4,3,4,4,3.2,4,0,0,1,4,3,4,4,46.2,24,1,23.5,19.1,12.1,26.4,81.7,3.5,3.75,3.75,0.5455538246121627,3.75,-0.1078686134988274,0.5019037972757228
SME016,SME,0,,,4,4,3,3,3,3,3,2,0.0,3,0,0,0,4,6,4,5,35.7,16,1,14.7,3.3,11.3,0.0,84.6,0.8,3.5,2.75,-0.988851477960763,4.75,-0.37218952510568093,-0.6141189259952626
SME017,SME,0,,,3,3,2,3,3,3,3,3,3.1,0,0,0,1,3,3,4,5,31.4,8,1,35.5,17.7,6.3,22.0,64.7,2.9,2.75,3.0,-0.4127428339045002,3.75,-0.4689021920064479,-0.1376708902667133
SME018,SME,1,8.0,Joint venture,3,3,2,3,3,4,3,3,3.0,0,1,1,0,5,4,6,3,80.3,36,1,8.8,6.2,11.1,30.1,89.6,2.7,2.75,3.25,-0.2368925263174373,4.5,0.8117568198990845,0.09525279108821733
SME019,SME,1,6.0,Equity,3,3,3,3,3,3,4,4,3.3,4,1,0,1,4,3,2,6,67.6,28,0,3.3,14.9,7.7,24.5,80.0,0.1,3.0,3.5,0.7803350635225927,3.75,-0.46536327596231164,-0.11977805271221958
SME020,SME,0,,,3,3,2,3,3,3,3,3,0.6,2,0,0,0,4,5,5,5,45.3,5,0,8.9,8.7,-0.4,13.6,69.9,0.7,2.75,3.0,-0.9929375388922197,4.75,-1.127871053608379,-0.9762600735674579
SME021,SME,0,,,3,3,2,2,3,3,4,3,1.0,1,0,0,0,4,4,3,4,65.3,35,0,2.0,7.4,2.8,14.2,75.0,0.1,2.5,3.25,-1.0559545311470435,3.75,-0.6761532542386354,-0.8340368938065695
