Temperature_K,Chemical_Expansion_Coefficient,Uncertainty_Chemical_Expansion
300.0,0.001,0.0002
350.0,0.0010025,0.0002005
400.0,0.0010049999999999998,0.00020099999999999998
450.0,0.0010075000000000001,0.00020150000000000005
500.0,0.00101,0.00020200000000000003
550.0,0.0010125,0.0002025
600.0,0.0010149999999999998,0.00020299999999999997
650.0,0.0010175000000000002,0.00020350000000000004
700.0,0.00102,0.00020400000000000003
750.0,0.0010225,0.0002045
800.0,0.0010249999999999999,0.000205
850.0,0.0010275000000000002,0.00020550000000000006
900.0,0.00103,0.00020600000000000002
950.0,0.0010325,0.0002065
1000.0,0.001035,0.000207
1050.0,0.0010375,0.0002075
1100.0,0.0010400000000000001,0.00020800000000000004
1150.0,0.0010425,0.00020850000000000003
1200.0,0.001045,0.00020899999999999998
