firm_code,survey_date,firm_size,years_operation,num_employees,annual_revenue,ownership_type,has_fdi,fdi_type,years_fdi,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yrs,innov_iot,innov_automation,innov_quality_mgmt,innov_other,skilled_workforce_pct,training_hours_per_emp,modern_equipment,machinery_age_years,access_credit,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure,gp4_permits_ease,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_pct
FIRM001,20/09/2024,SME,22,1-50,50M-500M,Local,Yes,Management contract,10,4,5,4,4,4,5,3,4,1.3,7,1,0,1,0,38.2,47,Yes,11,Moderate,26.9,5,2,4,3,18.54,10.83,19.8,71.7,2.54
FIRM002,15/07/2024,SME,17,51-250,<50M,Local,No,,0,4,1,4,3,3,2,2,2,0.27,3,0,0,0,0,45.0,30,No,12,Moderate,19.1,4,3,5,3,16.21,12.72,2.9,79.3,1.2
FIRM003,04/07/2024,SME,16,51-250,50M-500M,Local,No,,0,3,3,4,4,4,3,3,1,0.54,0,0,0,0,0,30.6,43,Yes,3,Moderate,17.7,5,4,4,5,4.01,2.5,7.7,53.3,1.84
FIRM004,05/08/2024,SME,16,51-250,50M-500M,Local,No,,0,3,3,4,2,4,4,3,2,0.47,2,0,0,1,0,63.4,18,Yes,1,Difficult,18.5,6,3,4,4,-4.36,-3.0,0.8,71.7,3.29
FIRM005,01/08/2024,SME,35,51-250,<50M,Local,Yes,Technology transfer,4,4,5,5,4,3,3,4,4,1.32,6,1,1,1,1,34.8,63,Yes,5,Easy,5.0,5,3,4,3,24.55,15.42,10.5,53.2,1.83
FIRM006,29/07/2024,SME,25,51-250,50M-500M,Joint venture,Yes,Technology transfer,14,3,4,4,3,5,4,4,5,1.02,1,0,0,1,1,59.7,32,Yes,1,Difficult,19.8,7,4,4,5,23.32,15.52,19.5,64.6,1.12
FIRM007,18/07/2024,SME,14,1-50,50M-500M,Local,No,,0,2,4,4,3,3,4,3,3,0.54,0,0,0,0,0,66.6,18,Yes,7,Moderate,21.4,5,4,4,3,-2.97,-3.0,12.9,75.7,0.5
FIRM008,14/07/2024,SME,23,1-50,50M-500M,Local,No,,0,3,2,2,3,3,3,3,3,0.92,3,0,0,0,0,46.4,62,Yes,5,Moderate,27.4,6,4,5,3,8.76,3.98,8.1,55.7,1.68
FIRM009,25/09/2024,SME,20,1-50,50M-500M,Local,Yes,Technology transfer,14,4,2,4,3,5,4,3,4,0.62,2,0,1,1,0,69.7,35,Yes,2,Difficult,20.6,1,5,3,1,14.36,10.81,14.1,74.7,0.55
FIRM010,08/09/2024,SME,8,1-50,50M-500M,Local,No,,0,3,4,4,3,4,4,3,4,0.09,3,0,1,0,0,59.2,35,No,7,Moderate,17.1,4,3,1,3,5.28,2.99,3.0,50.0,3.74
FIRM011,12/07/2024,SME,11,51-250,<50M,Foreign-owned,Yes,Equity,4,5,3,4,3,3,5,5,5,0.65,5,1,1,1,1,41.6,100,Yes,1,Difficult,25.7,4,4,2,5,6.63,2.04,10.8,81.7,1.63
FIRM012,14/09/2024,SME,21,1-50,50M-500M,Local,No,,0,3,2,3,3,4,4,2,4,0.59,1,0,0,0,0,73.0,68,Yes,1,Easy,5.0,4,3,5,1,12.95,13.42,2.6,60.0,2.43
FIRM013,24/08/2024,SME,34,1-50,<50M,Joint venture,Yes,Management contract,6,4,4,4,4,3,4,4,2,1.54,2,0,1,0,0,34.9,52,No,13,Difficult,14.4,3,3,3,2,17.07,9.7,3.4,55.7,1.28
