firmid,size,subsector,firmage,fdi_presence,fdi_percentage,fdi_years,roi,roa,export_intensity,market_share,operational_efficiency,knowledge_absorption,task_performance,innovation_score,firm_resources_score,policy_effectiveness_index,tax_incentives_perception,regulatory_stability,infrastructure_support,corruption_experience,skilled_labor_ratio,rd_spend_percentage,liquidity_ratio,iot_adoption,erp_system,automation_level,employees,revenue_million_ngn,assets_million_ngn,local_content_percentage,capacity_utilization,fdi_inflow_lagos_million_usd,national_corruption_index,gdp_growth_rate,inflation_rate,exchange_rate,size_sme,subsector_beverages,subsector_dairy_products,subsector_fish_processing,subsector_fruit_and_vegetable_processing,subsector_grain_mill_products,subsector_meat_processing,subsector_oils_and_fats,subsector_other_food_products,subsector_sugar_and_confectionery,roi_z,roa_z,export_intensity_z,knowledge_absorption_z,task_performance_z,innovation_score_z,policy_effectiveness_index_z,fdi_x_policy
FIRM_001,SME,Fruit and Vegetable Processing,29,1,24.03950683025824,4,22.4,4.04,27.29,0.83,68.6,3.77,2.74,3.26,3.3,3.78,4.4,4.3,2.4,4.0,0.713,4.96,1.85,1,0,31.0,112,488.19,733.56,73.4,52.7,766.98,24.3,2.75,16.72,628.2244315241086,True,False,False,False,True,False,False,False,False,False,0.5757138387418541,-1.651524083950931,0.388589860942663,0.5440315914732357,-0.6879924891636707,0.283896689582647,-0.3070287169840449,3.78
FIRM_002,SME,Dairy Products,35,0,0.0,0,16.96,16.83,2.94,1.78,63.6,3.15,1.62,1.64,3.02,4.2,4.1,3.4,5.0,4.3,0.438,2.35,2.32,0,1,32.1,184,224.9,349.21,49.1,45.7,766.98,24.3,2.75,16.72,628.2244315241086,True,False,True,False,False,False,False,False,False,False,-0.18900567619067804,0.7693290962615974,-1.1483488402599435,-0.32965063969600916,-2.454232375769672,-1.7262109901546254,0.34021268070693184,0.0
FIRM_003,SME,Oils and Fats,7,1,12.478775661154922,5,26.55,13.53,22.23,8.08,76.0,4.07,4.11,3.14,4.0,4.45,4.1,3.7,4.0,6.0,0.222,3.92,1.75,0,0,41.5,37,191.46,356.33,55.9,52.3,766.98,24.3,2.75,16.72,628.2244315241086,True,False,False,False,False,False,False,True,False,False,1.1590936157584002,0.1447149059018365,0.06920958052848691,0.9667810581680318,1.4724973721311698,0.13499982441692357,0.725475417427751,4.45
FIRM_004,SME,Dairy Products,33,0,0.0,0,23.86,7.85,10.55,8.02,68.1,3.21,2.96,2.7,2.76,3.32,4.4,1.5,3.5,3.9,0.217,0.3,1.37,1,0,5.2,240,483.1,737.85,59.0,73.5,766.98,24.3,2.75,16.72,628.2244315241086,True,False,True,False,False,False,False,False,False,False,0.7809510614994825,-0.9303786096264796,-0.6680160469888209,-0.24510074635704995,-0.3410525114374923,-0.41095534785739735,-1.015912152550352,0.0
FIRM_005,SME,Meat Processing,6,1,85.17722460303142,6,30.85,6.58,5.9,5.45,84.8,3.57,3.0,1.96,3.44,3.22,3.0,1.9,3.8,4.2,0.537,3.61,1.46,1,0,52.8,107,417.75,802.82,78.5,83.1,766.98,24.3,2.75,16.72,628.2244315241086,True,False,False,False,False,False,True,False,False,False,1.7635594088116888,-1.1707604344012965,-0.9615176880808998,0.2621986136767049,-0.27797251548727797,-1.3291526830460283,-1.1700172472386792,3.22
FIRM_006,SME,Grain Mill Products,29,0,0.0,0,21.98,12.86,1.41,8.74,48.6,3.73,3.6,3.29,2.33,4.38,3.6,5.1,3.2,5.6,0.145,1.87,1.9,0,1,0.0,162,159.8,393.89,76.8,83.9,766.98,24.3,2.75,16.72,628.2244315241086,True,False,False,False,False,True,False,False,False,False,0.516672993838975,0.017899297556066847,-1.2449203479741116,0.48766499591392953,0.6682274237659369,0.3211209058740783,0.6176018511459211,0.0
FIRM_007,SME,Dairy Products,24,1,98.22984253444412,1,32.24,6.63,45.62,8.02,85.5,2.85,2.99,3.77,3.46,4.5,5.8,5.2,2.7,4.3,0.568,0.94,1.85,1,0,16.6,46,366.12,610.45,40.3,73.3,766.98,24.3,2.75,16.72,628.2244315241086,True,False,True,False,False,False,False,False,False,False,1.9589564907521706,-1.1612965830322093,1.54555439453789,-0.7524001063908048,-0.2937425144748312,0.9167083665369739,0.8025279647719146,4.5
FIRM_008,SME,Other Food Products,22,1,11.514554642747504,5,23.07,18.06,26.85,14.65,87.6,4.59,3.38,3.64,2.64,3.95,3.7,3.0,5.8,3.3,0.201,2.89,1.72,1,0,41.3,195,171.87,304.32,45.2,53.2,766.98,24.3,2.75,16.72,628.2244315241086,True,False,False,False,False,False,False,False,True,False,0.6698980437059714,1.0021398399411447,0.36081766264577825,1.6995468004390106,0.3212874460397579,0.7554034292741064,-0.04505005601388727,3.95
FIRM_009,SME,Beverages,14,0,0.0,0,5.31,17.0,8.09,7.77,76.7,2.62,3.46,4.39,2.6,5.08,6.4,4.4,4.8,4.7,0.069,2.22,1.24,0,1,29.2,38,474.75,1152.47,65.2,69.6,766.98,24.3,2.75,16.72,628.2244315241086,True,True,False,False,False,False,False,False,False,False,-1.8266862550443554,0.8015061909164946,-0.8232878829214046,-1.076508030856815,0.44744743794018665,1.6860088365598802,1.696337513964215,0.0
FIRM_010,SME,Other Food Products,10,1,29.34546071744284,10,13.0,15.22,29.22,13.07,84.2,3.81,3.25,1.43,4.23,2.5,3.2,4.8,1.0,1.0,0.491,3.79,1.02,1,0,27.7,163,382.96,578.16,61.4,45.5,766.98,24.3,2.75,16.72,628.2244315241086,True,False,False,False,False,False,False,False,True,False,-0.7456764995606834,0.46459308217698714,0.5104088216539989,0.6003981870325419,0.11627745920156153,-1.9867805041946422,-2.2795739289946386,2.5
