Test_ID,Spalling_Occurred_Exp,Time_to_Spalling_min_Exp,Temp_at_Spalling_C_Exp,Severity_Exp,Spalling_Occurred_Model,Time_to_Spalling_min_Model,Temp_at_Spalling_C_Model,Severity_Model
STT-01,Yes,45.2,680,Severe,Yes,43.8,665,Severe
STT-02,Yes,52.8,720,Moderate,Yes,51.2,705,Moderate
STT-03,Yes,38.5,650,Severe,Yes,37.1,635,Severe
STT-04,Yes,61.2,780,Mild,Yes,59.8,765,Mild
STT-05,Yes,35.8,620,Severe,Yes,34.5,605,Severe
STT-06,Yes,48.5,700,Moderate,Yes,47.2,685,Moderate
STT-07,Yes,55.8,750,Mild,Yes,54.1,735,Mild
STT-08,Yes,42.3,670,Severe,Yes,40.8,655,Severe
STT-09,Yes,58.5,760,Mild,Yes,57.2,745,Mild
STT-10,Yes,41.2,660,Severe,Yes,39.8,645,Severe
