Gc_YSZ_threshold_J_per_m2,Gc_GDC_LSCF_threshold_J_per_m2,P_joint_failure_independent_rho_0,P_joint_failure_correlated_rho_05,delta_correlated_minus_independent
0.8,0.3,0.0,0.0,0.0
0.8,0.326531,0.0,0.0,0.0
0.8,0.353061,0.0,0.0,0.0
0.8,0.379592,0.0,0.0,0.0
0.8,0.406122,0.0,0.0,0.0
0.8,0.432653,0.0,5e-05,5e-05
0.8,0.459184,0.0,5e-05,5e-05
0.8,0.485714,0.0,5e-05,5e-05
0.8,0.512245,0.0,0.0001,0.0001
0.8,0.538776,0.0,0.0001,0.0001
0.8,0.565306,0.0,0.0001,0.0001
0.8,0.591837,0.0,0.00015,0.00015
0.8,0.618367,0.0,0.00015,0.00015
0.8,0.644898,0.0,0.0002,0.0002
0.8,0.671429,0.0,0.0002,0.0002
0.8,0.697959,0.0,0.0002,0.0002
0.8,0.72449,0.0,0.0002,0.0002
0.8,0.75102,5e-05,0.0002,0.00015
0.8,0.777551,5e-05,0.0002,0.00015
0.8,0.804082,0.0001,0.0002,0.0001
0.8,0.830612,0.0001,0.00025,0.00015
0.8,0.857143,0.0001,0.00025,0.00015
0.8,0.883673,0.0001,0.00025,0.00015
0.8,0.910204,0.00015,0.00025,0.0001
0.8,0.936735,0.00015,0.00025,0.0001
0.8,0.963265,0.00015,0.00025,0.0001
0.8,0.989796,0.00015,0.00025,0.0001
0.8,1.016327,0.00015,0.00025,0.0001
0.8,1.042857,0.0002,0.00025,5e-05
0.8,1.069388,0.0002,0.00025,5e-05
0.8,1.095918,0.0002,0.00025,5e-05
0.8,1.122449,0.0002,0.00025,5e-05
0.8,1.14898,0.0002,0.00025,5e-05
0.8,1.17551,0.0002,0.00025,5e-05
0.8,1.202041,0.0002,0.00025,5e-05
0.8,1.228571,0.0002,0.00025,5e-05
0.8,1.255102,0.0002,0.00025,5e-05
0.8,1.281633,0.0002,0.00025,5e-05
0.8,1.308163,0.0002,0.00025,5e-05
0.8,1.334694,0.0002,0.00025,5e-05
0.8,1.361224,0.0002,0.00025,5e-05
0.8,1.387755,0.0002,0.00025,5e-05
0.8,1.414286,0.0002,0.00025,5e-05
0.8,1.440816,0.0002,0.00025,5e-05
0.8,1.467347,0.0002,0.00025,5e-05
0.8,1.493878,0.0002,0.00025,5e-05
0.8,1.520408,0.0002,0.00025,5e-05
0.8,1.546939,0.0002,0.00025,5e-05
0.8,1.573469,0.0002,0.00025,5e-05
0.8,1.6,0.0002,0.00025,5e-05
0.840741,0.3,0.0,0.0,0.0
0.840741,0.326531,0.0,0.0,0.0
0.840741,0.353061,0.0,0.0,0.0
0.840741,0.379592,0.0,0.0,0.0
0.840741,0.406122,0.0,0.0,0.0
0.840741,0.432653,0.0,5e-05,5e-05
0.840741,0.459184,0.0,5e-05,5e-05
0.840741,0.485714,0.0,5e-05,5e-05
0.840741,0.512245,0.0,0.0001,0.0001
0.840741,0.538776,0.0,0.00015,0.00015
0.840741,0.565306,0.0,0.00015,0.00015
0.840741,0.591837,0.0,0.0002,0.0002
0.840741,0.618367,0.0,0.0002,0.0002
0.840741,0.644898,0.0,0.00025,0.00025
0.840741,0.671429,0.0,0.0003,0.0003
0.840741,0.697959,0.0,0.0003,0.0003
0.840741,0.72449,0.0,0.0003,0.0003
0.840741,0.75102,5e-05,0.0003,0.00025
0.840741,0.777551,5e-05,0.0003,0.00025
0.840741,0.804082,0.0001,0.0003,0.0002
0.840741,0.830612,0.0001,0.00035,0.00025
0.840741,0.857143,0.0001,0.00035,0.00025
0.840741,0.883673,0.0001,0.00035,0.00025
