Material_ID,Temperature_C,Stress_MPa,Time_hours,Property_Type,Property_Name,Property_Value,Property_Unit,Test_Method,Notes
MAT001,25,0,0,Mechanical,Tensile_Strength,450,MPa,ASTM_E8,Baseline_room_temp
MAT001,25,0,0,Mechanical,Youngs_Modulus,200000,MPa,ASTM_E8,Baseline_room_temp
MAT001,25,0,0,Mechanical,Poisson_Ratio,0.33,dimensionless,ASTM_E8,Baseline_room_temp
MAT001,100,0,0,Mechanical,Tensile_Strength,420,MPa,ASTM_E8,Elevated_temp
MAT001,100,0,0,Mechanical,Youngs_Modulus,195000,MPa,ASTM_E8,Elevated_temp
MAT001,100,0,0,Mechanical,Poisson_Ratio,0.34,dimensionless,ASTM_E8,Elevated_temp
MAT001,200,0,0,Mechanical,Tensile_Strength,380,MPa,ASTM_E8,Elevated_temp
MAT001,200,0,0,Mechanical,Youngs_Modulus,185000,MPa,ASTM_E8,Elevated_temp
MAT001,200,0,0,Mechanical,Poisson_Ratio,0.35,dimensionless,ASTM_E8,Elevated_temp
MAT001,300,0,0,Mechanical,Tensile_Strength,340,MPa,ASTM_E8,Elevated_temp
MAT001,300,0,0,Mechanical,Youngs_Modulus,175000,MPa,ASTM_E8,Elevated_temp
MAT001,300,0,0,Mechanical,Poisson_Ratio,0.36,dimensionless,ASTM_E8,Elevated_temp
MAT001,400,0,0,Mechanical,Tensile_Strength,300,MPa,ASTM_E8,Elevated_temp
MAT001,400,0,0,Mechanical,Youngs_Modulus,165000,MPa,ASTM_E8,Elevated_temp
MAT001,400,0,0,Mechanical,Poisson_Ratio,0.37,dimensionless,ASTM_E8,Elevated_temp
MAT001,500,0,0,Mechanical,Tensile_Strength,260,MPa,ASTM_E8,Elevated_temp
MAT001,500,0,0,Mechanical,Youngs_Modulus,155000,MPa,ASTM_E8,Elevated_temp
MAT001,500,0,0,Mechanical,Poisson_Ratio,0.38,dimensionless,ASTM_E8,Elevated_temp
MAT001,25,0,0,ThermoPhysical,Coefficient_Thermal_Expansion,12.5e-6,1/K,ASTM_E831,Baseline_room_temp
MAT001,100,0,0,ThermoPhysical,Coefficient_Thermal_Expansion,13.2e-6,1/K,ASTM_E831,Elevated_temp
MAT001,200,0,0,ThermoPhysical,Coefficient_Thermal_Expansion,14.1e-6,1/K,ASTM_E831,Elevated_temp
MAT001,300,0,0,ThermoPhysical,Coefficient_Thermal_Expansion,15.0e-6,1/K,ASTM_E831,Elevated_temp
MAT001,400,0,0,ThermoPhysical,Coefficient_Thermal_Expansion,15.8e-6,1/K,ASTM_E831,Elevated_temp
MAT001,500,0,0,ThermoPhysical,Coefficient_Thermal_Expansion,16.5e-6,1/K,ASTM_E831,Elevated_temp
MAT001,25,0,0,ThermoPhysical,Thermal_Conductivity,45,W/mK,ASTM_E1461,Baseline_room_temp
MAT001,100,0,0,ThermoPhysical,Thermal_Conductivity,47,W/mK,ASTM_E1461,Elevated_temp
MAT001,200,0,0,ThermoPhysical,Thermal_Conductivity,49,W/mK,ASTM_E1461,Elevated_temp
MAT001,300,0,0,ThermoPhysical,Thermal_Conductivity,51,W/mK,ASTM_E1461,Elevated_temp
MAT001,400,0,0,ThermoPhysical,Thermal_Conductivity,53,W/mK,ASTM_E1461,Elevated_temp
MAT001,500,0,0,ThermoPhysical,Thermal_Conductivity,55,W/mK,ASTM_E1461,Elevated_temp
MAT001,25,0,0,ThermoPhysical,Specific_Heat_Capacity,460,J/kgK,ASTM_E1269,Baseline_room_temp
MAT001,100,0,0,ThermoPhysical,Specific_Heat_Capacity,480,J/kgK,ASTM_E1269,Elevated_temp
MAT001,200,0,0,ThermoPhysical,Specific_Heat_Capacity,500,J/kgK,ASTM_E1269,Elevated_temp
MAT001,300,0,0,ThermoPhysical,Specific_Heat_Capacity,520,J/kgK,ASTM_E1269,Elevated_temp
MAT001,400,0,0,ThermoPhysical,Specific_Heat_Capacity,540,J/kgK,ASTM_E1269,Elevated_temp
MAT001,500,0,0,ThermoPhysical,Specific_Heat_Capacity,560,J/kgK,ASTM_E1269,Elevated_temp
